,0
PMAM3.SA,Basic Materials
POMO3.SA,Industrials
BIOM3.SA,Healthcare
AGRO3.SA,Consumer Defensive
DEXP3.SA,Basic Materials
RCSL4.SA,Industrials
SHOW3.SA,Consumer Cyclical
TAEE4.SA,Utilities
SANB4.SA,Financial Services
LUPA3.SA,Energy
HBRE3.SA,Real Estate
CMIG3.SA,Utilities
BRAP3.SA,Financial Services
SAPR3.SA,Utilities
ROMI3.SA,Industrials
UNIP6.SA,Basic Materials
TAEE3.SA,Utilities
TCSA3.SA,Real Estate
TECN3.SA,Consumer Cyclical
INEP4.SA,Industrials
ATMP3.SA,Industrials
RAPT3.SA,Industrials
GGBR3.SA,Basic Materials
RNEW3.SA,Utilities
TGMA3.SA,Industrials
VIVR3.SA,Real Estate
RSID3.SA,Consumer Cyclical
AALR3.SA,Healthcare
PDTC3.SA,Technology
INEP3.SA,Industrials
HAGA4.SA,Industrials
BOBR4.SA,Consumer Defensive
ALLD3.SA,Technology
DMVF3.SA,Healthcare
ELMD3.SA,Communication Services
VSTE3.SA,
EUCA4.SA,Industrials
TPIS3.SA,Industrials
WEST3.SA,Consumer Cyclical
IGTI3.SA,Real Estate
LAND3.SA,Consumer Defensive
DOTZ3.SA,Communication Services
CAMB3.SA,Consumer Cyclical
VTRU3.SA,Consumer Defensive
TASA3.SA,Industrials
RPMG3.SA,Energy
GOAU3.SA,Basic Materials
UCAS3.SA,Consumer Cyclical
LVTC3.SA,Communication Services
BMEB4.SA,Financial Services
ENGI4.SA,Utilities
CSUD3.SA,Technology
ALUP4.SA,Utilities
ATOM3.SA,Communication Services
BPAC3.SA,Financial Services
MGEL4.SA,Basic Materials
BRKM3.SA,Basic Materials
SCAR3.SA,Real Estate
BGIP4.SA,Financial Services
SNSY5.SA,Consumer Cyclical
WHRL4.SA,Consumer Cyclical
OIBR4.SA,Communication Services
DEXP4.SA,Basic Materials
BRSR3.SA,Financial Services
ALUP3.SA,Utilities
AVLL3.SA,Real Estate
UNIP3.SA,Basic Materials
ENGI3.SA,Utilities
CTSA4.SA,Consumer Cyclical
CGRA4.SA,Consumer Cyclical
BEES3.SA,Financial Services
MTSA4.SA,Industrials
EQPA3.SA,Utilities
PTNT4.SA,Consumer Cyclical
NINJ3.SA,Technology
AMAR11.SA,
FHER3.SA,Basic Materials
NEXP3.SA,Real Estate
OSXB3.SA,Energy
EPAR3.SA,Basic Materials
LOGN3.SA,Industrials
SNSY3.SA,Consumer Cyclical
RDNI3.SA,Real Estate
OFSA3.SA,Healthcare
PSVM11.SA,
NUTR3.SA,Basic Materials
ENMT3.SA,Utilities
CRPG5.SA,Basic Materials
AZEV11.SA,
EALT3.SA,Industrials
PLAS3.SA,Consumer Cyclical
CEBR6.SA,Utilities
TRPL3.SA,Utilities
CSRN3.SA,Utilities
CGAS5.SA,Utilities
PATI3.SA,Basic Materials
MNDL3.SA,Consumer Defensive
ALPA3.SA,Consumer Cyclical
CLSC4.SA,Utilities
COCE5.SA,Utilities
CEBR3.SA,Utilities
TELB3.SA,Communication Services
BPAC5.SA,Financial Services
RSUL4.SA,Consumer Cyclical
BSLI3.SA,Financial Services
BAZA3.SA,Financial Services
AFLT3.SA,Utilities
BEES4.SA,Financial Services
CEEB3.SA,Utilities
CPLE5.SA,Utilities
NORD3.SA,Financial Services
TELB4.SA,Communication Services
BAHI3.SA,Consumer Defensive
CTSA3.SA,Consumer Cyclical
HAGA3.SA,Industrials
MNPR3.SA,Consumer Defensive
CEBR5.SA,Utilities
GEPA4.SA,Utilities
CSRN6.SA,Utilities
DTCY3.SA,Communication Services
EMAE4.SA,Utilities
EQMA3B.SA,Utilities
DOHL4.SA,Consumer Cyclical
CSRN5.SA,Utilities
MERC4.SA,Financial Services
EKTR4.SA,Utilities
REDE3.SA,Utilities
BSLI4.SA,Financial Services
WHRL3.SA,Consumer Cyclical
ESTR4.SA,Consumer Cyclical
BMKS3.SA,Consumer Cyclical
BGIP3.SA,Financial Services
CTKA4.SA,Consumer Cyclical
WLMM4.SA,Consumer Cyclical
TEKA4.SA,Consumer Cyclical
UNIP5.SA,Basic Materials
AHEB5.SA,Consumer Cyclical
CRPG6.SA,Basic Materials
FIEI3.SA,Real Estate
MAPT3.SA,Financial Services
BNBR3.SA,Financial Services
LIPR3.SA,Utilities
MSPA4.SA,Basic Materials
FESA3.SA,Basic Materials
IGTI4.SA,Real Estate
PINE3.SA,Financial Services
FRIO3.SA,Consumer Cyclical
TKNO4.SA,Basic Materials
ENMT4.SA,Utilities
CLSC3.SA,Utilities
MSPA3.SA,Basic Materials
HBTS5.SA,Real Estate
AHEB3.SA,Consumer Cyclical
CGRA3.SA,Consumer Cyclical
EUCA3.SA,Industrials
BALM3.SA,Healthcare
BALM4.SA,Healthcare
RPAD3.SA,Industrials
BIOM11.SA,
HOOT4.SA,Consumer Cyclical
CGAS3.SA,Utilities
BMEB3.SA,Financial Services
CEDO4.SA,Consumer Cyclical
MAPT4.SA,Financial Services
MRSA6B.SA,Industrials
GSHP3.SA,Real Estate
PATI4.SA,Basic Materials
CEDO3.SA,Consumer Cyclical
PTNT3.SA,Consumer Cyclical
SGPS3.SA,Consumer Cyclical
CTNM4.SA,Consumer Cyclical
APER3.SA,Financial Services
BMIN4.SA,Financial Services
BDLL4.SA,Industrials
MWET4.SA,Consumer Cyclical
CTKA3.SA,Consumer Cyclical
EQPA5.SA,Utilities
RPAD6.SA,Industrials
PEAB3.SA,Financial Services
CEED3.SA,Utilities
COCE3.SA,Utilities
BRSR5.SA,Financial Services
HETA4.SA,Consumer Defensive
USIM6.SA,Basic Materials
CTNM3.SA,Consumer Cyclical
GEPA3.SA,Utilities
PINE11.SA,
BAUH4.SA,Consumer Defensive
WLMM3.SA,Consumer Cyclical
RPAD5.SA,Industrials
LUXM4.SA,Industrials
BRKM6.SA,Basic Materials
MOAR3.SA,Industrials
MRSA3B.SA,Industrials
