,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
170,CVCB3,319,-350,384,1329,"0,00%",417,-405,-29018,-122,-35778,1011,"-0,46%","-37,97%",84,"-0,21%","-109,80%","84.103.500,00","436.424.000,00",173,"-4,33%"
171,BRKM5,2067,-349,328,0226,"0,00%",179,126,-543,-033,-1328,1821,"-4,17%","-6,89%",154,"-5,06%","-93,87%","105.683.000,00","5.022.600.000,00",847,"13,67%"
172,BECE3,910,-342,872,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-255,20%",000,"96.496.000,00",000,"12,81%"
173,BECE4,875,-329,838,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-255,20%",000,"96.496.000,00",000,"12,81%"
174,TPIS3,414,-292,021,0190,"4,43%",64,-048,-284,-010,-2652,1864,"-6,69%","-6,91%",27,"-2,39%","-7,27%","225.049,00","858.180.000,00",182,"0,95%"
175,NORD3,330,-291,-014,9685,"0,00%",1175,-014,-5842,-013,-15985,-15985,"-16,58%","-332,85%",1,"-2,04%","4,80%",74110,"-156.430.000,00",-024,"13,25%"
176,PNOR5,187,-290,055,0354,"0,00%",205,070,852,-232,457,457,"4,15%","-11,74%",250,"3,61%","-18,84%",000,"158.071.000,00",042,"1,34%"
177,PNOR6,187,-290,055,0354,"0,00%",205,070,852,-232,457,457,"4,15%","-11,74%",250,"3,61%","-18,84%",000,"158.071.000,00",042,"1,34%"
178,STRP4,021,-285,-043,0416,"0,00%",111,-018,-045,-009,-115,-115,"-91,82%","-14,58%",13,"-25,49%","14,95%",000,"-12.498.000,00",-066,"-36,39%"
179,GFSA3,970,-282,036,0516,"0,00%",116,033,-515,796,-1935,-2623,"-10,02%","-18,29%",203,"-2,40%","-12,88%","26.882.000,00","1.687.910.000,00",116,"31,32%"
