,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,CLSC6,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","3,79%",000,"2.137.380.000,00",000,"8,41%"
1,CLAN3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
2,MNSA4,047,000,000,0000,"0,00%",0000,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
3,POPR4,1017,000,000,0000,"0,00%",0000,000,000,0,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
4,CSTB3,15000,000,000,0000,"0,00%",0000,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
5,VNET3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","27,83%",000,"14.460.100.000,00",000,"18,19%"
6,CSTB4,14769,000,000,0000,"0,00%",0000,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
7,PMET3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
8,CFLU4,"1.000,00",000,000,0000,"0,00%",0000,000,000,0,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
9,IVTT3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
10,MNSA3,042,000,000,0000,"0,00%",0000,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
11,DAGB33,50500,000,000,0000,"0,00%",0000,000,000,0,000,"5,69%","1,73%",110,"5,30%","2,89%","734.421,00","10.250.800.000,00",126,"42,19%"
12,PORP4,240,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
13,PLDN4,48600,-55307,108,0919,"0,00%",0611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
14,RAPT4,832,-53743,197,1063,"0,53%",0615,174,1902,1328,2256,"5,59%","1,93%",230,"5,24%","-0,37%","10.920.300,00","1.458.570.000,00",141,"-11,36%"
15,POSI3,376,-51663,059,0192,"0,68%",0187,101,357,189,592,"5,39%","-0,04%",131,"9,45%","-0,12%","1.232.440,00","555.542.000,00",109,"-9,77%"
16,RAPT3,610,-39403,145,0779,"0,72%",0451,127,1394,973,1748,"5,59%","1,93%",230,"5,24%","-0,37%","85.784,40","1.458.570.000,00",141,"-11,36%"
17,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
18,BHGR3,1910,-27216,110,3613,"0,00%",0855,-19445,2370,-856,2595,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
19,RJCP3,001,-22470,065,0000,"0,00%",0619,000,-52294,0,-52396,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
20,ABYA3,491,-21480,176,2055,"0,00%",0527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
21,PITI4,128,-20474,000,0000,"0,00%",0000,000,"-2.637,65",0,"-2.637,65","0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
22,TUPY4,4821,-17589,340,1974,"0,00%",1520,573,2684,-1762,2960,"7,36%","-1,12%",231,"8,00%","-1,93%",000,"2.042.630.000,00",081,"3,93%"
23,CESP5,1979,-15846,092,4539,"0,00%",0583,-21447,2479,-206,2465,"18,31%","-2,86%",96,"2,46%","-0,58%","4.664,08","7.057.560.000,00",006,"-24,54%"
24,CESP6,1535,-12291,071,3521,"3,15%",0452,-16635,1923,-160,1909,"18,31%","-2,86%",96,"2,46%","-0,58%","20.297.400,00","7.057.560.000,00",006,"-24,54%"
25,STBP3,334,-12139,162,2682,"0,00%",1175,1827,-8675,-1629,-8684,"-3,09%","-2,21%",147,"-1,63%","-1,33%","3.325.360,00","1.375.810.000,00",017,"-12,32%"
26,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
27,IDVL11,14000,-11228,6424,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","-57,21%",000,"332.406.000,00",000,"0,00%"
