,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,CLSC6,000,000,000,0000,"0,00%",0,0,000,0,000,"0,00%","0,00%",0,"0,00%","0,64%",000,"1.927.250.000,00",000,"7,77%"
1,ALUP3,000,000,000,0000,"0,00%",0,0,000,0,000,"0,00%","0,00%",0,"0,00%","7,07%",000,"4.102.150.000,00",000,"14,03%"
2,PORP4,240,000,000,0000,"0,00%",0,0,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
3,MNSA3,042,000,000,0000,"0,00%",0,0,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
4,CSTB4,14769,000,000,0000,"0,00%",0,0,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
5,VNET3,000,000,000,0000,"0,00%",0,0,000,0,000,"0,00%","0,00%",0,"0,00%","80,24%",000,"3.331.880.000,00",000,"17,99%"
6,LATM11,2865,000,000,0000,"0,00%",0,0,000,0,000,"4,52%","-1,98%",61,"2,95%","-5,52%",000,"10.421.400.000,00",219,"0,00%"
7,ALUP4,000,000,000,0000,"0,00%",0,0,000,0,000,"0,00%","0,00%",0,"0,00%","7,07%",000,"4.102.150.000,00",000,"14,03%"
8,CLAN3,000,000,000,0000,"0,00%",0,0,000,0,000,"0,00%","0,00%",0,"0,00%","-2,02%",000,"979.640.000,00",000,"-51,59%"
9,POPR4,1017,000,000,0000,"0,00%",0,0,000,0,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
10,MNSA4,047,000,000,0000,"0,00%",0,0,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
