,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,DAGB11,18799,000,000,0000,"0,00%",0000,000,000,000,000,"9,09%","6,12%",114,"9,70%","15,29%","1.174.490,00","1.296.830.000,00",094,"-19,53%"
1,POPR4,1017,000,000,0000,"0,00%",0000,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
2,PMET3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","2,07%",000,"-258.745.000,00",000,"-16,59%"
3,MNSA3,042,000,000,0000,"0,00%",0000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
4,VNET3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","142,02%",000,"1.232.590.000,00",000,"3,35%"
5,NAFG3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","1,53%",000,"322.512.000,00",000,"-10,69%"
6,CFLU4,"1.000,00",000,000,0000,"0,00%",0000,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
7,MNSA4,047,000,000,0000,"0,00%",0000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
8,CSTB3,15000,000,000,0000,"0,00%",0000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
9,CLAN3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,41%",000,"1.000.880.000,00",000,"-14,41%"
10,PORP4,240,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
11,CSTB4,14769,000,000,0000,"0,00%",0000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
12,IVTT3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","1,14%",000,"730.050.000,00",000,"301,41%"
13,AHEB6,3500,"-2.161,25",182,1899,"0,00%",0509,-626,-3035,-086,-2880,"-6,26%","-0,09%",61,"-1,82%","-0,08%","3.500,00","80.807.000,00",000,"10,19%"
14,AHEB5,3500,"-2.161,25",182,1899,"0,00%",0509,-626,-3035,-086,-2880,"-6,26%","-0,09%",61,"-1,82%","-0,08%","3.500,00","80.807.000,00",000,"10,19%"
15,AHEB3,3500,"-2.161,25",182,1899,"0,00%",0509,-626,-3035,-086,-2880,"-6,26%","-0,09%",61,"-1,82%","-0,08%",000,"80.807.000,00",000,"10,19%"
16,RNEW11,3161,"-1.970,30",718,55982,"0,00%",3674,2175,21756,-12625,23180,"25,73%","-2,84%",158,"2,23%","-0,36%","130.802,00","286.995.000,00",092,"0,00%"
17,PLDN4,48600,-55307,108,0919,"0,00%",0611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
18,RHDS4,100,-44544,3538,5032,"0,00%",5425,"-2.991,03",10955,-1330,11709,"4,59%","-1,34%",100,"5,48%","-7,94%",000,"226.819.000,00",260,"9,57%"
19,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
20,BAHI4,8600,-27636,915,0000,"0,00%",7759,000,-12876,000,-11557,"0,00%","0,00%",0,"0,00%","-3,31%",000,"56.342.000,00",000,"-99,72%"
21,IDVL11,14000,-24534,1559,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-6,36%",000,"566.539.000,00",000,"-36,77%"
22,ABYA3,491,-21480,176,2055,"0,00%",0527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
23,BAHI5,6500,-20888,692,0000,"0,00%",5865,000,-9732,000,-8413,"0,00%","0,00%",0,"0,00%","-3,31%",000,"56.342.000,00",000,"-99,72%"
24,BTOW3,1321,-19125,175,0503,"0,30%",0503,122,373,3211,599,"13,49%","-0,26%",231,"21,46%","-0,92%","12.547.300,00","1.204.020.000,00",188,"13,87%"
25,BAHI11,4370,-14043,465,0000,"0,00%",3943,000,-6543,000,-5224,"0,00%","0,00%",0,"0,00%","-3,31%",000,"56.342.000,00",000,"-99,72%"
26,LLXL3,381,-13829,292,"3.649,070","0,00%",1214,420,-2529,-538,-2680,"-14.428,30%","-4.792,96%",584,"-7,33%","-2,11%","12.203.000,00","904.422.000,00",095,"-54,15%"
27,OGXP3,1423,-12084,506,0000,"0,00%",3329,000,-14034,000,-13308,"0,00%","0,00%",0,"0,00%","-4,19%","289.977.000,00","9.091.370.000,00",000,"0,00%"
28,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
29,VULC4,1800,-12001,1213,2708,"0,00%",3211,3352,45989,-1881,53121,"0,59%","-2,25%",120,"0,77%","-10,10%",000,"415.671.000,00",201,"33,73%"
30,ELCA3,2470,-11967,813,1369,"0,00%",0800,-1130,1033,-147,1601,"13,25%","-0,59%",78,"8,72%","-6,79%",000,"1.296.040.000,00",504,"24,05%"
31,OSXB3,1438,-10979,160,55303,"0,00%",1080,332,-2377,567,-1985,"-232,66%","-50,75%",293,"-7,89%","-1,45%","7.409.400,00","2.528.390.000,00",035,"0,00%"
32,PMAM4,584,-10266,108,0478,"0,00%",0517,222,29973,428,33545,"0,16%","-0,46%",157,"0,27%","-1,06%",000,"1.719.930.000,00",043,"-5,07%"
33,BMTO4,075,-10239,283,0000,"13,09%",2805,000,"8.840,88",000,"8.833,90","0,00%","0,00%",0,"0,00%","-2,77%","35.205,80","758.676.000,00",000,"0,00%"
34,GLOB4,3049,-9844,390,0508,"0,00%",0892,473,929,-11242,1244,"5,47%","-0,52%",133,"13,78%","-3,96%",000,"2.522.010.000,00",176,"47,55%"
35,ELCA4,2020,-9787,665,1120,"0,00%",0654,-924,845,-121,1412,"13,25%","-0,59%",78,"8,72%","-6,79%",000,"1.296.040.000,00",504,"24,05%"
36,MTIG3,147,-9723,1052,5494,"0,00%",6858,2201,-7550,2880,-7712,"-7,28%","-5,65%",214,"-10,80%","-10,82%","3.462,34","43.674.000,00",034,"2,83%"
37,BNCA3,7030,-9030,245,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
38,BMTO3,065,-8874,245,0000,"13,73%",2431,000,"7.662,09",000,"7.655,12","0,00%","0,00%",0,"0,00%","-2,77%","1.952,38","758.676.000,00",000,"0,00%"
39,MAPT3,105,-7422,-241,0000,"0,00%",10853,000,-7719,000,-7719,"0,00%","0,00%",0,"0,00%","3,25%",000,"-4.000.000,00",000,"0,00%"
40,BRTP3,3571,-6726,245,1168,"0,00%",0684,898,603,-240,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
41,PMAM3,380,-6680,071,0311,"5,79%",0336,144,19503,279,23075,"0,16%","-0,46%",157,"0,27%","-1,06%","2.387.130,00","1.719.930.000,00",043,"-5,07%"
42,TELB3,3540,-6604,-5814,0000,"0,00%",8381,000,-10752,000,-9982,"0,00%","0,00%",0,"0,00%","88,04%","60.794,50","-66.797.000,00",000,"0,00%"
43,MAPT4,092,-6503,-211,0000,"0,00%",9509,000,-6763,000,-6763,"0,00%","0,00%",0,"0,00%","3,25%","2.617,00","-4.000.000,00",000,"0,00%"
44,CASN3,400,-6168,283,5338,"0,00%",1567,2549,5500,-498,5806,"9,71%","-8,65%",188,"2,99%","-4,59%",000,"993.020.000,00",022,"9,77%"
45,GLOB3,1800,-5812,230,0300,"0,00%",0527,279,548,-6637,863,"5,47%","-0,52%",133,"13,78%","-3,96%","65.506,70","2.522.010.000,00",176,"47,55%"
46,RANI4,2850,-5700,050,0495,"4,63%",0200,39686,652,-048,1477,"7,58%","-0,86%",100,"3,35%","-0,87%",000,"463.667.000,00",075,"7,93%"
47,PEFX3,1900,-5204,168,0477,"0,00%",0597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
48,PEFX5,1900,-5204,168,0477,"0,00%",0597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
49,DTCY3,113,-4955,1060,5506,"0,00%",3876,-1469,-13270,-752,-13707,"-4,15%","-11,11%",31,"-3,07%","-21,39%","37.369,60","5.983.000,00",037,"-1,18%"
50,LUXM3,4050,-4725,090,1215,"1,62%",0528,2952,1222,-152,1547,"9,94%","-2,57%",135,"4,51%","-1,91%",000,"78.492.000,00",029,"17,34%"
51,GOLL4,1461,-4670,152,0559,"1,29%",0430,423,1536,-100,2347,"3,64%","-1,20%",154,"3,67%","-3,25%","27.689.300,00","2.604.650.000,00",155,"11,55%"
52,RHDS3,010,-4454,354,0503,"0,00%",0542,-29910,1095,-133,1850,"4,59%","-1,34%",100,"5,48%","-7,94%","23.407,60","226.819.000,00",260,"9,57%"
53,RANI3,2199,-4398,038,0382,"5,45%",0155,30621,503,-037,1328,"7,58%","-0,86%",100,"3,35%","-0,87%","12.031,00","463.667.000,00",075,"7,93%"
54,MNPR4,463,-4043,-23505,15989,"0,00%",10936,-3969,-9550,-1294,-9673,"-16,74%","-40,21%",42,"-13,05%","581,34%",000,"-9.990.000,00",-307,"8,03%"
55,FBRA4,3458,-3957,166,0457,"0,00%",0738,1894,740,-1767,1062,"6,18%","-1,15%",111,"11,94%","-4,20%",000,"213.406.000,00",077,"12,48%"
56,BRTP4,2081,-3919,143,0681,"0,00%",0399,523,351,-140,503,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
57,LUXM4,3000,-3500,067,0900,"2,41%",0391,2187,905,-113,1231,"9,94%","-2,57%",135,"4,51%","-1,91%","3.000,00","78.492.000,00",029,"17,34%"
58,JBSS3,500,-3482,075,0194,"0,00%",0346,206,558,-230,1002,"3,48%","-0,56%",184,"7,48%","-2,15%","15.347.400,00","20.488.200.000,00",084,"34,19%"
59,PRTX3,184,-3442,14289,806590,"0,00%",1789,-375,-6660,-214,-7517,"-1.211,04%","-2.343,42%",24,"-3,26%","-415,14%","211.801,00","12.780.000,00",2829,"0,00%"
60,VCPA4,2601,-3438,082,2230,"0,00%",0432,346,3924,-155,6894,"5,68%","-6,39%",280,"1,20%","-2,38%",000,"14.870.400.000,00",076,"19,05%"
61,CLAN4,500,-3296,079,1881,"0,00%",0668,2586,-6502,3103,-7781,"-2,89%","-5,71%",117,"-1,04%","-2,41%",000,"1.000.880.000,00",016,"-14,41%"
62,VAGR3,062,-3236,207,2653,"0,00%",1084,1349,-2788,-712,-3285,"-9,52%","-8,20%",133,"-4,35%","-6,40%","12.185.100,00","694.368.000,00",047,"14,65%"
63,DFVA3,990,-3138,6069,4327,"0,00%",5365,2910,-5591,-3147,-5828,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
64,ASTA4,2583,-3079,100,0652,"0,00%",0446,257,1990,-330,3320,"3,28%","-2,12%",171,"2,52%","-3,25%",000,"515.672.000,00",085,"-4,73%"
65,TIBR3,018,-2993,121,1422,"0,00%",0881,485,-6363,695,-6409,"-2,24%","-5,00%",184,"-1,45%","-4,03%",000,"346.048.000,00",003,"-0,12%"
66,VGOR4,587,-2958,718,1229,"0,00%",1468,11397,2732,-322,3409,"4,50%","-4,59%",104,"6,00%","-24,29%",000,"135.178.000,00",189,"4,77%"
67,HRTP3,86500,-2913,127,289592,"0,00%",1136,531,-1615,939,-1328,"-1.792,78%","-993,98%",2268,"-8,85%","-4,35%","46.135.900,00","3.929.550.000,00",000,"0,00%"
68,CRBM3,9000,-2895,326,1498,"0,00%",1172,298,-1545,1690,-1417,"-9,70%","-5,18%",224,"-12,71%","-11,28%",000,"827.347.000,00",045,"-1,58%"
69,INET3,019,-2874,-078,0000,"0,00%",35923,000,-4723,000,-4723,"0,00%","0,00%",0,"0,00%","2,73%","34.369,00","-21.444.000,00",000,"0,00%"
70,BAHI3,800,-2571,085,0000,"22,73%",0722,000,-1198,000,121,"0,00%","0,00%",0,"0,00%","-3,31%","4.360,36","56.342.000,00",000,"-99,72%"
71,DFVA4,800,-2535,4904,3497,"0,00%",4335,2351,-4518,-2543,-4755,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
72,TELB4,1288,-2403,-2115,0000,"0,00%",3049,000,-3912,000,-3141,"0,00%","0,00%",0,"0,00%","88,04%","8.592.770,00","-66.797.000,00",000,"0,00%"
73,IDNT3,262,-2344,219,0258,"0,00%",0506,1191,-1663,-775,-2595,"-1,55%","-1,60%",106,"-4,44%","-9,34%","301.718,00","138.674.000,00",143,"50,35%"
74,MPXE3,3825,-2300,346,36954,"0,00%",0778,1811,-2360,-134,-3657,"-156,61%","-157,20%",131,"-3,80%","-15,06%","8.691.950,00","1.509.710.000,00",239,"76,90%"
