,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,PMET3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
1,GBIO33,970,000,000,0000,"0,00%",0,000,000,0,000,"22,90%","3,69%",210,"20,23%","4,95%","3.042.640,00","611.463.000,00",041,"0,00%"
2,CSTB3,15000,000,000,0000,"0,00%",0,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
3,CLSC6,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","1,89%",000,"1.896.450.000,00",000,"7,13%"
4,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,0,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
5,MNSA4,047,000,000,0000,"0,00%",0,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
6,VNET3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","26,79%",000,"15.162.300.000,00",000,"14,84%"
7,PORP4,240,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
8,DAGB33,51400,000,000,0000,"0,00%",0,000,000,0,000,"5,27%","1,38%",131,"4,94%","1,92%","3.067.780,00","11.744.200.000,00",108,"36,71%"
9,CSTB4,14769,000,000,0000,"0,00%",0,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
10,CLAN3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
11,POPR4,1017,000,000,0000,"0,00%",0,000,000,0,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
12,IVTT3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
13,MNSA3,042,000,000,0000,"0,00%",0,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
14,CBEE3,2160,"-9.348,62",106,0672,"0,00%",370,-928,1163,-92,2106,"5,78%","-0,01%",86,"3,70%","-0,01%",99321,"3.382.200.000,00",106,"5,40%"
15,WLMM4,540,"-6.343,20",052,0366,"0,00%",424,163,-3575,264,-3054,"-1,02%","-0,01%",424,"-1,31%","-0,01%","10.682,00","380.355.000,00",000,"-18,03%"
16,WLMM3,452,"-5.309,49",043,0307,"0,00%",354,136,-2993,221,-2471,"-1,02%","-0,01%",424,"-1,31%","-0,01%","5.004,58","380.355.000,00",000,"-18,03%"
17,CPRE3,1590,"-1.208,59",202,4059,"0,05%",632,-2401,830,-113,1382,"48,92%","0,09%",82,"8,36%","-0,17%","146.992,00","3.958.020.000,00",161,"15,95%"
18,MYPK4,3179,-90113,184,0603,"0,00%",562,902,739,-229,1084,"8,16%","0,94%",117,"9,89%","-0,20%",000,"2.599.560.000,00",117,"6,32%"
19,MYPK3,2091,-59272,121,0397,"2,28%",370,593,486,-150,831,"8,16%","0,94%",117,"9,89%","-0,20%","27.815.700,00","2.599.560.000,00",117,"6,32%"
20,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
21,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
22,RAIL3,1410,-31150,286,3578,"0,00%",803,931,1434,-158,2059,"24,96%","-1,11%",176,"6,09%","-0,92%","104.118.000,00","7.695.200.000,00",147,"13,41%"
23,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
24,RJCP3,001,-22470,065,0000,"0,00%",619,000,-52294,0,-52396,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
25,AHEB3,15501,-22337,1118,-626207,"0,00%",2889,-12619,-15394,-485,-14844,"406,79%","280,34%",86,"-2,15%","-5,00%","1.197,70","71.833.000,00",000,"5,43%"
26,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
