,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,CLAN3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-2,41%",000,"1.000.910.000,00",000,"-23,75%"
1,PORP4,240,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
2,CSTB4,14769,000,000,0000,"0,00%",0000,0,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
3,VNET3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","142,02%",000,"1.232.590.000,00",000,"3,35%"
4,POPR4,1017,000,000,0000,"0,00%",0000,0,000,0,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
5,MNSA3,042,000,000,0000,"0,00%",0000,0,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
6,PMET3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","1,59%",000,"-261.964.000,00",000,"-16,81%"
7,IVTT3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","1,05%",000,"727.042.000,00",000,"236,29%"
8,NAFG3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","1,68%",000,"324.388.000,00",000,"-10,43%"
9,MNSA4,047,000,000,0000,"0,00%",0000,0,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
10,CSTB3,15000,000,000,0000,"0,00%",0000,0,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
11,CFLU4,"1.000,00",000,000,0000,"0,00%",0000,0,000,0,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
12,DAGB11,18633,000,000,0000,"0,00%",0000,0,000,0,000,"9,47%","5,64%",127,"5,88%","11,04%","1.148.050,00","1.647.880.000,00",194,"-16,45%"
13,FRIO3,590,"-34.927,20",102,0314,"11,57%",0257,71,1819,-730,3314,"1,72%","1,12%",208,"2,61%","-0,00%","134.880,00","239.564.000,00",239,"3,74%"
14,AHEB3,3500,"-2.134,53",215,1652,"0,00%",0567,-449,-1635,-94,-1462,"-10,10%","-0,08%",52,"-3,90%","-0,10%",000,"74.586.000,00",000,"12,18%"
15,AHEB6,3500,"-2.134,53",215,1652,"0,00%",0567,-449,-1635,-94,-1462,"-10,10%","-0,08%",52,"-3,90%","-0,10%","3.500,00","74.586.000,00",000,"12,18%"
16,AHEB5,3500,"-2.134,53",215,1652,"0,00%",0567,-449,-1635,-94,-1462,"-10,10%","-0,08%",52,"-3,90%","-0,10%","3.500,00","74.586.000,00",000,"12,18%"
17,MMXM3,675,-89122,145,4443,"0,00%",0692,522,1965,-242,2180,"22,61%","1,81%",215,"4,38%","-0,16%","38.161.800,00","2.892.160.000,00",053,"54,07%"
18,PLDN4,48600,-55307,108,0919,"0,00%",0611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
19,RHDS4,100,-46134,3898,4939,"0,00%",4788,-14337,11924,-1267,12800,"4,14%","-1,32%",94,"4,49%","-8,45%",000,"205.858.000,00",298,"7,15%"
20,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
21,BAHI4,8600,-27636,915,0000,"0,00%",7759,0,-12876,0,-11557,"0,00%","0,00%",0,"0,00%","-3,31%",000,"56.342.000,00",000,"-99,72%"
22,MNDL3,051,-24710,210,0341,"1,46%",0161,-92,472,-23,1108,"7,21%","-0,14%",56,"3,61%","-0,85%","380.674,00","68.914.000,00",293,"9,13%"
23,IDVL11,14000,-24423,1530,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-6,26%",000,"577.501.000,00",000,"-39,40%"
24,OGXP3,1435,-23340,510,0000,"0,00%",3167,0,-16041,0,-15597,"0,00%","0,00%",0,"0,00%","-2,19%","246.338.000,00","9.094.370.000,00",000,"0,00%"
25,ABYA3,491,-21480,176,2055,"0,00%",0527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
26,BAHI5,6500,-20888,692,0000,"0,00%",5865,0,-9732,0,-8413,"0,00%","0,00%",0,"0,00%","-3,31%",000,"56.342.000,00",000,"-99,72%"
27,MNDL4,043,-20834,177,0287,"1,74%",0136,-78,398,-19,1034,"7,21%","-0,14%",56,"3,61%","-0,85%","2.905.870,00","68.914.000,00",293,"9,13%"
28,LUXM3,4050,-15689,088,1212,"1,62%",0519,2932,958,-158,1190,"12,65%","-0,77%",129,"5,71%","-0,56%",000,"81.046.000,00",028,"19,84%"
29,HYPE3,876,-15391,083,1520,"1,37%",0404,180,1079,-244,1495,"14,09%","-0,99%",281,"4,67%","-0,54%","71.048.200,00","6.596.680.000,00",070,"42,73%"
30,BAHI11,4370,-14043,465,0000,"0,00%",3943,0,-6543,0,-5224,"0,00%","0,00%",0,"0,00%","-3,31%",000,"56.342.000,00",000,"-99,72%"
31,TELB3,3500,-12141,1942,0000,"0,00%",5320,0,-8533,0,-7405,"0,00%","0,00%",0,"0,00%","-15,99%","38.994,10","197.734.000,00",000,"0,00%"
32,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
33,CESP5,3189,-11825,100,3570,"5,72%",0570,-2662,809,-152,985,"44,14%","-3,02%",69,"7,22%","-0,85%","50.119,10","10.434.900.000,00",026,"7,97%"
34,LUXM4,3000,-11622,065,0898,"2,41%",0384,2172,710,-117,942,"12,65%","-0,77%",129,"5,71%","-0,56%","3.000,00","81.046.000,00",028,"19,84%"
35,CESP6,3126,-11591,098,3499,"2,50%",0559,-2609,793,-149,969,"44,14%","-3,02%",69,"7,22%","-0,85%","15.042.500,00","10.434.900.000,00",026,"7,97%"
36,LLXL3,361,-10533,279,"-1.192,590","0,00%",1116,3993,-2273,-383,-2598,"5.246,26%","1.730,25%",110,"-6,80%","-2,64%","13.223.300,00","898.712.000,00",099,"10,95%"
37,BMTO4,077,-10513,291,0000,"0,00%",2880,0,"9.076,63",0,"9.069,66","0,00%","0,00%",0,"0,00%","-2,77%","20.133,20","758.676.000,00",000,"0,00%"
38,BMTO3,073,-9966,276,0000,"0,00%",2730,0,"8.605,12",0,"8.598,14","0,00%","0,00%",0,"0,00%","-2,77%","1.918,82","758.676.000,00",000,"0,00%"
39,GLOB4,3049,-9844,390,0508,"0,00%",0892,473,929,-11242,1244,"5,47%","-0,52%",133,"13,78%","-3,96%",000,"2.522.010.000,00",176,"47,55%"
40,OSXB3,1238,-9452,137,47611,"0,00%",0930,286,-2046,488,-1654,"-232,66%","-50,75%",293,"-7,89%","-1,45%","8.836.460,00","2.528.390.000,00",035,"0,00%"
41,CESP3,2540,-9418,080,2843,"3,08%",0454,-2120,644,-121,821,"44,14%","-3,02%",69,"7,22%","-0,85%","81.461,70","10.434.900.000,00",026,"7,97%"
42,BNCA3,7030,-9030,245,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
43,WMBY3,2539,-8708,149,0258,"0,00%",0157,56,985,319,2094,"2,62%","-1,60%",223,"1,91%","-1,71%",000,"409.724.000,00",272,"-11,62%"
44,BRTP3,3571,-6726,245,1168,"0,00%",0684,898,603,-240,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
45,CASN3,400,-6186,284,5337,"0,00%",1542,2782,4409,-502,4660,"12,11%","-8,63%",158,"3,75%","-4,59%",000,"1.006.640.000,00",026,"9,64%"
46,MTIG3,138,-5731,1050,5768,"0,00%",6800,2512,-4689,3508,-4778,"-12,30%","-10,06%",198,"-17,62%","-18,32%","2.871,07","41.076.000,00",035,"2,57%"
47,RANI4,2850,-5700,050,0495,"4,63%",0200,39686,652,-48,1477,"7,58%","-0,86%",100,"3,35%","-0,87%",000,"463.667.000,00",075,"7,93%"
48,MPXE3,4479,-5651,402,39774,"0,00%",0723,802,-2630,-124,-4168,"-151,23%","-67,68%",164,"-3,36%","-7,12%","13.677.600,00","1.521.550.000,00",326,"63,49%"
49,PEFX5,1900,-5204,168,0477,"0,00%",0597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
50,PEFX3,1900,-5204,168,0477,"0,00%",0597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
51,TELB4,1500,-5203,832,0000,"0,00%",2280,0,-3657,0,-2529,"0,00%","0,00%",0,"0,00%","-15,99%","4.002.430,00","197.734.000,00",000,"0,00%"
52,GLOB3,1540,-4972,197,0257,"0,00%",0451,239,469,-5678,784,"5,47%","-0,52%",133,"13,78%","-3,96%","26.516,60","2.522.010.000,00",176,"47,55%"
