,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,MNSA4,047,000,000,0000,"0,00%",0,000,000,0,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
1,CLAN3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
2,POPR4,1017,000,000,0000,"0,00%",0,000,000,0,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
3,CSTB3,15000,000,000,0000,"0,00%",0,000,000,0,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
4,MNSA3,042,000,000,0000,"0,00%",0,000,000,0,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
5,PORP4,240,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
6,CSTB4,14769,000,000,0000,"0,00%",0,000,000,0,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
7,IVTT3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
8,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,0,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
9,PMET3,000,000,000,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
10,GNDI3,6695,"-3.584,82",584,3423,"2,39%",2378,7965,8705,-621,9113,5088,"3,93%","-0,09%",117,"3,09%","-0,16%",000,"7.116.080.000,00",053,"25,23%"
11,AESB3,1010,"-1.485,73",145,2147,"0,87%",400,204,1187,-108,2058,1042,"18,10%","5,37%",363,"4,48%","-0,10%","18.671.400,00","4.175.170.000,00",189,"130,24%"
12,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
13,ONCO3,740,-38554,183,1013,"0,00%",507,598,1067,-140,1760,1185,"9,49%","1,09%",142,"5,57%","-0,47%","7.844.340,00","2.014.190.000,00",148,"0,00%"
14,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
15,GLOB4,3049,-32491,885,1615,"0,00%",1432,-1381,2285,-366,2664,1754,"7,07%","-0,50%",81,"8,30%","-2,72%",000,"5.505.000.000,00",169,"4,75%"
16,RAIL3,1880,-31434,231,3816,"0,10%",766,759,1576,-174,2037,1079,"24,21%","-1,24%",183,"5,77%","-0,74%","285.031.000,00","15.061.000.000,00",111,"7,70%"
17,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,1420,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
18,DMMO3,187,-25970,-172,2866,"0,00%",3359,1195,640,-137,592,545,"44,81%","-1,10%",225,"70,39%","0,66%","17.511.500,00","-553.275.000,00",000,"-17,37%"
19,RJCP3,001,-22470,065,0000,"0,00%",619,000,-52294,0,-52396,-91732,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
20,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
21,PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",0,"-2.637,65",11107,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
22,MAPT3,3750,-19361,-567,0000,"0,00%",44583,"-17.231,20",-24269,-503,-24269,-24269,"0,00%","0,00%",0,"-18,42%","2,93%",000,"-6.073.000,00",000,"0,00%"
23,ELMD3,1008,-17210,191,2017,"0,00%",707,-703,1621,-188,2239,1023,"12,44%","0,24%",64,"5,04%","-1,11%","3.075.290,00","739.445.000,00",091,"101,10%"
24,HAPV3,499,-13683,073,1796,"0,06%",501,13263,-10071,-236,-12044,2967,"-1,78%","-1,30%",104,"-0,53%","-0,53%","404.015.000,00","49.053.700.000,00",022,"53,25%"
25,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
26,MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,641,534,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
27,LINX3,3740,-9095,438,7885,"1,52%",2745,1196,5317,4706,5149,2297,"14,83%","-8,67%",214,"6,82%","-4,81%",000,"1.619.010.000,00",022,"15,54%"
28,BNCA3,7030,-9030,245,0000,"0,00%",0,000,000,0,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
29,CSAB3,4100,-7943,165,66430,"2,48%",811,000,-3402,0,000,000,"-195,25%","-83,63%",0,"0,00%","-2,08%",45500,"190.979.000,00",000,"-28,84%"
30,CSAB4,4100,-7943,165,66430,"2,73%",811,000,-3402,0,000,000,"-195,25%","-83,63%",0,"0,00%","-2,08%",30750,"190.979.000,00",000,"-28,84%"
31,TPIS3,123,-7927,023,0190,"1,52%",71,-065,108,-11,924,420,"17,58%","-0,45%",34,"6,96%","-0,29%","731.335,00","926.523.000,00",185,"-1,66%"
32,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,5013,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
33,YDUQ3,1073,-7001,110,0735,"1,18%",334,224,609,-82,1369,599,"12,07%","-1,01%",207,"6,69%","-1,57%","92.150.400,00","3.024.090.000,00",189,"6,60%"
34,BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
