,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,IVTT3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
1,PORP4,240,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
2,CSTB4,14769,000,000,0000,"0,00%",0,0,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
3,DAGB33,40650,000,000,0000,"0,00%",0,0,000,000,000,"4,13%","-1,13%",112,"4,02%","-5,25%","3.747.680,00","9.561.550.000,00",149,"41,06%"
4,PMET3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
5,ALUP3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","5,39%",000,"4.257.880.000,00",000,"6,54%"
6,POPR4,1017,000,000,0000,"0,00%",0,0,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
7,MNSA3,042,000,000,0000,"0,00%",0,0,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
8,VNET3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","32,17%",000,"11.546.300.000,00",000,"25,67%"
9,MNSA4,047,000,000,0000,"0,00%",0,0,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
10,CLAN3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
11,CSTB3,15000,000,000,0000,"0,00%",0,0,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
12,CFLU4,"1.000,00",000,000,0000,"0,00%",0,0,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
13,CRPG3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-3,09%",000,"363.357.000,00",000,"-5,62%"
14,CLSC6,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-5,15%",000,"2.067.580.000,00",000,"12,12%"
15,QGEP3,465,-69398,046,2424,"3,23%",362,110,597,206,238,"40,60%","-0,35%",572,"9,63%","-0,07%","4.236.120,00","2.661.400.000,00",014,"6,81%"
16,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
17,TGMA3,830,-40761,151,0551,"0,00%",639,364,997,-536,1222,"5,53%","-0,14%",162,"9,04%","-0,37%","922.283,00","362.054.000,00",095,"-12,85%"
18,DTCY3,378,-34638,2191,2242,"0,00%",1553,-977,9559,-258,11114,"2,35%","-0,65%",67,"1,85%","-6,32%","1.691,41","1.344.000,00",393,"4,47%"
19,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
20,IDVL11,14000,-29495,3886,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-13,17%",000,"549.554.000,00",000,"-8,38%"
21,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
22,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
23,ETER4,985,-21343,353,1920,"0,00%",1967,858,1599,-22671,1726,"12,01%","-0,90%",212,"12,97%","-1,65%",000,"499.445.000,00",029,"2,14%"
24,MYPK4,3179,-20932,168,0421,"0,00%",428,-2753,706,-115,1309,"5,96%","0,89%",96,"7,45%","-0,80%",000,"1.792.840.000,00",172,"11,36%"
25,PITI4,128,-20474,000,0000,"0,00%",0,0,"-2.637,65",000,"-2.637,65","0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
26,GLOB4,3049,-13480,934,2116,"0,01%",2785,3996,3848,-2596,3977,"5,50%","-1,57%",113,"10,24%","-6,93%",000,"4.216.000.000,00",071,"-4,35%"
27,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
28,CEPE3,2453,-11970,112,0397,"0,07%",361,16736,1162,-087,2308,"3,42%","-0,33%",101,"3,59%","-0,93%",000,"1.635.480.000,00",124,"10,22%"
29,MYPK3,1751,-11530,093,0232,"1,26%",236,-1516,389,-064,992,"5,96%","0,89%",96,"7,45%","-0,80%","7.508.670,00","1.792.840.000,00",172,"11,36%"
30,LLIS3,376,-10283,077,1166,"0,00%",434,-911,694,-199,1104,"16,81%","-6,29%",82,"7,06%","-0,75%","309.627,00","1.706.010.000,00",054,"52,48%"
31,VULC4,1800,-9731,13775,3572,"0,00%",2945,-3591,6648,-738,7769,"5,37%","-3,67%",88,"4,84%","-141,56%",000,"24.205.000,00",2382,"-12,38%"
32,CEPE5,1880,-9174,086,0304,"0,09%",277,12827,891,-067,2036,"3,42%","-0,33%",101,"3,59%","-0,93%","2.019,55","1.635.480.000,00",124,"10,22%"
33,BNCA3,7030,-9030,245,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
34,CPRE3,1155,-8621,145,3933,"0,00%",490,-3715,887,-086,1720,"44,34%","-3,96%",86,"5,84%","-1,68%","41.810,30","4.004.560.000,00",151,"36,57%"
35,CEPE6,1750,-8540,080,0283,"0,00%",258,11940,829,-062,1975,"3,42%","-0,33%",101,"3,59%","-0,93%",48636,"1.635.480.000,00",124,"10,22%"
36,SLCE3,1406,-7388,060,0849,"4,26%",289,252,2832,-247,5188,"3,00%","-1,97%",146,"1,16%","-0,81%","4.237.980,00","2.334.740.000,00",071,"10,93%"
37,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
38,BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
39,PCAR5,6712,-5699,176,0254,"0,25%",424,-804,641,-184,831,"3,96%","-1,76%",90,"9,93%","-3,10%",000,"10.110.000.000,00",089,"10,38%"
40,RAPT4,461,-5663,107,0514,"0,00%",326,82,1840,2954,2600,"2,80%","0,33%",289,"2,90%","-1,90%","11.207.300,00","1.484.200.000,00",160,"-5,44%"
41,PEFX5,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
42,PEFX3,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
43,IMBI3,549,-5086,307,"2.913,780","0,00%",567,-242,-10643,-040,-11402,"-2.737,88%","-13.821,20%",5,"-0,54%","-6,05%","19.919,00","62.544.000,00",022,"-57,16%"
44,SULT3,065,-4653,004,0118,"0,00%",7,-3,-022,-001,-548,"-53,39%","-2,51%",18,"-3,24%","-0,09%",000,"190.296.000,00",103,"-18,59%"
45,PCAR4,5310,-4509,140,0201,"0,31%",336,-636,507,-145,697,"3,96%","-1,76%",90,"9,93%","-3,10%","39.180.200,00","10.110.000.000,00",089,"10,38%"
46,CLAN4,300,-4492,047,15151,"0,00%",406,-1550,-8256,-636,-9743,"-18,35%","-33,73%",73,"-0,50%","-1,05%",000,"1.012.240.000,00",008,"-63,96%"
47,PFRM3,988,-4430,079,0169,"0,00%",275,105,585,513,949,"2,90%","-0,38%",159,"6,84%","-1,79%","1.133.290,00","807.131.000,00",066,"-0,46%"
48,EBTP3,1021,-4356,117,0548,"0,00%",353,-50247,642,-073,846,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
49,EBTP4,1000,-4266,114,0537,"0,00%",346,-49213,629,-071,833,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
50,RANI4,293,-4086,107,0628,"0,26%",313,-1007,592,-063,1452,"10,61%","-1,54%",87,"5,77%","-2,61%",53507,"457.480.000,00",169,"14,16%"
51,RAPT3,325,-3992,076,0363,"0,00%",230,57,1297,2082,2057,"2,80%","0,33%",289,"2,90%","-1,90%","112.295,00","1.484.200.000,00",160,"-5,44%"
52,PCAR3,4701,-3992,124,0178,"0,32%",297,-563,449,-129,639,"3,96%","-1,76%",90,"9,93%","-3,10%",000,"10.110.000.000,00",089,"10,38%"
53,RANI3,286,-3989,104,0613,"0,26%",305,-983,578,-062,1438,"10,61%","-1,54%",87,"5,77%","-2,61%","10.224,00","457.480.000,00",169,"14,16%"
54,FBRA4,3458,-3957,166,0457,"0,00%",738,1894,740,-1767,1062,"6,18%","-1,15%",111,"11,94%","-4,20%",000,"213.406.000,00",077,"12,48%"
55,BRTP4,2081,-3919,143,0681,"0,00%",399,523,351,-140,503,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
56,IMBI4,409,-3789,229,"2.170,740","0,00%",423,-180,-7929,-030,-8688,"-2.737,88%","-13.821,20%",5,"-0,54%","-6,05%","25.255,70","62.544.000,00",022,"-57,16%"
57,LIGT3,1588,-3771,090,0331,"0,31%",227,-341,513,-045,1487,"6,45%","-0,88%",78,"5,08%","-2,38%","17.967.300,00","3.606.580.000,00",188,"37,88%"
58,SULT4,051,-3651,003,0092,"0,00%",6,-2,-017,-001,-544,"-53,39%","-2,51%",18,"-3,24%","-0,09%",000,"190.296.000,00",103,"-18,59%"
59,TECN3,436,-3533,076,0892,"0,00%",456,113,2412,339,3018,"3,70%","-2,53%",395,"2,04%","-2,17%","294.496,00","447.458.000,00",026,"5,48%"
60,STBP11,1440,-3361,138,2298,"0,22%",998,3914,-4542,-880,-4757,"-5,06%","-6,84%",119,"-2,50%","-4,10%","183.777,00","1.391.530.000,00",019,"-9,93%"
61,AMAR3,753,-3356,144,0498,"0,00%",560,165,600,2649,808,"8,31%","-1,48%",217,"12,49%","-4,28%","392.141,00","1.069.900.000,00",092,"4,85%"
62,ETER3,153,-3315,055,0298,"5,75%",306,133,248,-3522,376,"12,01%","-0,90%",212,"12,97%","-1,65%","2.300.540,00","499.445.000,00",029,"2,14%"
63,AELP3,1195,-3291,092,0089,"1,07%",83,162,249,-017,763,"3,57%","-0,05%",119,"4,12%","-2,81%","13.463,00","1.228.260.000,00",300,"8,34%"
64,TPIS3,350,-3246,050,0329,"8,21%",120,-28,158,-018,823,"20,79%","-0,79%",11,"7,90%","-1,55%","430.526,00","1.223.070.000,00",219,"30,32%"
65,PRTX3,277,-3227,-14532,297651,"0,00%",1400,-257,-9711,-143,-12899,"-306,50%","-922,47%",5,"-1,50%","450,37%",000,"-18.917.000,00",-4985,"307,96%"
66,DFVA3,990,-3138,6069,4327,"0,00%",5365,2910,-5591,-3147,-5828,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
67,ASTA4,2583,-3079,100,0652,"0,00%",446,257,1990,-330,3320,"3,28%","-2,12%",171,"2,52%","-3,25%",000,"515.672.000,00",085,"-4,73%"
68,MGLU3,7650,-2963,245,0183,"0,00%",332,1774,446,-111,726,"4,10%","-0,62%",103,"12,83%","-8,27%","10.969.600,00","674.735.000,00",251,"7,12%"
69,VGOR4,587,-2958,718,1229,"0,00%",1468,11397,2732,-322,3409,"4,50%","-4,59%",104,"6,00%","-24,29%",000,"135.178.000,00",189,"4,77%"
70,CRBM3,9000,-2895,326,1498,"0,00%",1172,298,-1545,1690,-1417,"-9,70%","-5,18%",224,"-12,71%","-11,28%",000,"827.347.000,00",045,"-1,58%"
71,LIGH3,1666,-2876,144,0398,"0,00%",309,-585,1637,-058,4072,"2,43%","-1,38%",83,"2,16%","-5,00%",000,"2.465.180.000,00",228,"36,80%"
72,CESP5,2010,-2847,089,2775,"9,08%",562,3592,825,-204,831,"33,65%","-9,75%",124,"7,19%","-3,14%","1.048,30","7.372.690.000,00",009,"-7,00%"
73,SGAS3,470,-2585,040,0385,"1,66%",339,160,-599,249,-483,"-6,43%","-1,87%",402,"-6,18%","-1,54%",10864,"430.865.000,00",000,"-15,08%"
74,DFVA4,800,-2535,4904,3497,"0,00%",4335,2351,-4518,-2543,-4755,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
75,MERC3,750,-2310,071,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-3,07%",5114,"190.187.000,00",000,"42,38%"
76,TAMM4,5273,-2274,380,0626,"0,00%",524,-3111,977,-096,1801,"6,41%","-2,21%",95,"6,36%","-16,70%",000,"2.174.310.000,00",408,"9,79%"
77,TAMM3,5260,-2268,379,0625,"0,00%",523,-3104,974,-096,1798,"6,41%","-2,21%",95,"6,36%","-16,70%",000,"2.174.310.000,00",408,"9,79%"
78,CBEE3,3200,-2198,132,0665,"0,00%",392,961,2402,-089,4482,"2,77%","-3,03%",118,"1,85%","-6,02%","1.337,75","2.371.050.000,00",130,"9,36%"
79,PRML3,697,-2089,070,"2.880,800","0,00%",258,1120,-957,-051,-2688,"-30.109,80%","-12.154,20%",135,"-2,90%","-3,33%","1.453.650,00","2.778.740.000,00",143,"-50,85%"
80,CESP6,1470,-2082,065,2030,"0,59%",411,2627,603,-149,609,"33,65%","-9,75%",124,"7,19%","-3,14%","27.075.200,00","7.372.690.000,00",009,"-7,00%"
81,RUMO3,632,-2028,143,1636,"0,00%",361,-3223,712,-058,1250,"22,96%","-8,20%",91,"5,61%","-7,07%","66.918.800,00","5.902.410.000,00",138,"0,00%"
82,BIOM4,868,-1982,304,0000,"0,00%",1260,0,-1121,000,-1227,"0,00%","0,00%",0,"0,00%","-15,33%",000,"88.077.000,00",000,"0,00%"
83,MERC4,630,-1941,060,0000,"7,84%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-3,07%",000,"190.187.000,00",000,"42,38%"
84,CRBM7,6000,-1930,218,0999,"0,00%",782,199,-1030,1126,-902,"-9,70%","-5,18%",224,"-12,71%","-11,28%",000,"827.347.000,00",045,"-1,58%"
85,CESP3,1326,-1878,059,1831,"0,65%",371,2369,544,-134,550,"33,65%","-9,75%",124,"7,19%","-3,14%","57.491,80","7.372.690.000,00",009,"-7,00%"
86,TDBH4,066,-1863,128,0906,"0,00%",811,-615,873,-566,1023,"10,38%","-4,86%",63,"10,48%","-6,85%",000,"554.115.000,00",027,"35,74%"
87,TANC4,4300,-1854,310,0511,"0,00%",428,-2537,796,-078,1620,"6,41%","-2,21%",95,"6,36%","-16,70%",000,"2.174.310.000,00",408,"9,79%"
88,BIOM3,750,-1712,263,0000,"0,00%",1089,0,-968,000,-1075,"0,00%","0,00%",0,"0,00%","-15,33%","15.923,00","88.077.000,00",000,"0,00%"
89,CCIM3,552,-1644,094,0498,"0,00%",198,53,896,-109,2504,"5,55%","-3,03%",258,"2,38%","-5,75%",000,"660.347.000,00",193,"29,98%"
90,SGAS4,297,-1633,025,0243,"2,90%",214,101,-379,157,-263,"-6,43%","-1,87%",402,"-6,18%","-1,54%","24.535,30","430.865.000,00",000,"-15,08%"
91,TDBH3,056,-1581,108,0769,"0,00%",688,-522,740,-480,891,"10,38%","-4,86%",63,"10,48%","-6,85%",000,"554.115.000,00",027,"35,74%"
92,CLSC5,3901,-1412,073,0240,"0,00%",173,-559,-910,-056,-856,"-2,63%","-1,70%",94,"-2,39%","-5,15%",000,"2.067.580.000,00",057,"12,12%"
93,AZEV3,250,-1395,210,0221,"3,08%",440,202,-513,-257,-585,"-4,30%","-4,24%",154,"-9,96%","-15,09%",6250,"32.072.000,00",037,"15,09%"
94,ITEC3,1513,-1369,298,10808,"0,00%",1267,475,-654,-1470,-707,"-165,30%","-78,95%",221,"-21,69%","-21,74%",000,"56.928.000,00",047,"-70,98%"
95,VVAR3,309,-1366,095,0214,"0,08%",282,405,390,-263,519,"5,50%","-1,57%",113,"10,24%","-6,93%","8.316,39","4.216.000.000,00",071,"-4,35%"
96,GOLL4,624,-1359,-907,3287,"0,00%",3734,-1138,"-3.047,28",-328,"-3.601,97","-0,11%","-22,09%",43,"-0,16%","66,73%","18.529.000,00","-3.603.000.000,00",-193,"6,28%"
97,LECO4,146,-1348,200,0637,"0,00%",924,-1684,-2969,-316,-3269,"-2,14%","-4,72%",82,"-3,48%","-14,82%",000,"105.928.000,00",020,"3,58%"
98,IGUA3,815,-1252,-144,0568,"0,00%",564,-65,822,-060,1480,"6,91%","-4,53%",34,"7,61%","11,52%",000,"-164.188.000,00",-133,"-7,41%"
99,FGUI3,1200,-1241,-215,16009,"0,00%",25203,-220,-5776,-205,-7017,"-27,72%","-129,00%",4,"-60,74%","17,32%",000,"-222.024.000,00",-046,"2,13%"
100,IGUA6,807,-1240,-143,0562,"0,00%",558,-64,814,-059,1472,"6,91%","-4,53%",34,"7,61%","11,52%",000,"-164.188.000,00",-133,"-7,41%"
101,SGPS3,389,-1231,019,0087,"0,00%",75,39,105,-101,596,"8,29%","-0,68%",157,"8,09%","-1,56%","330.638,00","1.013.190.000,00",103,"13,18%"
102,IGUA5,798,-1226,-141,0556,"0,00%",552,-64,804,-059,1463,"6,91%","-4,53%",34,"7,61%","11,52%",000,"-164.188.000,00",-133,"-7,41%"
103,GFSA3,249,-1217,031,0456,"1,93%",144,42,686,131,1744,"6,66%","-3,70%",209,"2,35%","-2,58%","20.954.300,00","2.998.070.000,00",069,"-11,07%"
104,RLOG3,442,-1212,097,0313,"0,00%",69,-617,137,-011,824,"22,78%","-8,15%",91,"5,15%","-8,00%","1.830.390,00","1.670.840.000,00",489,"166,30%"
105,VULC3,220,-1189,1684,0437,"0,00%",360,-439,813,-090,1934,"5,37%","-3,67%",88,"4,84%","-141,56%","309.998,00","24.205.000,00",2382,"-12,38%"
106,PRVI3,1054,-1174,161,0919,"0,00%",565,-25086,971,-148,987,"9,46%","-7,83%",99,"6,15%","-13,71%",000,"525.170.000,00",010,"16,19%"
107,MRFG3,522,-1101,177,0152,"0,00%",133,158,198,-028,622,"7,64%","-1,07%",124,"10,15%","-16,10%","13.673.600,00","1.534.990.000,00",717,"-4,98%"
108,CPNY3,235,-1100,042,0232,"0,00%",54,20,121,-013,421,"19,13%","-2,11%",226,"5,48%","-3,86%",000,"398.830.000,00",233,"20,10%"
109,CRPG6,528,-1092,034,0362,"0,00%",229,45,-1613,061,-1591,"-2,24%","-3,31%",369,"-1,60%","-3,09%","34.298,60","363.357.000,00",011,"-5,62%"
110,ALLL3,397,-1079,432,2351,"0,00%",619,-15585,2551,-089,3836,"9,22%","-22,17%",97,"2,77%","-40,05%",000,"2.402.750.000,00",289,"5,46%"
111,CRPG5,518,-1071,033,0355,"0,00%",225,44,-1582,060,-1560,"-2,24%","-3,31%",369,"-1,60%","-3,09%","28.040,00","363.357.000,00",011,"-5,62%"
112,BTOW3,1595,-1040,180,0642,"0,00%",577,308,1569,-264,2244,"4,09%","-6,17%",169,"5,74%","-17,34%","11.941.900,00","3.023.100.000,00",139,"20,70%"
113,GPCP3,2461,-980,-729,0337,"0,00%",196,-122,529,-033,1366,"6,38%","-4,06%",73,"4,09%","74,43%","62.121,40","-19.857.000,00",-1167,"-10,83%"
114,MAPT4,202,-952,-037,0000,"0,00%",2402,0,-977,000,-977,"0,00%","0,00%",0,"0,00%","3,89%",000,"-5.007.000,00",000,"0,00%"
115,BEEF3,960,-940,376,0237,"0,00%",276,113,223,-088,513,"10,67%","-2,52%",167,"20,29%","-40,04%","9.110.620,00","612.033.000,00",945,"24,84%"
116,VVAR11,637,-939,065,0147,"0,12%",194,278,268,-181,397,"5,50%","-1,57%",113,"10,24%","-6,93%","7.711.490,00","4.216.000.000,00",071,"-4,35%"
117,BPAN4,144,-913,039,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-4,28%","201.541,00","3.421.900.000,00",000,"108,09%"
118,SOND3,5000,-906,205,1157,"0,00%",1389,369,-701,398,-569,"-16,51%","-12,74%",228,"-27,67%","-22,59%",000,"60.035.000,00",000,"2,81%"
119,ALLL4,332,-903,361,1966,"0,00%",518,-13033,2133,-074,3419,"9,22%","-22,17%",97,"2,77%","-40,05%",000,"2.402.750.000,00",289,"5,46%"
120,ALLL11,1650,-897,359,1954,"0,00%",515,-12954,2121,-074,3406,"9,22%","-22,17%",97,"2,77%","-40,05%",000,"2.402.750.000,00",289,"5,46%"
121,WMBY3,2539,-889,245,0236,"0,00%",177,94,438,-247,1178,"5,40%","-5,22%",157,"4,62%","-27,53%",000,"249.031.000,00",520,"1,99%"
122,TERI3,6428,-883,029,0107,"0,00%",81,790,720,-026,3956,"1,49%","-1,91%",103,"1,25%","-3,27%","112.599,00","3.641.000.000,00",143,"7,94%"
123,MEAL3,550,-880,084,0633,"0,00%",580,635,-4207,-1484,-4007,"-1,51%","-7,20%",153,"-1,76%","-9,52%","1.777.110,00","1.093.030.000,00",020,"98,16%"
124,SEMP3,1686,-812,136,15081,"0,00%",1201,1567,-442,1567,-407,"-340,98%","-185,82%",164,"-30,21%","-16,81%",000,"118.441.000,00",000,"-10,37%"
125,BDLL3,4500,-804,022,0161,"0,00%",86,752,-498,-068,-1662,"-3,24%","-2,01%",102,"-1,90%","-2,76%",000,"325.091.000,00",053,"-4,19%"
126,SZPQ4,664,-785,220,0855,"0,00%",744,262,-2031,-317,-2277,"-4,21%","-10,89%",297,"-3,77%","-28,00%",000,"684.467.000,00",030,"-11,71%"
127,CLSC3,2150,-778,040,0132,"0,00%",95,-308,-502,-031,-448,"-2,63%","-1,70%",94,"-2,39%","-5,15%",97727,"2.067.580.000,00",057,"12,12%"
128,TKNO4,3825,-762,058,1092,"0,00%",511,137,-474,149,-300,"-23,02%","-14,39%",553,"-13,97%","-7,56%",000,"195.662.000,00",000,"-7,61%"
129,AZEV4,135,-753,114,0119,"5,71%",237,109,-277,-139,-349,"-4,30%","-4,24%",154,"-9,96%","-15,09%","3.233,16","32.072.000,00",037,"15,09%"
130,MEDI3,1155,-752,189,0374,"0,00%",824,-1002,-911,-331,-661,"-4,11%","-4,98%",79,"-12,30%","-25,13%",000,"426.164.000,00",002,"13,02%"
131,MGEL3,2500,-741,-055,0336,"0,00%",367,370,7087,-029,31088,"0,47%","-12,69%",132,"0,61%","7,36%",000,"-265.106.000,00",-199,"-6,92%"
132,MILS3,458,-706,077,1609,"0,00%",488,242,-1362,-1216,-1669,"-11,81%","-22,79%",266,"-4,61%","-10,87%","5.020.320,00","1.047.730.000,00",051,"-11,16%"
133,LATM11,2865,-705,017,0059,"0,00%",29,-19,052,-004,821,"11,46%","-0,39%",49,"6,55%","-2,37%",000,"11.357.000.000,00",292,"16,69%"
