,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
1,CLAN3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
2,CLSC6,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","8,87%",000,"1.879.780.000,00",000,"4,42%"
3,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
4,CSTB4,14769,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
5,IVTT3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
6,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
7,MNSA4,047,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
8,PMET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
9,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
10,PORP4,240,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
11,VNET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","27,34%",000,"9.132.030.000,00",000,"-1,42%"
12,STBP3,545,"-32.464,80",272,3889,"0,08%",1260,4851,7304,-317,7241,"5,32%","-0,01%",123,"1,93%","-0,01%","8.994.430,00","1.337.190.000,00",016,"-2,25%"
13,STBP11,1440,"-17.155,70",144,2055,"0,00%",666,2563,3860,-168,3796,"5,32%","-0,01%",123,"1,93%","-0,01%",000,"1.337.190.000,00",016,"-2,25%"
14,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
15,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
16,CASN3,1800,-33734,991,36584,"0,00%",3831,-17970,"15.545,80",-800,"16.784,70","0,24%","-10,85%",86,"0,03%","-2,94%",000,"1.298.590.000,00",088,"-11,77%"
17,TESA3,1595,-32041,036,0297,"0,00%",142,-415,251,-039,850,"11,84%","-0,09%",88,"6,37%","-0,11%","771.401,00","956.644.000,00",090,"3,58%"
18,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
19,CCPR3,1470,-26169,168,3535,"6,82%",500,2512,751,-134,1316,"47,11%","9,28%",120,"7,38%","-0,64%","92.803,90","1.048.620.000,00",159,"7,58%"
20,RJCP3,001,-22470,065,0000,"0,00%",619,000,-52294,000,-52396,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
21,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
22,PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",000,"-2.637,65","0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
23,MSPA4,4801,-15170,034,2298,"6,19%",215,265,-1533,-086,-1259,"-14,99%","-1,51%",365,"-1,49%","-0,22%",000,"913.111.000,00",001,"-22,55%"
24,MSPA3,4700,-14851,033,2250,"5,74%",211,260,-1501,-084,-1226,"-14,99%","-1,51%",365,"-1,49%","-0,22%","3.146,38","913.111.000,00",001,"-22,55%"
25,IDVL11,14000,-13036,11233,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-86,17%",000,"108.177.000,00",000,"0,00%"
26,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
27,MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,641,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
28,KLBN3,403,-11597,358,2113,"4,66%",721,246,713,-176,1131,"29,62%","-1,30%",430,"13,86%","-3,09%","357.486,00","6.089.060.000,00",332,"20,28%"
29,GOLL4,4379,-11455,-205,1232,"0,00%",1080,-378,1922,-091,2654,"6,41%","1,49%",52,"7,11%","1,79%","162.298.000,00","-7.477.070.000,00",-102,"5,91%"
30,GLOB4,3049,-10231,2022,1487,"0,00%",1753,-1278,3283,-418,3534,"4,53%","-1,45%",78,"8,21%","-19,77%",000,"1.958.000.000,00",221,"6,99%"
31,BNCA3,7030,-9030,245,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
32,KLBN11,1565,-9007,278,1641,"6,00%",560,191,554,-137,971,"29,62%","-1,30%",430,"13,86%","-3,09%","52.898.300,00","6.089.060.000,00",332,"20,28%"
