,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,NAFG3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"9,00%"
1,VNET3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","153,18%",000,"1.194.250.000,00",000,"17,83%"
2,CFLU4,"1.000,00",000,000,0000,"0,00%",0000,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
3,MNSA4,047,000,000,0000,"0,00%",0000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
4,CSTB3,15000,000,000,0000,"0,00%",0000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
5,CLAN3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,38%",000,"1.032.050.000,00",000,"13,97%"
6,PORP4,240,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
7,CSTB4,14769,000,000,0000,"0,00%",0000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
8,IVTT3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,50%",000,"638.199.000,00",000,"408,03%"
9,POPR4,1017,000,000,0000,"0,00%",0000,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
10,DAGB11,20190,000,000,0000,"0,00%",0000,000,000,000,000,"8,17%","5,53%",115,"10,90%","16,81%","1.357.780,00","1.450.950.000,00",088,"1,18%"
11,PMET3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","2,97%",000,"-252.478.000,00",000,"-25,89%"
12,MNSA3,042,000,000,0000,"0,00%",0000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
13,IGBR6,1900,"-17.733,60",-52601,"886.549,000","0,00%","1.757,590","-8.590,77","-19.261,90",-41097,"-19.294,20","-4.602,61%","-4.999,25%",24,"-9,15%","2,97%",000,"-451.696,00",-088,"-97,14%"
14,IGBR5,1890,"-17.640,30",-52324,"881.882,000","0,00%","1.748,340","-8.545,56","-19.160,50",-40881,"-19.192,80","-4.602,61%","-4.999,25%",24,"-9,15%","2,97%",000,"-451.696,00",-088,"-97,14%"
15,IGBR3,646,"-6.029,43",-17884,"301.426,000","0,00%",597582,"-2.920,86","-6.549,03",-13973,"-6.581,37","-4.602,61%","-4.999,25%",24,"-9,15%","2,97%","1.224.100,00","-451.696,00",-088,"-97,14%"
16,RHDS4,100,"-2.233,50",3323,4893,"0,00%",5071,"1.381,95",7195,-1296,7598,"6,80%","-0,48%",101,"8,25%","-1,49%",000,"241.518.000,00",234,"11,49%"
17,PLDN4,48600,-55307,108,0919,"0,00%",0611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
18,OGXP3,1689,-44231,593,0000,"0,00%",5468,000,-17117,000,-15838,"0,00%","0,00%",0,"0,00%","-1,34%","362.050.000,00","9.215.140.000,00",000,"0,00%"
19,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
20,RHDS3,012,-26802,399,0587,"0,00%",0609,16583,863,-156,1266,"6,80%","-0,48%",101,"8,25%","-1,49%","63.730,00","241.518.000,00",234,"11,49%"
21,BHGR3,2274,-25862,132,6662,"0,00%",1035,609,-8732,2057,-8658,"-7,63%","-4,96%",303,"-1,43%","-0,51%","524.027,00","628.217.000,00",018,"408,03%"
22,LLXL3,455,-24836,346,283956,"0,00%",1971,862,-3696,-1473,-3978,"-768,23%","-228,47%",557,"-5,85%","-1,39%","13.223.200,00","911.513.000,00",039,"85,51%"
23,CASN3,400,-24486,280,5746,"0,28%",1632,3753,5658,-520,6018,"10,16%","-2,35%",173,"2,95%","-1,14%",40000,"1.003.740.000,00",021,"8,83%"
24,ABYA3,491,-21480,176,2055,"0,00%",0527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
25,MAPT3,240,-19868,-566,0000,"0,00%",28530,000,-19868,000,-19868,"0,00%","0,00%",0,"0,00%","2,85%",000,"-3.896.000,00",000,"0,00%"
26,TELB3,2050,-16224,-10061,0000,"0,00%",5029,000,-13962,000,-12222,"0,00%","0,00%",0,"0,00%","62,01%","714.603,00","-22.352.000,00",000,"0,00%"
27,GLOB4,3049,-15578,387,1143,"0,00%",0995,403,2418,2248,2731,"4,73%","-0,76%",146,"7,32%","-2,48%",000,"2.544.610.000,00",127,"24,30%"
28,MAPT4,175,-14487,-413,0000,"0,00%",20803,000,-14487,000,-14487,"0,00%","0,00%",0,"0,00%","2,85%","1.467,92","-3.896.000,00",000,"0,00%"
29,PRTX3,346,-13715,8088,"1.559,440","0,00%",6215,-1897,-24507,-833,-24972,"-636,33%","-1.137,01%",35,"-3,00%","-58,97%","14.492.600,00","42.456.000,00",262,"0,00%"
30,MWET3,1900,-13373,6913,0433,"0,00%",0501,867,537,-076,823,"8,06%","-0,35%",121,"10,53%","-51,70%","5.332,33","1.414.000,00",4339,"3,73%"
31,GLOB3,2600,-13284,330,0975,"0,00%",0848,343,2062,1917,2375,"4,73%","-0,76%",146,"7,32%","-2,48%","621.470,00","2.544.610.000,00",127,"24,30%"
32,DTCY3,120,-13260,1147,5423,"0,00%",4018,-1826,-7105,-769,-7342,"-7,63%","-4,09%",37,"-5,96%","-8,65%","217.094,00","5.871.000,00",043,"-3,18%"
33,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
34,MWET4,1317,-9269,4792,0300,"0,00%",0348,601,372,-053,658,"8,06%","-0,35%",121,"10,53%","-51,70%","134.579,00","1.414.000,00",4339,"3,73%"
35,BNCA3,7030,-9030,245,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
36,PITI4,128,-7438,1272,0146,"0,00%",0067,070,072,-016,472,"20,31%","3,62%",138,"11,77%","-17,10%",000,"71.007.000,00",10044,"44,21%"
37,BRTP3,3571,-6726,245,1168,"0,00%",0684,898,603,-240,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
38,OSXB3,44000,-6400,207,558442,"0,00%",1448,253,-2866,345,-2041,"-1.948,78%","-873,63%",528,"-14,97%","-3,23%","6.865.900,00","2.388.710.000,00",034,"0,00%"
39,BTTL3,123,-5611,1047,0168,"0,00%",0308,714,391,-056,1318,"4,29%","-0,28%",111,"8,98%","-18,66%","9.436,42","17.579.000,00",2704,"17,94%"
40,GSHP3,1249,-5553,170,5428,"0,00%",0539,310,949,-149,970,"57,20%","-9,78%",218,"7,98%","-3,06%","2.622.970,00","371.114.000,00",094,"39,06%"
41,LFFE4,350,-5491,-3568,0307,"0,00%",0139,143,152,-033,570,"20,29%","-1,37%",138,"11,57%","64,97%",000,"-53.350.000,00",-13952,"44,92%"
42,LFFE3,350,-5491,-3568,0307,"0,00%",0139,143,152,-033,570,"20,29%","-1,37%",138,"11,57%","64,97%",000,"-53.350.000,00",-13952,"44,92%"
43,HRTP3,"1.610,00",-5298,284,483733,"0,00%",2798,313,-4002,313,-2715,"-1.208,70%","-913,04%",6950,"-72,16%","-5,35%","91.398.500,00","2.660.460.000,00",000,"1,88%"
44,BTTL4,115,-5246,979,0157,"0,00%",0288,667,366,-053,1293,"4,29%","-0,28%",111,"8,98%","-18,66%","43.212,50","17.579.000,00",2704,"17,94%"
45,PEFX3,1900,-5204,168,0477,"0,00%",0597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
46,PEFX5,1900,-5204,168,0477,"0,00%",0597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
47,TELB4,648,-5128,-3180,0000,"0,00%",1590,000,-4413,000,-2674,"0,00%","0,00%",0,"0,00%","62,01%","2.174.530,00","-22.352.000,00",000,"0,00%"
48,KROT11,2075,-4666,169,2305,"0,00%",1262,2058,-4991,-1779,-5226,"-4,62%","-4,94%",150,"-2,65%","-3,63%","2.566.050,00","816.176.000,00",011,"82,32%"
49,JBSS3,537,-4554,078,0250,"0,42%",0310,273,559,-124,1167,"4,48%","-0,48%",152,"6,55%","-1,72%","24.493.300,00","17.594.400.000,00",108,"81,94%"
50,SGEN3,500,-4438,083,668193,"0,00%",0518,-873,-4407,-203,-4510,"-1.516,15%","-1.505,68%",66,"-1,20%","-1,88%",50000,"145.548.000,00",002,"-72,82%"
51,AGRO3,1025,-4005,107,9247,"0,00%",0823,309,-2335,615,-1997,"-39,60%","-24,82%",411,"-4,48%","-2,66%","81.964,80","561.849.000,00",011,"190,41%"
52,FBRA4,3458,-3957,166,0457,"0,00%",0738,1894,740,-1767,1062,"6,18%","-1,15%",111,"11,94%","-4,20%",000,"213.406.000,00",077,"12,48%"
53,BRTP4,2081,-3919,143,0681,"0,00%",0399,523,351,-140,503,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
54,INET3,025,-3220,-105,0000,"0,00%",50621,000,-5422,000,-5422,"0,00%","0,00%",0,"0,00%","3,27%","93.688,00","-21.020.000,00",000,"0,00%"
55,DFVA3,990,-3138,6069,4327,"0,00%",5365,2910,-5591,-3147,-5828,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
56,ASTA4,2583,-3079,100,0652,"0,00%",0446,257,1990,-330,3320,"3,28%","-2,12%",171,"2,52%","-3,25%",000,"515.672.000,00",085,"-4,73%"
57,SGPS3,460,-3003,041,0285,"1,77%",0246,104,2100,257,3328,"1,36%","-0,80%",196,"1,34%","-1,35%","294.672,00","1.629.330.000,00",032,"-13,62%"
58,VGOR4,587,-2958,718,1229,"0,00%",1468,11397,2732,-322,3409,"4,50%","-4,59%",104,"6,00%","-24,29%",000,"135.178.000,00",189,"4,77%"
59,CRBM3,9000,-2895,326,1498,"0,00%",1172,298,-1545,1690,-1417,"-9,70%","-5,18%",224,"-12,71%","-11,28%",000,"827.347.000,00",045,"-1,58%"
60,DFVA4,800,-2535,4904,3497,"0,00%",4335,2351,-4518,-2543,-4755,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
61,ELCA3,2470,-2157,606,1160,"0,00%",0629,-1191,980,-114,1656,"11,83%","-5,46%",82,"7,20%","-28,09%",000,"1.313.180.000,00",476,"21,40%"
62,RSIP3,034,-2065,114,0933,"1,22%",0475,675,4669,-195,7963,"2,00%","-4,52%",126,"1,11%","-5,54%","17.710,50","59.498.000,00",094,"11,47%"
63,MPXE3,3718,-1984,307,51631,"0,00%",0809,1913,-2082,-174,-2946,"-248,03%","-259,63%",119,"-4,30%","-15,45%","16.791.000,00","1.658.190.000,00",156,"248,53%"
64,RSIP4,032,-1943,108,0878,"1,42%",0447,635,4394,-184,7689,"2,00%","-4,52%",126,"1,11%","-5,54%","4.607,45","59.498.000,00",094,"11,47%"
65,CRBM7,6000,-1930,218,0999,"0,00%",0782,199,-1030,1126,-902,"-9,70%","-5,18%",224,"-12,71%","-11,28%",000,"827.347.000,00",045,"-1,58%"
66,TDBH4,066,-1863,128,0906,"0,00%",0811,-615,873,-566,1023,"10,38%","-4,86%",63,"10,48%","-6,85%",000,"554.115.000,00",027,"35,74%"
67,TOYB3,004,-1813,358,0827,"0,00%",1350,815,-484,1373,-527,"-17,08%","-4,57%",130,"-32,45%","-19,75%","45.028,90","11.586.000,00",043,"6,13%"
68,TOYB4,004,-1813,358,0827,"0,00%",1350,815,-484,1373,-527,"-17,08%","-4,57%",130,"-32,45%","-19,75%","55.808,10","11.586.000,00",043,"6,13%"
69,ELCA4,2020,-1764,495,0948,"0,00%",0515,-974,802,-093,1478,"11,83%","-5,46%",82,"7,20%","-28,09%",000,"1.313.180.000,00",476,"21,40%"
70,STLB3,400,-1596,-1581,0000,"0,00%",10195,000,-1397,000,-1392,"0,00%","0,00%",0,"0,00%","99,04%","1.246,73","-20.336.000,00",000,"0,00%"
71,TDBH3,056,-1581,108,0769,"0,00%",0688,-522,740,-480,891,"10,38%","-4,86%",63,"10,48%","-6,85%",000,"554.115.000,00",027,"35,74%"
72,TIBR3,018,-1552,119,1476,"0,29%",0902,552,-2507,797,-2509,"-5,88%","-9,51%",184,"-3,85%","-7,70%",000,"349.738.000,00",002,"-1,03%"
73,LIXC3,449,-1459,100,4863,"0,00%",0150,079,-736,130,-841,"-66,05%","-29,08%",124,"-2,54%","-6,88%","7.352,80","53.626.000,00",015,"21,70%"
74,LECO4,146,-1348,200,0637,"0,00%",0924,-1684,-2969,-316,-3269,"-2,14%","-4,72%",82,"-3,48%","-14,82%",000,"105.928.000,00",020,"3,58%"
75,IDNT3,347,-1271,293,0372,"0,00%",0757,775,2007,-1356,2498,"1,85%","-3,30%",116,"5,72%","-23,03%","643.529,00","136.785.000,00",102,"22,22%"
76,FGUI3,1200,-1241,-215,16009,"0,00%",25203,-220,-5776,-205,-7017,"-27,72%","-129,00%",4,"-60,74%","17,32%",000,"-222.024.000,00",-046,"2,13%"
77,SGEN4,138,-1225,023,184421,"0,00%",0143,-241,-1216,-056,-1320,"-1.516,15%","-1.505,68%",66,"-1,20%","-1,88%","1.997,60","145.548.000,00",002,"-72,82%"
78,RSUL4,9850,-1213,202,0481,"0,00%",0290,-181,520,-048,1388,"9,26%","-3,97%",61,"5,98%","-16,66%",000,"28.411.000,00",339,"5,01%"
79,TIBR5,012,-1035,080,0984,"3,50%",0601,368,-1672,531,-1673,"-5,88%","-9,51%",184,"-3,85%","-7,70%","120.281,00","349.738.000,00",002,"-1,03%"
80,BPNM4,560,-962,695,0000,"0,56%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-72,20%","1.382.370,00","197.017.000,00",000,"5,28%"
