,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,IVTT3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
1,VNET3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","27,83%",000,"14.460.100.000,00",000,"18,19%"
2,CFLU4,"1.000,00",000,000,0000,"0,00%",0000,000,000,0,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
3,CLAN3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
4,CSTB3,15000,000,000,0000,"0,00%",0000,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
5,PORP4,240,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
6,MNSA3,042,000,000,0000,"0,00%",0000,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
7,CLSC6,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","3,79%",000,"2.137.380.000,00",000,"8,41%"
8,CSTB4,14769,000,000,0000,"0,00%",0000,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
9,POPR4,1017,000,000,0000,"0,00%",0000,000,000,0,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
10,PMET3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
11,MNSA4,047,000,000,0000,"0,00%",0000,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
12,DAGB33,46870,000,000,0000,"0,00%",0000,000,000,0,000,"5,69%","1,73%",110,"5,30%","2,89%","2.000.770,00","10.250.800.000,00",126,"42,19%"
13,PLDN4,48600,-55307,108,0919,"0,00%",0611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
