,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
33,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,5013,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
34,BTOW3,5634,-6741,523,4588,"0,00%",1761,485,74795,-3353,5500,"0,61%","-6,81%",247,"0,59%","-7,75%","141.016.000,00","5.637.460.000,00",141,"-8,53%"
35,BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
36,LPSB3,832,-6572,2941,8739,"0,00%",4814,-22567,-35441,-774,7104,"-2,47%","-15,99%",91,"-1,51%","-44,75%","4.364.530,00","41.738.000,00",029,"-14,54%"
37,ARTR3,1001,-6302,090,1978,"0,00%",367,-457,1904,-073,442,"10,39%","-3,14%",54,"2,09%","-1,43%",000,"6.393.440.000,00",124,"-5,82%"
38,TELB3,11800,-5293,17194,128731,"0,00%",1679,4501,-13530,-188,24504,"-95,15%","-243,21%",162,"-1,30%","-324,83%","263.698,00","34.044.000,00",808,"3,21%"
39,PEFX3,1900,-5204,168,0477,"0,00%",597,2034,575,-318,000,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
40,PEFX5,1900,-5204,168,0477,"0,00%",597,2034,575,-318,000,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
41,RDNI3,1297,-4978,093,2198,"0,00%",430,171,-3955,-353,-8994,"-5,56%","-5,23%",259,"-1,23%","-1,86%","336.321,00","611.714.000,00",064,"-21,15%"
42,TOYB4,250,-4796,-543,5256,"0,00%",4405,-647,-904,-383,-967,"-58,16%","-10,96%",49,"-59,36%","11,31%",000,"-13.852.000,00",-007,"-26,99%"
43,IMBI3,501,-4642,281,"2.659,020","0,00%",518,-221,-9712,-037,-10745,"-2.737,88%","-13.821,20%",5,"-0,54%","-6,05%",000,"62.544.000,00",022,"-57,16%"
44,GLOB4,3049,-4618,2688,1554,"0,00%",1817,-997,3455,-414,2396,"4,50%","-3,36%",73,"7,72%","-58,21%",000,"1.474.000.000,00",380,"8,70%"
45,CLAN4,300,-4492,047,15151,"0,00%",406,-1550,-8256,-636,2268,"-18,35%","-33,73%",73,"-0,50%","-1,05%",000,"1.012.240.000,00",008,"-63,96%"
46,TOYB3,229,-4394,-497,4815,"0,00%",4035,-593,-828,-350,-887,"-58,16%","-10,96%",49,"-59,36%","11,31%",000,"-13.852.000,00",-007,"-26,99%"
47,EBTP3,1021,-4356,117,0548,"0,00%",353,-50247,642,-073,285,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
48,EBTP4,1000,-4266,114,0537,"0,00%",346,-49213,629,-071,281,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
49,FBRA4,3458,-3957,166,0457,"0,00%",738,1894,740,-443,1062,"6,18%","-1,15%",111,"11,94%","-4,20%",000,"213.406.000,00",077,"12,48%"
50,BRTP4,2081,-3919,143,0681,"0,00%",399,523,351,-140,503,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
51,ECOR3,1440,-3910,2142,2160,"0,00%",636,-626,699,-090,895,"30,92%","-5,51%",72,"11,98%","-54,78%","41.313.800,00","375.633.000,00",2579,"6,09%"
52,MSPA4,5150,-3814,037,2529,"0,85%",227,373,-1606,-080,-5039,"-15,75%","-6,63%",285,"-1,49%","-0,96%",46474,"899.497.000,00",005,"-21,17%"
53,BAHI3,11300,-3723,471,5284,"0,00%",1355,592,-2705,-460,-2349,"-19,53%","-15,83%",234,"-8,01%","-12,64%","54.526,50","53.301.000,00",018,"34,48%"
54,ITEC3,4010,-3512,2204,"2.611,690","0,00%",9216,2542,-2600,-6891,-2956,"-10.044,70%","-7.435,88%",523,"-63,06%","-62,76%",000,"20.143.000,00",000,"-74,79%"
55,MSPA3,4530,-3355,032,2225,"0,88%",200,328,-1413,-070,-4424,"-15,75%","-6,63%",285,"-1,49%","-0,96%",34142,"899.497.000,00",005,"-21,17%"
56,IMBI4,350,-3243,196,"1.857,600","0,00%",362,-154,-6785,-026,-7741,"-2.737,88%","-13.821,20%",5,"-0,54%","-6,05%",000,"62.544.000,00",022,"-57,16%"
57,PRTX3,277,-3227,-14532,297651,"0,00%",1400,-257,-9711,-143,3719,"-306,50%","-922,47%",5,"-1,50%","450,37%",000,"-18.917.000,00",-4985,"307,96%"
58,DFVA3,990,-3138,6069,4327,"0,00%",5365,2910,-5591,-3147,-5828,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
59,ASTA4,2583,-3079,100,0652,"0,00%",446,257,1990,-330,3320,"3,28%","-2,12%",171,"2,52%","-3,25%",000,"515.672.000,00",085,"-4,73%"
60,VGOR4,587,-2958,718,1229,"0,00%",1468,11397,2732,-322,3409,"4,50%","-4,59%",104,"6,00%","-24,29%",000,"135.178.000,00",189,"4,77%"
61,CRBM3,9000,-2895,326,1498,"0,00%",1172,298,-1545,1690,-1417,"-9,70%","-5,18%",224,"-12,71%","-11,28%",000,"827.347.000,00",045,"-1,58%"
62,MGEL3,2500,-2873,-038,0272,"0,00%",382,104,337,-027,1212,"8,06%","-2,04%",268,"14,40%","1,32%",000,"-381.306.000,00",-176,"4,49%"
63,BAHI4,8600,-2833,358,4021,"0,00%",1032,451,-2059,-350,-1616,"-19,53%","-15,83%",234,"-8,01%","-12,64%",000,"53.301.000,00",018,"34,48%"
64,BBTG12,315,-2804,"5.782,31",0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-20.621,70%",000,"46.000,00",000,"0,00%"
65,PRGA4,7500,-2622,852,2087,"0,00%",1406,1803,3081,-322,1911,"6,78%","-8,05%",125,"6,59%","-32,50%",000,"7.149.920.000,00",295,"-0,04%"
66,DFVA4,800,-2535,4904,3497,"0,00%",4335,2351,-4518,-2543,-4755,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
67,EMBR3,1800,-2528,086,1048,"0,06%",289,137,2775,182,792,"3,78%","-3,95%",135,"1,18%","-3,42%","45.527.400,00","15.429.000.000,00",006,"-8,42%"
68,TAMM4,5273,-2274,380,0626,"0,00%",524,-3111,977,-096,966,"6,41%","-2,21%",95,"6,36%","-16,70%",000,"2.174.310.000,00",408,"9,79%"
69,TAMM3,5260,-2268,379,0625,"0,00%",523,-3104,974,-096,965,"6,41%","-2,21%",95,"6,36%","-16,70%",000,"2.174.310.000,00",408,"9,79%"
70,BAHI5,6500,-2141,271,3039,"0,00%",780,341,-1556,-264,-1046,"-19,53%","-15,83%",234,"-8,01%","-12,64%",000,"53.301.000,00",018,"34,48%"
71,SUZB3,3856,-2079,310,2365,"1,15%",528,687,1827,-083,1790,"12,94%","-11,39%",168,"3,29%","-14,92%","222.356.000,00","16.919.700.000,00",402,"21,37%"
72,DTCY3,465,-2078,-4106,2828,"0,00%",1191,-395,2843,-140,1375,"9,95%","-13,61%",37,"4,87%","197,62%","3.048,19","-882.000,00",-562,"2,58%"
73,TESA3,1436,-2019,032,0291,"0,00%",124,-1451,942,-037,1476,"3,09%","-1,44%",97,"1,42%","-1,60%","308.716,00","962.097.000,00",096,"5,84%"
74,HBOR3,366,-1994,330,1984,"0,00%",567,142,-6802,-1243,-13565,"-2,92%","-3,52%",228,"-0,92%","-16,53%","18.272.800,00","743.035.000,00",237,"-13,47%"
75,CRBM7,6000,-1930,218,0999,"0,00%",782,199,-1030,1126,-902,"-9,70%","-5,18%",224,"-12,71%","-11,28%",000,"827.347.000,00",045,"-1,58%"
76,WMBY3,2539,-1930,287,0836,"0,00%",182,120,862,-150,2502,"9,70%","-7,05%",144,"2,39%","-14,86%",000,"212.439.000,00",651,"-14,48%"
77,RCSL4,119,-1892,-137,4835,"0,00%",2170,-618,61801,-098,19695,"0,78%","-25,58%",53,"0,37%","7,22%","346.714,00","-66.069.000,00",-000,"359,60%"
78,TDBH4,066,-1863,128,0906,"0,00%",811,-615,873,-566,1023,"10,38%","-4,86%",63,"10,48%","-6,85%",000,"554.115.000,00",027,"35,74%"
79,TANC4,4300,-1854,310,0511,"0,00%",428,-2537,796,-078,869,"6,41%","-2,21%",95,"6,36%","-16,70%",000,"2.174.310.000,00",408,"9,79%"
80,MNDL3,3550,-1760,-062,0183,"0,00%",86,-013,291,-010,619,"6,28%","-1,04%",27,"3,12%","3,52%","16.218,80","-142.268.000,00",-130,"3,95%"
81,BEEF3,1470,-1740,-725,0329,"0,00%",462,226,432,-100,754,"7,62%","-1,89%",152,"17,41%","41,65%","45.998.500,00","-767.223.000,00",-1272,"18,98%"
82,CCIM3,552,-1644,094,0498,"0,00%",198,053,896,-109,3884,"5,55%","-3,03%",258,"2,38%","-5,75%",000,"660.347.000,00",193,"29,98%"
83,TELB4,3535,-1586,5151,38565,"0,00%",503,1348,-4053,-056,7911,"-95,15%","-243,21%",162,"-1,30%","-324,83%","1.132.900,00","34.044.000,00",808,"3,21%"
84,TDBH3,056,-1581,108,0769,"0,00%",688,-522,740,-480,891,"10,38%","-4,86%",63,"10,48%","-6,85%",000,"554.115.000,00",027,"35,74%"
85,BAHI11,4370,-1440,182,2043,"0,00%",524,229,-1046,-178,-469,"-19,53%","-15,83%",234,"-8,01%","-12,64%",000,"53.301.000,00",018,"34,48%"
86,BTTL3,519,-1419,1596,0175,"0,00%",651,1534,828,-123,821,"2,11%","-1,23%",111,"10,35%","-112,46%","6.401,12","4.832.000,00",453,"-5,93%"
87,LECO4,146,-1348,200,0637,"0,00%",924,-1684,-2969,-316,-3269,"-2,14%","-4,72%",82,"-3,48%","-14,82%",000,"105.928.000,00",020,"3,58%"
88,SEDU3,2380,-1336,1500,3443,"0,00%",1531,5790,-2247,-267,-6964,"-15,33%","-25,73%",109,"-8,15%","-112,29%",000,"415.869.000,00",467,"10,87%"
89,VVAR3,881,-1334,777,0449,"0,00%",525,-288,998,-120,856,"4,50%","-3,36%",73,"7,72%","-58,21%","203.005.000,00","1.474.000.000,00",380,"8,70%"
90,AHEB6,8000,-1321,3700,5579,"0,00%",2436,-2621,-1309,-288,-1749,"-42,61%","-42,24%",49,"-20,34%","-280,11%",000,"16.266.000,00",000,"-15,81%"
91,BRFS3,3660,-1280,416,1019,"0,00%",686,880,1503,-157,1120,"6,78%","-8,05%",125,"6,59%","-32,50%","204.053.000,00","7.149.920.000,00",295,"-0,04%"
92,IGUA3,815,-1252,-144,0568,"0,00%",564,-065,822,-060,580,"6,91%","-4,53%",34,"7,61%","11,52%",000,"-164.188.000,00",-133,"-7,41%"
93,FGUI3,1200,-1241,-215,16009,"0,00%",25203,-220,-5776,-205,-7017,"-27,72%","-129,00%",4,"-60,74%","17,32%",000,"-222.024.000,00",-046,"2,13%"
94,IGUA6,807,-1240,-143,0562,"0,00%",558,-064,814,-059,577,"6,91%","-4,53%",34,"7,61%","11,52%",000,"-164.188.000,00",-133,"-7,41%"
95,IGUA5,798,-1226,-141,0556,"0,00%",552,-064,804,-059,573,"6,91%","-4,53%",34,"7,61%","11,52%",000,"-164.188.000,00",-133,"-7,41%"
96,PRVI3,1054,-1174,161,0919,"0,00%",565,-25086,971,-148,639,"9,46%","-7,83%",99,"6,15%","-13,71%",000,"525.170.000,00",010,"16,19%"
97,SUZB5,2113,-1139,170,1296,"0,00%",290,376,1001,-045,1411,"12,94%","-11,39%",168,"3,29%","-14,92%",000,"16.919.700.000,00",402,"21,37%"
98,CPNY3,235,-1100,042,0232,"0,00%",54,020,121,-013,421,"19,13%","-2,11%",226,"5,48%","-3,86%",000,"398.830.000,00",233,"20,10%"
99,APTI4,"3.500,00",-1069,030,1194,"0,00%",159,1145,-958,-052,3204,"-12,47%","-11,03%",109,"-1,75%","-2,81%",000,"221.278.000,00",027,"-9,61%"
100,SUZB6,1788,-964,144,1097,"0,00%",245,319,847,-038,1340,"12,94%","-11,39%",168,"3,29%","-14,92%",000,"16.919.700.000,00",402,"21,37%"
101,BTTL4,330,-902,1015,0111,"0,00%",414,975,527,-078,569,"2,11%","-1,23%",111,"10,35%","-112,46%",000,"4.832.000,00",453,"-5,93%"
102,TERI3,6428,-883,029,0107,"0,00%",81,790,720,-026,3956,"1,49%","-1,91%",103,"1,25%","-3,27%",000,"3.641.000.000,00",143,"7,94%"
103,SEMP3,1686,-812,136,15081,"0,00%",1201,1567,-442,1567,-407,"-340,98%","-185,82%",164,"-30,21%","-16,81%",000,"118.441.000,00",000,"-10,37%"
104,MGEL4,700,-804,-011,0076,"0,00%",107,029,094,-008,1047,"8,06%","-2,04%",268,"14,40%","1,32%","15.292,00","-381.306.000,00",-176,"4,49%"
105,BIOM3,915,-793,673,91769,"0,00%",1548,1306,-1090,-312,-1433,"-842,01%","-1.157,92%",177,"-19,41%","-84,95%","315.864,00","65.021.000,00",239,"918,31%"
106,SZPQ4,664,-785,220,0855,"0,00%",744,262,-2031,-317,-2277,"-4,21%","-10,89%",297,"-3,77%","-28,00%",000,"684.467.000,00",030,"-11,71%"
107,MEDI3,1155,-752,189,0374,"0,00%",824,-1002,-911,-331,-661,"-4,11%","-4,98%",79,"-12,30%","-25,13%",000,"426.164.000,00",002,"13,02%"
108,BIOM4,868,-752,639,87055,"0,00%",1468,1239,-1034,-296,-1373,"-842,01%","-1.157,92%",177,"-19,41%","-84,95%",000,"65.021.000,00",239,"918,31%"
109,VVAR11,1458,-736,429,0248,"0,00%",290,-159,551,-066,575,"4,50%","-3,36%",73,"7,72%","-58,21%",000,"1.474.000.000,00",380,"8,70%"
110,VVAR4,484,-733,427,0247,"0,00%",288,-158,548,-066,573,"4,50%","-3,36%",73,"7,72%","-58,21%",000,"1.474.000.000,00",380,"8,70%"
111,TECN3,210,-705,039,0514,"0,00%",210,066,-883,470,-694,"-5,82%","-7,29%",264,"-3,07%","-5,60%","185.686,00","417.917.000,00",030,"-6,76%"
112,NORD3,470,-697,-022,25320,"0,00%",1891,-059,-3508,-020,-7702,"-72,17%","-363,14%",1,"-5,52%","3,18%","16.310,00","-140.228.000,00",-027,"71,88%"
113,BOBR4,191,-688,-178,0445,"0,00%",838,-235,710,-079,825,"6,27%","-6,47%",54,"14,83%","25,85%","114.275,00","-279.734.000,00",-108,"-0,15%"
114,DMMO3,1040,-625,-592,5779,"0,00%",1960,-1381,13319,-168,3129,"4,34%","-92,48%",54,"1,73%","94,67%","2.722.150,00","-474.698.000,00",000,"-2,41%"
115,RANI4,336,-577,187,0586,"0,68%",347,693,536,-065,719,"10,94%","-10,15%",122,"7,18%","-32,42%","5.040,74","299.193.000,00",285,"6,64%"
116,IGBR6,1900,-555,-028,55984,"0,00%",893,-290,-2021,-021,-11674,"-277,07%","-1.009,59%",4,"-4,74%","4,97%",000,"-861.333.000,00",-107,"-18,95%"
117,IGBR5,1890,-552,-027,55689,"0,00%",889,-288,-2010,-021,-11661,"-277,07%","-1.009,59%",4,"-4,74%","4,97%",000,"-861.333.000,00",-107,"-18,95%"
118,BUET3,2499,-546,-097,1961,"0,00%",572,-067,-1313,-039,-3632,"-14,93%","-35,93%",11,"-5,95%","17,79%",000,"-124.674.000,00",-070,"4,55%"
119,AHEB5,3300,-545,1526,2301,"0,00%",1005,-1081,-540,-119,-708,"-42,61%","-42,24%",49,"-20,34%","-280,11%",000,"16.266.000,00",000,"-15,81%"
120,RANI3,310,-533,173,0541,"0,74%",320,639,495,-060,696,"10,94%","-10,15%",122,"7,18%","-32,42%","38.928,70","299.193.000,00",285,"6,64%"
121,TCNO4,097,-513,429,6345,"0,00%",28,000,-094,000,-672,"-676,98%","-123,62%",0,"0,00%","-83,57%","111.133,00","1.497.000,00",000,"-68,21%"
122,AHEB3,3088,-510,1428,2154,"0,00%",940,-1012,-505,-111,-661,"-42,61%","-42,24%",49,"-20,34%","-280,11%","2.767,30","16.266.000,00",000,"-15,81%"
123,TCNO3,096,-508,425,6280,"0,00%",28,000,-093,000,-671,"-676,98%","-123,62%",0,"0,00%","-83,57%","50.180,10","1.497.000,00",000,"-68,21%"
124,TLCP3,4800,-502,176,0824,"0,00%",533,-276,-2661,-133,-4386,"-3,10%","-16,40%",61,"-2,52%","-35,04%",000,"262.979.000,00",121,"9,09%"
125,CRDE3,2605,-499,040,2067,"0,00%",349,148,-512,214,-293,"-40,38%","-56,74%",561,"-8,23%","-7,97%","14.213,40","158.573.000,00",000,"-5,25%"
126,LFFE4,389,-491,408,0000,"0,00%",3599,000,-2650,000,1090,"0,00%","0,00%",0,"0,00%","-83,10%",000,"51.892.000,00",000,"0,00%"
127,CGOS3,2620,-485,189,0509,"0,00%",167,-083,-25660,-025,-57029,"-0,20%","-10,48%",54,"-0,08%","-39,02%",000,"453.387.000,00",248,"8,97%"
128,SHOW3,520,-452,126,0661,"1,14%",557,185,-1952,4533,-6054,"-3,39%","-14,77%",213,"-5,25%","-27,78%","699.774,00","279.348.000,00",058,"0,57%"
129,PRML3,1152,-441,198,18612,"0,00%",581,2300,-3033,-093,"1.640,31","-61,36%","-424,99%",202,"-1,96%","-44,84%",000,"2.192.720.000,00",218,"32,85%"
130,BUET4,1849,-404,-072,1451,"0,00%",423,-050,-972,-029,-3083,"-14,93%","-35,93%",11,"-5,95%","17,79%",000,"-124.674.000,00",-070,"4,55%"
131,SUZA4,1390,-403,051,0108,"0,00%",24,031,084,-004,674,"12,91%","-11,40%",169,"3,28%","-12,73%",000,"4.687.300.000,00",1450,"21,37%"
132,PMET5,065,-395,-016,4518,"0,00%",30248,-022,8999,-016,50388,"5,02%","-114,49%",1,"38,97%","4,10%",000,"-290.863.000,00",-074,"37,74%"
133,ETER4,985,-393,-13178,0607,"0,00%",549,1471,-517,-094,-998,"-11,73%","-15,45%",110,"-12,28%","3.355,33%",000,"-2.375.000,00",-4581,"-16,30%"
134,TCSA3,140,-393,103,3224,"0,00%",544,305,-2010,-1307,-2455,"-16,04%","-83,60%",172,"-3,33%","-26,24%","16.199.300,00","1.000.390.000,00",039,"-32,81%"
135,LFFE3,311,-392,326,0000,"0,00%",2877,000,-2118,000,839,"0,00%","0,00%",0,"0,00%","-83,10%",000,"51.892.000,00",000,"0,00%"
136,FBMC3,8000,-378,-092,3858,"0,00%",1384,-179,-285,-064,-369,"-135,59%","-101,97%",31,"-64,70%","24,19%",000,"-63.552.000,00",-015,"-31,66%"
137,TLCP4,3411,-357,125,0586,"0,00%",379,-196,-1891,-095,-3616,"-3,10%","-16,40%",61,"-2,52%","-35,04%",000,"262.979.000,00",121,"9,09%"
138,CALI3,9818,-345,401,6013,"0,00%",1119,813,-177,-268,-178,"-339,18%","-174,30%",183,"-64,78%","-116,14%",000,"9.116.000,00",000,"-44,11%"
139,BECE3,910,-342,872,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-255,20%",000,"96.496.000,00",000,"12,81%"
140,BECE4,875,-329,838,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-255,20%",000,"96.496.000,00",000,"12,81%"
141,PNOR5,187,-290,055,0354,"0,00%",205,070,852,-232,457,"4,15%","-11,74%",250,"3,61%","-18,84%",000,"158.071.000,00",042,"1,34%"
142,PNOR6,187,-290,055,0354,"0,00%",205,070,852,-232,457,"4,15%","-11,74%",250,"3,61%","-18,84%",000,"158.071.000,00",042,"1,34%"
143,STRP4,021,-285,-043,0416,"0,00%",111,-018,-045,-009,-115,"-91,82%","-14,58%",13,"-25,49%","14,95%",000,"-12.498.000,00",-066,"-36,39%"
144,LIXC3,175,-262,152,395995,"0,00%",69,028,-421,384,-668,"-9.413,21%","-14.386,80%",134,"-1,90%","-57,85%",000,"13.842.000,00",079,"-75,90%"
145,BSEV3,245,-248,1187,0410,"0,00%",229,567,948,-038,419,"4,32%","-16,55%",112,"2,69%","-479,64%","31.486,40","210.580.000,00",2884,"1,66%"
146,BICB4,825,-243,221,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-91,00%",000,"944.626.000,00",000,"-31,19%"
147,PINE4,336,-240,052,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-21,65%","770.369,00","782.844.000,00",000,"119,52%"
148,BICB3,800,-235,214,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-91,00%",000,"944.626.000,00",000,"-31,19%"
149,RPMG3,502,-227,-013,0311,"0,00%",162,-016,-204,-012,-213,"-15,26%","-13,71%",47,"-8,21%","5,72%","222.017,00","-2.618.490.000,00",000,"15,87%"
150,ARLA4,338,-221,-062,2137,"0,00%",442,-031,-674,-029,-1787,"-31,72%","-96,55%",10,"-13,71%","28,00%",000,"-24.319.000,00",-102,"-47,46%"
151,LIXC4,145,-217,126,328110,"0,00%",57,023,-349,318,-592,"-9.413,21%","-14.386,80%",134,"-1,90%","-57,85%",000,"13.842.000,00",079,"-75,90%"
152,OGXP3,163,-215,-098,0000,"0,00%",925,000,-1646,000,-1646,"0,00%","0,00%",0,"0,00%","45,53%",000,"-53.901.000,00",000,"0,00%"
153,GFSA3,633,-212,097,1592,"0,00%",296,137,48259,81416,5849,"0,33%","-74,91%",145,"0,08%","-45,86%","12.848.800,00","780.159.000,00",096,"-32,76%"
154,MTIG4,7022,-191,106,0134,"0,62%",161,-071,-6905,-043,2005,"-0,19%","-7,00%",67,"-0,28%","-55,27%","1.319,12","15.993.400,00",326,"1,79%"
155,NUTR3,4500,-190,-023,0099,"0,00%",76,053,903,-009,1601,"1,10%","-5,20%",148,"1,00%","12,00%",36047,"-25.238.000,00",-053,"15,14%"
156,ARCZ3,366,-188,195,1096,"0,00%",369,153,950,-084,2818,"11,54%","-58,02%",286,"4,03%","-103,98%",000,"1.934.210.000,00",392,"0,75%"
157,ARCZ6,363,-186,194,1087,"0,00%",366,152,942,-084,2810,"11,54%","-58,02%",286,"4,03%","-103,98%",000,"1.934.210.000,00",392,"0,75%"
158,ADHM3,153,-186,-059,350648,"0,00%",47816,-065,-259,-058,-264,"-13.548,50%","-18.860,60%",0,"521,70%","31,47%","27.732,30","-19.776.000,00",000,"43,48%"
159,HBTS5,1250,-178,050,-28708,"0,65%",96,-103,-128,-014,-258,"2.246,54%","1.610,89%",55,"-7,61%","-28,04%",97395,"228.113.000,00",051,"-40,99%"
160,BBRK3,382,-177,074,1007,"0,00%",321,248,-1810,-112,4849,"-5,56%","-42,47%",193,"-2,21%","-41,74%","426.895,00","187.133.000,00",060,"-9,31%"
161,LUPA3,137,-177,036,0269,"0,00%",62,026,-205,-014,-7359,"-13,11%","-19,63%",251,"-3,22%","-20,55%","163.328,00","84.636.000,00",190,"-17,01%"
162,BISA3,158,-177,118,1692,"0,00%",321,086,-402,-764,-928,"-42,05%","-96,36%",222,"-8,50%","-66,94%",000,"1.788.370.000,00",077,"-24,23%"
163,CALI4,5008,-176,204,3067,"5,58%",571,415,-090,-137,-090,"-339,18%","-174,30%",183,"-64,78%","-116,14%",11647,"9.116.000,00",000,"-44,11%"
164,BCAL6,028,-170,-007,1946,"0,00%",13030,-009,3877,-007,45265,"5,02%","-114,49%",1,"38,97%","4,10%",000,"-290.863.000,00",-074,"37,74%"
165,DJON4,018,-170,022,-0956,"0,00%",166,-129,-142,-085,-198,"67,37%","56,33%",24,"-12,02%","-12,84%",000,"2.702.000,00",009,"45,19%"
166,ARLA3,247,-162,-045,1562,"0,00%",323,-022,-492,-021,-1606,"-31,72%","-96,55%",10,"-13,71%","28,00%",000,"-24.319.000,00",-102,"-47,46%"
167,SDIA3,642,-159,941,0397,"0,00%",418,-329,953,-083,2315,"4,16%","-25,09%",78,"5,89%","-590,66%",000,"459.230.000,00",1727,"13,42%"
168,SDIA4,642,-159,941,0397,"0,00%",418,-329,953,-083,2315,"4,16%","-25,09%",78,"5,89%","-590,66%",000,"459.230.000,00",1727,"13,42%"
169,DUQE3,2800,-158,-1129,12103,"0,00%",428,-074,-165,-057,-298,"-732,92%","-767,60%",33,"-28,21%","715,74%",000,"-6.987.000,00",-719,"-42,70%"
170,APER3,2512,-140,199,2186,"0,00%",1178,33427,-136,-535,-133,"-161,33%","-156,18%",102,"-97,93%","-141,91%","822.749,00","97.083.000,00",000,"-19,41%"
171,OIBR4,125,-131,029,0353,"0,00%",97,075,-683,-026,380,"-5,17%","-27,09%",183,"-1,65%","-22,17%","1.878.760,00","25.640.800.000,00",066,"-6,18%"
172,PMET6,020,-121,-005,1390,"0,00%",9307,-007,2769,-005,44157,"5,02%","-114,49%",1,"38,97%","4,10%",000,"-290.863.000,00",-074,"37,74%"
173,ETER3,280,-112,-3746,0172,"0,00%",156,418,-147,-027,-454,"-11,73%","-15,45%",110,"-12,28%","3.355,33%","452.562,00","-2.375.000,00",-4581,"-16,30%"
174,LGLO4,10000,-105,065,0225,"0,00%",192,-032,-124,-032,-213,"-18,10%","-21,47%",14,"-18,37%","-62,51%",000,"5.191.000,00",049,"-11,42%"
175,CTKA4,1270,-098,-023,0244,"0,00%",217,-018,344,-016,1911,"7,08%","-24,91%",32,"7,11%","24,02%","67.582,20","-335.439.000,00",-170,"4,28%"
176,OIBR3,092,-096,021,0260,"0,00%",72,055,-503,-019,343,"-5,17%","-27,09%",183,"-1,65%","-22,17%","84.017.300,00","25.640.800.000,00",066,"-6,18%"
177,VTLM3,079,-096,-030,181054,"0,00%",24689,-034,-134,-030,-136,"-13.548,50%","-18.860,60%",0,"521,70%","31,47%",000,"-19.776.000,00",000,"43,48%"
178,CTKA3,1201,-093,-022,0230,"0,00%",205,-017,326,-015,1898,"7,08%","-24,91%",32,"7,11%","24,02%","9.861,63","-335.439.000,00",-170,"4,28%"
179,CEED3,10000,-085,-029,0295,"0,00%",258,-032,-185,-016,-424,"-15,95%","-34,66%",24,"-17,27%","33,90%",000,"-3.352.110.000,00",-024,"-19,97%"
180,CEED4,10000,-085,-029,0295,"0,00%",258,-032,-185,-016,-424,"-15,95%","-34,66%",24,"-17,27%","33,90%",000,"-3.352.110.000,00",-024,"-19,97%"
181,DHBI3,1900,-083,-017,0869,"0,00%",343,-016,-368,-013,-5955,"-23,58%","-154,81%",12,"-10,50%","21,03%",000,"-456.340.000,00",-099,"-23,62%"
182,CCXC3,201,-083,-006,0000,"0,00%",320,000,-113,000,-099,"0,00%","0,00%",0,"0,00%","7,85%","20.251,00","-52.699.000,00",000,"0,00%"
183,LETO5,206,-083,-014,0000,"0,00%",248,000,000,000,000,"0,00%","0,00%",0,"0,00%","17,05%",000,"-58.642.000,00",000,"-17,38%"
184,IENG3,015,-081,099,1717,"0,00%",110,-117,388,-030,2511,"44,29%","-224,61%",85,"2,84%","-122,41%",000,"52.234.000,00",545,"8,13%"
185,MNPR3,570,-073,-011,0186,"0,00%",201,-011,095,-008,078,"19,53%","-25,64%",13,"22,21%","15,71%","116.451,00","-354.128.000,00",-000,"1,19%"
186,LATM11,2865,-068,002,0006,"0,00%",3,-002,005,-000,774,"11,46%","-0,39%",49,"6,55%","-2,37%",000,"11.357.000.000,00",292,"16,69%"
187,IGBR3,233,-068,-003,6865,"0,00%",110,-036,-248,-003,-9571,"-277,07%","-1.009,59%",4,"-4,74%","4,97%","104.054,00","-861.333.000,00",-107,"-18,95%"
188,CELM3,1500,-067,-016,0257,"0,00%",132,-021,-102,-010,-426,"-25,14%","-38,36%",44,"-15,60%","23,41%",000,"-11.104.000,00",-066,"5,80%"
