,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
802,UOLL4,1962,4352,235,2054,"0,00%",1403,45714,1514,-1283,1649,"13,56%","4,69%",101,"10,57%","5,40%",000,"1.003.690.000,00",023,"21,99%"
803,AALR3,1869,4391,172,2067,"0,45%",895,7767,1747,-325,1190,"11,83%","5,67%",107,"5,46%","3,91%","4.095.360,00","1.287.910.000,00",050,"-0,55%"
804,WEGE3,3042,4405,767,5030,"1,16%",4124,1249,3222,2399,2682,"15,61%","11,54%",213,"17,62%","17,40%","94.373.900,00","8.327.980.000,00",036,"8,46%"
805,DOHL3,820,4506,086,1004,"2,44%",673,167,4230,247,1733,"2,37%","2,23%",557,"1,79%","1,91%",000,"575.310.000,00",006,"6,02%"
806,EZTC3,4334,4534,264,15366,"0,24%",2352,423,11282,447,8943,"13,62%","35,05%",932,"3,17%","5,83%","56.109.100,00","3.721.170.000,00",002,"-12,10%"
807,BALM4,1150,4606,110,0750,"1,22%",580,190,1077,329,987,"6,96%","1,29%",202,"6,01%","2,39%","3.149,02","102.201.000,00",029,"5,61%"
808,BRKM5,2799,4645,307,0409,"3,00%",341,-367,703,-058,663,"5,82%","0,45%",77,"6,43%","6,61%","75.991.600,00","7.263.760.000,00",385,"4,65%"
809,RADL3,11299,4647,942,2225,"0,59%",2967,2190,4460,-1224,2177,"4,99%","4,86%",145,"8,46%","20,27%","135.783.000,00","3.963.120.000,00",031,"13,95%"
810,LOGG3,2814,4651,125,23655,"0,36%",840,2657,3005,-329,3901,"78,73%","54,17%",183,"2,90%","2,69%","7.720.290,00","2.298.080.000,00",043,"6,82%"
811,CCRO3,1719,4701,397,3408,"4,44%",1108,11487,1061,-206,936,"32,11%","6,04%",106,"12,02%","8,45%","104.459.000,00","8.742.880.000,00",194,"5,23%"
812,HAPV3,5570,4730,617,8178,"0,75%",3798,4624,4132,-1836,3814,"19,79%","17,30%",186,"10,51%","13,04%","172.388.000,00","6.708.230.000,00",030,"0,00%"
813,BRKM3,2861,4748,314,0418,"2,93%",348,-375,719,-059,671,"5,82%","0,45%",77,"6,43%","6,61%","190.050,00","7.263.760.000,00",385,"4,65%"
814,BALM3,1200,4806,115,0782,"1,16%",606,198,1123,343,1024,"6,96%","1,29%",202,"6,01%","2,39%",000,"102.201.000,00",029,"5,61%"
815,RLOG3,2145,5062,428,1405,"0,00%",313,1018,491,-051,519,"28,64%","10,10%",134,"6,77%","8,46%","8.282.600,00","2.320.640.000,00",470,"21,00%"
816,PLTO6,1047,5081,"692.616,00",0690,"0,00%",901,290,5505,-155,5635,"1,25%","1,36%",387,"1,74%","1.363.200,00%",000,"1.000,00","21.227,00","8,78%"
817,OFSA3,3920,5247,442,3534,"0,81%",2414,964,2958,6757,2416,"11,95%","6,74%",205,"9,58%","8,43%","523.361,00","478.261.000,00",063,"4,47%"
818,PLTO5,1094,5309,"723.708,00",0721,"0,00%",942,303,5752,-162,5882,"1,25%","1,36%",387,"1,74%","1.363.200,00%",000,"1.000,00","21.227,00","8,78%"
819,FFTL3,2500,5322,226,3410,"0,00%",1508,2371,2090,-1554,2055,"16,32%","8,16%",137,"8,91%","4,24%",000,"6.274.030.000,00",007,"7,79%"
820,FFTL4,2506,5334,226,3418,"0,00%",1512,2377,2095,-1558,2060,"16,32%","8,16%",137,"8,91%","4,24%",000,"6.274.030.000,00",007,"7,79%"
821,RAIL3,2443,5354,468,5387,"0,00%",1201,3907,1875,-195,1268,"28,74%","10,18%",134,"6,80%","8,74%","169.444.000,00","8.142.050.000,00",134,"17,62%"
822,GVTT3,5770,5738,368,4312,"0,00%",2268,2182,2592,-1843,2665,"16,64%","7,52%",166,"10,32%","6,42%",000,"2.150.790.000,00",024,"31,47%"
823,NATU3,3312,5822,938,2025,"0,97%",1627,1323,1727,-343,1321,"11,73%","3,48%",154,"11,68%","16,11%","160.727.000,00","3.057.940.000,00",262,"18,28%"
824,AEDU3,1835,5934,332,4141,"0,00%",2159,1700,4106,-2155,2901,"10,08%","6,98%",204,"5,77%","5,60%",000,"2.415.400.000,00",030,"20,90%"
825,SUBA3,8400,6195,839,8067,"0,00%",6778,803,11578,809,10617,"6,97%","13,02%",555,"19,11%","13,54%",000,"530.396.000,00",000,"0,00%"
826,ELCA4,2020,6213,1177,3888,"0,00%",2236,1526,2683,-538,2227,"14,49%","8,54%",181,"9,24%","18,94%",000,"3.532.700.000,00",219,"10,36%"
827,GUAR4,15100,6475,1501,9976,"0,24%",6302,2394,13302,-43323,7527,"7,50%","15,41%",187,"5,55%","23,18%",000,"5.022.210.000,00",057,"9,23%"
828,TASA3,450,6576,-124,0419,"0,00%",367,473,591,-062,1236,"7,10%","0,64%",112,"7,24%","-1,89%","905.332,00","-320.169.000,00",-240,"4,61%"
829,POSI3,740,6605,124,0336,"0,00%",346,201,514,591,560,"6,54%","0,67%",128,"11,41%","1,88%","8.180.780,00","524.611.000,00",121,"0,41%"
830,CEGR3,4703,6777,963,2753,"0,00%",3631,-5268,2839,-933,2281,"9,70%","4,06%",77,"15,41%","14,21%",000,"1.267.850.000,00",059,"1,52%"
831,LAME3,1647,6954,545,1459,"0,45%",823,265,1343,-410,1075,"10,87%","1,17%",215,"12,08%","7,84%","22.923.900,00","4.851.110.000,00",403,"0,40%"
832,ALPA3,2750,7052,638,3895,"0,00%",3708,1229,3369,2398,2521,"11,56%","4,98%",218,"14,00%","9,05%","83.067,70","2.535.080.000,00",017,"-0,54%"
833,TASA4,484,7073,-134,0451,"0,00%",395,509,636,-067,1268,"7,10%","0,64%",112,"7,24%","-1,89%","5.444.340,00","-320.169.000,00",-240,"4,61%"
834,DAGB33,37500,7175,160,0640,"0,00%",510,1524,1187,-127,3065,"5,39%","1,67%",117,"4,96%","2,24%",000,"12.597.300.000,00",118,"32,08%"
835,ELCA3,2470,7597,1439,4754,"0,00%",2734,1866,3281,-658,2652,"14,49%","8,54%",181,"9,24%","18,94%",000,"3.532.700.000,00",219,"10,36%"
836,CTPC3,020,7636,108,0000,"0,00%",97,000,-1686,000,-1875,"0,00%","0,00%",0,"0,00%","1,41%",000,"2.411.000,00",000,"-6,10%"
837,MGLU3,4503,7755,2291,4039,"0,40%",5520,14796,8554,-1973,5856,"4,72%","5,21%",108,"9,51%","29,54%","561.816.000,00","3.193.620.000,00",036,"19,86%"
838,ALPA4,3178,8149,737,4502,"0,00%",4285,1420,3893,2771,2916,"11,56%","4,98%",218,"14,00%","9,05%","28.429.200,00","2.535.080.000,00",017,"-0,54%"
839,ROMI4,18500,8837,1542,14873,"0,00%",8262,3117,37024,6771,18317,"4,02%","16,87%",183,"2,64%","17,45%",000,"754.217.000,00",047,"6,77%"
840,LAME4,2228,9407,737,1974,"0,34%",1113,358,1816,-555,1365,"10,87%","1,17%",215,"12,08%","7,84%","84.567.200,00","4.851.110.000,00",403,"0,40%"
841,GNDI3,5669,9517,1146,3947,"0,26%",3185,8830,3680,-781,3012,"10,73%","5,44%",113,"10,85%","12,04%","171.551.000,00","2.665.060.000,00",092,"0,00%"
842,CPRE3,1658,9738,195,4645,"0,00%",730,-6455,992,-146,927,"46,83%","5,33%",91,"8,07%","2,00%","16.523,10","4.432.400.000,00",117,"7,95%"
843,PQUN3,1544,10431,188,0545,"0,00%",523,757,1950,-097,4025,"2,80%","0,52%",161,"3,02%","1,81%",000,"858.692.000,00",228,"5,19%"
844,PQUN4,1544,10431,188,0545,"0,00%",523,757,1950,-097,4025,"2,80%","0,52%",161,"3,02%","1,81%",000,"858.692.000,00",228,"5,19%"
845,JOPA4,2450,10437,052,0214,"2,91%",139,042,1293,-2825,2280,"1,66%","0,75%",209,"1,43%","0,50%",39884,"494.790.000,00",196,"2,52%"
846,JOPA3,2500,10650,053,0219,"2,60%",142,043,1319,-2882,2295,"1,66%","0,75%",209,"1,43%","0,50%",28833,"494.790.000,00",196,"2,52%"
847,AZUL4,5310,10832,-2814,1701,"0,00%",975,-905,1208,-119,731,"14,07%","1,57%",67,"9,52%","-25,98%","133.366.000,00","-644.791.000,00",-527,"20,34%"
848,TOTS3,6470,10871,505,5429,"0,40%",3464,977,1862,1366,1410,"29,15%","5,01%",266,"32,57%","4,65%","95.673.500,00","2.466.200.000,00",019,"5,17%"
849,TMAR6,4201,11259,071,0519,"0,00%",181,149,404,-050,321,"12,84%","-0,42%",162,"5,78%","0,63%",000,"20.448.500.000,00",138,"14,80%"
850,TMAR5,4267,11435,072,0527,"0,00%",184,151,410,-051,324,"12,84%","-0,42%",162,"5,78%","0,63%",000,"20.448.500.000,00",138,"14,80%"
851,FLCL6,991,11565,6125,11283,"0,00%",11168,14305,6497,-2775,6711,"17,37%","9,76%",123,"22,91%","52,97%",000,"72.920.000,00",296,"-29,63%"
852,NETC3,3850,12310,212,1290,"0,00%",1074,-3302,1082,-296,527,"11,93%","1,55%",80,"10,95%","1,72%",000,"6.812.390.000,00",028,"66,63%"
853,DASA3,4999,12397,441,3717,"1,11%",1766,2051,4370,-506,2286,"8,50%","3,12%",152,"4,61%","3,56%","6.540,19","3.569.130.000,00",075,"12,18%"
854,NETC4,4000,12789,220,1340,"0,00%",1116,-3431,1124,-308,545,"11,93%","1,55%",80,"10,95%","1,72%",000,"6.812.390.000,00",028,"66,63%"
855,LINX3,3178,12891,330,8042,"0,50%",2327,564,3651,1011,1940,"22,03%","6,24%",468,"11,03%","2,56%","41.987.000,00","1.825.340.000,00",018,"15,22%"
856,LOGN3,1714,12925,-506,1615,"0,00%",1312,4434,1559,-132,1186,"10,36%","1,25%",113,"9,94%","-3,91%","14.876.600,00","-330.625.000,00",-389,"-0,37%"
857,FLCL3,1150,13420,7108,13094,"0,00%",12959,16600,7540,-3221,7754,"17,37%","9,76%",123,"22,91%","52,97%",000,"72.920.000,00",296,"-29,63%"
858,BIDI3,1478,13560,475,0000,"0,12%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","3,50%","4.436.180,00","2.188.220.000,00",000,"0,00%"
859,BIDI11,4500,13762,482,0000,"0,12%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","3,50%","53.674.600,00","2.188.220.000,00",000,"0,00%"
860,BIDI4,1506,13817,484,0000,"0,45%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","3,50%","41.210.100,00","2.188.220.000,00",000,"0,00%"
861,FLCL5,1250,14587,7726,14232,"0,00%",14086,18044,8195,-3501,8409,"17,37%","9,76%",123,"22,91%","52,97%",000,"72.920.000,00",296,"-29,63%"
862,BRPR3,1287,16254,109,16322,"0,00%",681,1805,2260,-224,2882,"72,21%","10,04%",212,"3,19%","0,67%","25.063.900,00","5.791.030.000,00",039,"-13,80%"
863,TMAR3,6200,16616,104,0765,"0,00%",268,220,596,-074,396,"12,84%","-0,42%",162,"5,78%","0,63%",000,"20.448.500.000,00",138,"14,80%"
864,MEAL3,723,17682,148,0905,"7,56%",659,519,3235,-228,1280,"2,80%","0,51%",191,"2,55%","0,84%","6.167.100,00","954.646.000,00",054,"0,13%"
865,OMGE3,3693,18088,220,6844,"0,00%",820,768,1969,-184,1931,"34,76%","4,74%",255,"4,93%","1,22%","19.424.600,00","2.767.800.000,00",147,"70,62%"
866,LIPR3,7500,19241,514,0000,"2,87%",3985,000,-8367,000,-7609,"0,00%","0,00%",0,"0,00%","2,67%","5.389,21","171.511.000,00",000,"0,00%"
867,IDVL11,14000,21061,3044,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","14,45%",000,"399.193.000,00",000,"0,00%"
868,STBP11,1440,22016,142,2001,"0,00%",602,579,3193,-158,1011,"6,27%","0,91%",213,"2,26%","0,65%",000,"1.357.500.000,00",034,"0,79%"
869,ELEV3,2430,31239,322,0688,"0,00%",954,575,3719,-518,5141,"1,85%","0,27%",147,"3,01%","1,03%",000,"489.356.000,00",135,"3,69%"
870,GOLL4,3406,36278,-149,0913,"0,00%",818,-223,928,-069,660,"9,84%","2,44%",47,"11,58%","-0,41%","145.750.000,00","-8.137.020.000,00",-102,"7,47%"
871,RHDS4,100,36345,2950,4977,"0,00%",7182,-59356,6811,-2455,5372,"7,31%","1,17%",97,"11,80%","8,12%",000,"272.045.000,00",149,"4,38%"
872,STBP3,714,54581,352,4962,"0,06%",1493,1435,7915,-392,2510,"6,27%","0,91%",213,"2,26%","0,65%","15.431.200,00","1.357.500.000,00",034,"0,79%"
873,UBBR4,749,61027,199,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,33%",000,"10.317.200.000,00",000,"10,58%"
874,ALSO3,4448,63117,203,21297,"0,33%",1040,1442,3269,-384,2497,"65,16%","29,29%",407,"3,42%","0,32%","36.126.200,00","5.206.140.000,00",000,"9,34%"
875,UBBR11,1475,"1.201,81",391,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,33%",000,"10.317.200.000,00",000,"10,58%"
876,UBBR3,1800,"1.466,61",477,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,33%",000,"10.317.200.000,00",000,"10,58%"
877,ANIM3,2252,"2.679,98",264,1561,"0,03%",836,-1790,1810,-163,1322,"8,63%","0,06%",79,"4,94%","0,10%","4.819.860,00","683.761.000,00",147,"7,82%"
