,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,POPR4,1017,000,000,0000,"0,00%",0000,0,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",82,"30,93%"
1,CSTB4,14769,000,000,0000,"0,00%",0000,0,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",14,"31,91%"
2,MNSA3,042,000,000,0000,"0,00%",0000,0,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
3,CLAN3,000,000,000,0000,"0,00%",0000,0,000,000,000,"0,00%","0,00%",0,"0,00%","4,01%",000,"808.716.000,00",0,"45,85%"
4,PMET3,000,000,000,0000,"0,00%",0000,0,000,000,000,"0,00%","0,00%",0,"0,00%","7,10%",000,"-260.840.000,00",0,"-21,20%"
5,MNSA4,047,000,000,0000,"0,00%",0000,0,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
6,VNET3,000,000,000,0000,"0,00%",0000,0,000,000,000,"0,00%","0,00%",0,"0,00%","178,26%",000,"860.429.000,00",0,"19,43%"
7,NAFG3,000,000,000,0000,"0,00%",0000,0,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,0,"6,51%"
8,PORP4,240,000,000,0000,"0,00%",0000,0,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",0,"13,66%"
9,PMET5,000,000,000,0000,"0,00%",0000,0,000,000,000,"0,00%","0,00%",0,"0,00%","7,10%",000,"-260.840.000,00",0,"-21,20%"
10,CSTB3,15000,000,000,0000,"0,00%",0000,0,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",14,"31,91%"
11,CFLU4,"1.000,00",000,000,0000,"0,00%",0000,0,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",6,"8,14%"
12,RCTB33,5700,"-3.036,83","-3.841,05",0000,"0,00%",144382,0,"-9.747,21",000,"-9.703,78","0,00%","0,00%",0,"0,00%","126,48%",000,"-16.279.000,00",0,"0,00%"
13,RCTB31,4100,"-2.184,39","-2.762,86",0000,"0,00%",103853,0,"-7.011,15",000,"-6.967,72","0,00%","0,00%",0,"0,00%","126,48%",000,"-16.279.000,00",0,"0,00%"
14,RCTB41,3351,"-1.785,34","-2.258,13",0000,"0,00%",84881,0,"-5.730,34",000,"-5.686,90","0,00%","0,00%",0,"0,00%","126,48%",000,"-16.279.000,00",0,"0,00%"
15,LLXL3,920,"-1.737,55",588,412187,"0,00%",4063,2086,-6032,3289,-5767,"-683,31%","-226,63%",201,"-10,19%","-0,34%","25.571.400,00","1.084.420.000,00",20,"8,76%"
16,RCTB42,2000,"-1.065,56","-1.347,74",0000,"0,00%",50660,0,"-3.420,08",000,"-3.376,64","0,00%","0,00%",0,"0,00%","126,48%",000,"-16.279.000,00",0,"0,00%"
17,SGEN3,899,-84477,209,135720,"0,00%",1430,279,25387,419,25717,"53,46%","-16,07%",484,"0,58%","-0,25%","2.697,00","104.353.000,00",3,"-64,71%"
18,PLDN4,48600,-55307,108,0919,"0,00%",0611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",1,"10,26%"
19,RHDS4,100,-43557,4327,5994,"0,00%",5329,39937,24172,-1120,25873,"2,48%","-1,93%",104,"2,65%","-9,93%",000,"185.472.000,00",317,"7,80%"
20,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%","7.206,00","-377.568.000,00",-35,"6.354,07%"
21,SGEN4,210,-19733,049,31703,"0,00%",0334,65,5930,098,6260,"53,46%","-16,07%",484,"0,58%","-0,25%","141.569,00","104.353.000,00",3,"-64,71%"
22,LEVE3,5000,-19034,280,0987,"2,04%",1059,382,1098,-1613,1305,"8,99%","-0,74%",202,"11,83%","-1,47%",000,"542.885.000,00",92,"2,70%"
23,CSAB4,3400,-12621,150,0000,"8,09%",0584,0,2453,000,2804,"0,00%","0,00%",0,"0,00%","-1,19%","5.231,27","174.542.000,00",0,"0,00%"
24,HAGA3,400,-12205,-043,1673,"0,00%",1634,-281,1246,-021,2811,"13,42%","-1,37%",55,"20,82%","0,35%","18.291,90","-111.204.000,00",-62,"15,98%"
25,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%","212.389,00","-377.568.000,00",-35,"6.354,07%"
26,CSAB3,3200,-11878,141,0000,"7,81%",0550,0,2309,000,2659,"0,00%","0,00%",0,"0,00%","-1,19%","14.520,70","174.542.000,00",0,"0,00%"
27,MAGG3,1341,-11653,156,1796,"0,00%",0697,466,1611,-280,2282,"11,14%","-1,46%",198,"4,82%","-1,34%","6.180.010,00","2.219.690.000,00",80,"150,92%"
28,HAGA4,357,-10893,-038,1493,"0,00%",1458,-251,1113,-018,2677,"13,42%","-1,37%",55,"20,82%","0,35%","1.448.960,00","-111.204.000,00",-62,"15,98%"
29,MAPT3,444,-10851,-622,0000,"0,00%",52106,0,-16585,000,-16585,"0,00%","0,00%",0,"0,00%","5,73%","1.870,00","-6.564.000,00",0,"0,00%"
30,INET3,093,-10785,-408,0000,"0,00%",235791,0,-25243,000,-25243,"0,00%","0,00%",0,"0,00%","3,79%","5.413.720,00","-20.155.000,00",0,"0,00%"
31,KEPL3,057,-10696,446,3122,"0,00%",1798,686,5163,-1098,5748,"6,05%","-2,92%",253,"4,61%","-4,17%","34.917.300,00","167.192.000,00",97,"-6,24%"
32,SMTO3,1640,-10605,114,2345,"0,99%",0541,3225,-6424,-173,-9827,"-3,65%","-2,11%",109,"-0,90%","-1,08%","2.936.350,00","1.624.360.000,00",68,"0,00%"
33,BRTP3,5350,-10076,367,1750,"0,00%",1025,1346,903,-360,1055,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",91,"3,66%"
