,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,VNET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","22,47%",000,"14.870.100.000,00",000,"9,09%"
1,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
2,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
3,CLSC6,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","9,31%",000,"2.010.400.000,00",000,"7,39%"
4,MNSA4,047,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
5,PORP4,240,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
6,IVTT3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
7,CSTB4,14769,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
8,GBIO33,870,000,000,0000,"0,00%",0,000,000,000,000,"25,25%","5,70%",181,"21,58%","6,48%","2.217.210,00","703.355.000,00",030,"0,00%"
9,CLAN3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
10,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
11,PMET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
12,DAGB33,37500,000,000,0000,"0,00%",0,000,000,000,000,"5,39%","1,67%",117,"4,96%","2,24%",000,"12.597.300.000,00",118,"32,08%"
13,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
14,CCPR3,1250,"-1.686,36",143,3054,"8,02%",417,1053,667,-115,1269,"45,81%","10,15%",139,"7,02%","-0,08%","108.311,00","1.045.420.000,00",166,"6,69%"
15,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
16,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
17,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
18,RJCP3,001,-22470,065,0000,"0,00%",619,000,-52294,000,-52396,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
19,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
20,PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",000,"-2.637,65","0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
21,MEAL3,610,-15530,098,0646,"10,44%",655,808,2832,-650,2869,"2,28%","-0,42%",155,"2,71%","-0,63%","2.728.150,00","1.039.150.000,00",016,"-1,08%"
22,GLOB4,3049,-14781,1564,1466,"0,00%",1874,-2954,3499,-791,3560,"4,19%","-0,99%",91,"12,98%","-10,58%",000,"2.523.000.000,00",174,"6,52%"
23,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
24,MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,641,"16,82%","-0,57%",114,"14,05%","-1,10%","3.243.850,00","2.246.130.000,00",103,"9,27%"
25,BAHI3,13400,-9415,270,3280,"0,00%",1919,3448,-3619,7543,-3249,"-9,07%","-3,48%",126,"-6,67%","-2,86%","52.750,50","58.251.000,00",000,"111,02%"
26,BNCA3,7030,-9030,245,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
27,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
28,BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
29,BTOW3,4931,-6184,627,3408,"0,00%",1728,539,26896,-1016,29422,"1,27%","-5,52%",237,"1,30%","-10,13%","109.521.000,00","3.598.870.000,00",200,"-2,88%"
30,UCAS3,280,-6139,109,1237,"0,00%",838,300,-2338,362,-1843,"-5,29%","-2,02%",252,"-4,50%","-1,78%","290.088,00","169.458.000,00",000,"-13,10%"
31,BAHI4,8600,-6043,173,2105,"0,00%",1231,2213,-2322,4841,-1952,"-9,07%","-3,48%",126,"-6,67%","-2,86%",000,"58.251.000,00",000,"111,02%"
32,SEDU3,2208,-5569,883,2773,"0,00%",1441,1000,5847,-383,7190,"4,74%","-4,93%",146,"3,54%","-15,86%","1.068.320,00","655.505.000,00",324,"14,60%"
33,CASN3,800,-5341,495,5393,"0,00%",1751,78238,-11176,-339,-13252,"-4,83%","-10,10%",102,"-1,63%","-9,27%",000,"1.155.910.000,00",099,"11,21%"
34,AHEB5,9561,-5336,1017,-70695,"0,00%",2675,-9363,-4585,-440,-4464,"154,17%","132,48%",82,"-6,47%","-19,05%",000,"70.732.000,00",000,"3,87%"
35,PEFX3,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
36,PEFX5,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
37,IMBI3,501,-4642,281,"2.659,020","0,00%",518,-221,-9712,-037,-10472,"-2.737,88%","-13.821,20%",5,"-0,54%","-6,05%",000,"62.544.000,00",022,"-57,16%"
38,BAHI5,6500,-4567,131,1591,"0,00%",931,1673,-1755,3659,-1385,"-9,07%","-3,48%",126,"-6,67%","-2,86%",000,"58.251.000,00",000,"111,02%"
39,CLAN4,300,-4492,047,15151,"0,00%",406,-1550,-8256,-636,-9743,"-18,35%","-33,73%",73,"-0,50%","-1,05%",000,"1.012.240.000,00",008,"-63,96%"
40,CYRE3,1695,-4466,127,2582,"6,61%",645,152,38961,379,43963,"0,66%","-2,76%",304,"0,21%","-2,85%","51.270.400,00","5.321.920.000,00",054,"-18,82%"
41,AHEB6,8000,-4465,851,-59153,"0,00%",2238,-7834,-3837,-368,-3715,"154,17%","132,48%",82,"-6,47%","-19,05%",000,"70.732.000,00",000,"3,87%"
42,EBTP3,1021,-4356,117,0548,"0,00%",353,-50247,642,-073,846,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
43,EBTP4,1000,-4266,114,0537,"0,00%",346,-49213,629,-071,833,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
44,FBRA4,3458,-3957,166,0457,"0,00%",738,1894,740,-1767,1062,"6,18%","-1,15%",111,"11,94%","-4,20%",000,"213.406.000,00",077,"12,48%"
45,BRTP4,2081,-3919,143,0681,"0,00%",399,523,351,-140,503,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
46,JBSS3,1412,-3893,145,0218,"0,33%",324,207,554,-077,1266,"3,93%","-0,39%",188,"7,36%","-3,73%","102.050.000,00","26.569.200.000,00",232,"10,17%"
47,MAPT3,630,-3406,-107,0000,"0,00%",7490,000,-3809,000,-3809,"0,00%","0,00%",0,"0,00%","3,15%",000,"-5.391.000,00",000,"0,00%"
48,AHEB3,6000,-3349,638,-44365,"0,00%",1678,-5876,-2878,-276,-2756,"154,17%","132,48%",82,"-6,47%","-19,05%","4.509,81","70.732.000,00",000,"3,87%"
49,IMBI4,350,-3243,196,"1.857,600","0,00%",362,-154,-6785,-026,-7544,"-2.737,88%","-13.821,20%",5,"-0,54%","-6,05%",000,"62.544.000,00",022,"-57,16%"
50,PRTX3,277,-3227,-14532,297651,"0,00%",1400,-257,-9711,-143,-12899,"-306,50%","-922,47%",5,"-1,50%","450,37%",000,"-18.917.000,00",-4985,"307,96%"
51,ITEC3,2052,-3211,853,560981,"0,00%",4026,958,-1228,-20882,-1126,"-4.568,64%","-1.747,16%",575,"-49,55%","-26,56%",16914,"26.641.000,00",000,"-74,87%"
52,DFVA3,990,-3138,6069,4327,"0,00%",5365,2910,-5591,-3147,-5828,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
53,BRML3,1311,-3122,115,9416,"0,72%",663,2440,1327,-206,1542,"70,97%","-33,05%",154,"5,32%","-3,68%","103.040.000,00","9.954.930.000,00",029,"-2,07%"
54,ASTA4,2583,-3079,100,0652,"0,00%",446,257,1990,-330,3320,"3,28%","-2,12%",171,"2,52%","-3,25%",000,"515.672.000,00",085,"-4,73%"
55,BAHI11,4370,-3070,088,1070,"0,00%",626,1125,-1180,2460,-810,"-9,07%","-3,48%",126,"-6,67%","-2,86%",000,"58.251.000,00",000,"111,02%"
56,ARTR3,1001,-3042,089,1492,"0,00%",379,-691,2222,-078,4596,"6,72%","-4,91%",62,"1,86%","-2,93%",000,"6.458.080.000,00",111,"0,58%"
57,EMBR3,1896,-2963,090,0780,"0,70%",297,094,1032,-463,1365,"7,56%","-2,47%",213,"4,28%","-3,05%","85.269.400,00","15.519.600.000,00",104,"4,97%"
58,VGOR4,587,-2958,718,1229,"0,00%",1468,11397,2732,-322,3409,"4,50%","-4,59%",104,"6,00%","-24,29%",000,"135.178.000,00",189,"4,77%"
59,CRBM3,9000,-2895,326,1498,"0,00%",1172,298,-1545,1690,-1417,"-9,70%","-5,18%",224,"-12,71%","-11,28%",000,"827.347.000,00",045,"-1,58%"
60,DFVA4,800,-2535,4904,3497,"0,00%",4335,2351,-4518,-2543,-4755,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
61,CALI3,9818,-2362,179,6192,"2,99%",847,464,-249,-422,-248,"-248,64%","-26,21%",227,"-34,61%","-7,58%",000,"20.396.000,00",000,"-39,16%"
62,VVAR11,1458,-2356,249,0234,"0,25%",299,-471,558,-126,619,"4,19%","-0,99%",91,"12,98%","-10,58%",000,"2.523.000.000,00",174,"6,52%"
63,VVAR4,484,-2346,248,0233,"0,25%",298,-469,555,-126,616,"4,19%","-0,99%",91,"12,98%","-10,58%",000,"2.523.000.000,00",174,"6,52%"
64,ELET5,4800,-2344,150,1594,"0,00%",365,1098,18862,-074,29147,"0,84%","-6,69%",115,"0,21%","-6,40%","1.525,57","43.313.600.000,00",103,"8,38%"
65,TAMM4,5273,-2274,380,0626,"0,00%",524,-3111,977,-096,1801,"6,41%","-2,21%",95,"6,36%","-16,70%",000,"2.174.310.000,00",408,"9,79%"
66,TAMM3,5260,-2268,379,0625,"0,00%",523,-3104,974,-096,1798,"6,41%","-2,21%",95,"6,36%","-16,70%",000,"2.174.310.000,00",408,"9,79%"
67,CYRE4,850,-2240,064,1295,"0,00%",324,076,19538,190,24540,"0,66%","-2,76%",304,"0,21%","-2,85%",000,"5.321.920.000,00",054,"-18,82%"
