,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
856,CPRE3,1823,6943,242,5708,"0,00%",915,-8054,1534,-189,1959,1021,"37,22%","8,77%",92,"6,61%","3,49%",000,"4.467.110.000,00",091,"5,64%"
857,CEBR6,12480,7031,254,0658,"1,47%",522,2693,2696,-174,2920,2031,"2,44%","2,09%",105,"2,24%","3,61%","155.885,00","707.881.000,00",059,"5,57%"
858,POMO3,255,7120,098,0644,"2,86%",399,179,1175,-888,1761,1188,"5,49%","0,69%",170,"4,40%","1,38%","481.285,00","2.458.970.000,00",088,"12,75%"
859,DAGB33,37500,7175,160,0640,"0,00%",510,1524,1187,-127,1935,3065,"5,39%","1,67%",117,"4,96%","2,24%",000,"12.597.300.000,00",118,"32,08%"
860,POMO4,273,7623,105,0690,"2,67%",427,191,1258,-950,1844,1244,"5,49%","0,69%",170,"4,40%","1,38%","19.498.100,00","2.458.970.000,00",088,"12,75%"
861,CTPC3,020,7636,108,0000,"0,00%",97,000,-1686,000,-1875,-1875,"0,00%","0,00%",0,"0,00%","1,41%",000,"2.411.000,00",000,"-6,10%"
862,LAME4,2442,7726,364,2212,"0,64%",1134,314,2172,3491,2173,1267,"10,18%","2,55%",233,"11,69%","4,72%","229.224.000,00","12.512.500.000,00",128,"3,34%"
863,VULC3,696,7732,160,1563,"0,00%",1036,220,2139,335,2189,1094,"7,31%","2,02%",351,"6,18%","2,06%","7.944.030,00","1.072.270.000,00",029,"3,02%"
864,WEGE3,8059,8057,1521,10339,"0,54%",8879,2541,5793,4300,5737,4996,"17,85%","13,07%",235,"20,54%","18,87%","519.978.000,00","11.122.500.000,00",018,"14,56%"
865,ELCA4,2020,8466,1151,3932,"0,00%",2033,3343,2861,-443,3324,2333,"13,74%","6,50%",125,"8,30%","13,60%",000,"3.702.250.000,00",245,"9,18%"
866,CTSA4,201,8974,079,0512,"1,67%",352,1191,751,-320,1531,1533,"6,82%","0,57%",107,"5,22%","0,88%","150.691,00","283.521.000,00",086,"7,43%"
867,CASN3,1520,8987,867,8066,"0,26%",3014,27565,3328,-599,3695,2869,"24,24%","8,97%",108,"9,75%","9,65%",000,"1.316.960.000,00",113,"11,82%"
868,TXRX3,4001,9606,-056,2115,"0,00%",931,-062,-11883,-040,-26724,-26724,"-1,78%","2,20%",18,"-1,21%","-0,58%","9.626,73","-303.725.000,00",-070,"1,35%"
869,BOAS3,1370,9964,1758,10138,"0,00%",7531,-9063,5291,-2671,5471,2435,"19,16%","10,17%",78,"17,82%","17,64%","26.043.100,00","374.132.000,00",097,"0,00%"
870,ALPA3,3585,10288,731,6773,"0,14%",3464,1379,4232,2786,4171,3199,"16,00%","6,13%",164,"13,30%","7,11%","120.452,00","2.882.480.000,00",058,"-3,89%"
871,ELCA3,2470,10352,1408,4808,"0,00%",2486,4088,3498,-542,3961,2781,"13,74%","6,50%",125,"8,30%","13,60%",000,"3.702.250.000,00",245,"9,18%"
872,PQUN3,1544,10431,188,0545,"0,00%",523,757,1950,-097,4025,4025,"2,80%","0,52%",161,"3,02%","1,81%",000,"858.692.000,00",228,"5,19%"
873,PQUN4,1544,10431,188,0545,"0,00%",523,757,1950,-097,4025,4025,"2,80%","0,52%",161,"3,02%","1,81%",000,"858.692.000,00",228,"5,19%"
