,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,NAFG3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","1,68%",000,"324.388.000,00",000,"-10,43%"
1,VNET3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","142,02%",000,"1.232.590.000,00",000,"3,35%"
2,MNSA4,047,000,000,0000,"0,00%",0000,0,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
3,CSTB3,15000,000,000,0000,"0,00%",0000,0,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
4,CFLU4,"1.000,00",000,000,0000,"0,00%",0000,0,000,0,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
5,CLAN3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-4,45%",000,"988.067.000,00",000,"-37,48%"
6,PORP4,240,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
7,CSTB4,14769,000,000,0000,"0,00%",0000,0,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
8,IVTT3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","1,05%",000,"727.042.000,00",000,"236,29%"
9,POPR4,1017,000,000,0000,"0,00%",0000,0,000,0,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
10,PMET3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","1,59%",000,"-261.964.000,00",000,"-16,81%"
11,DAGB11,17498,000,000,0000,"0,00%",0000,0,000,0,000,"9,47%","5,64%",127,"5,88%","11,04%","1.309.720,00","1.647.880.000,00",194,"-16,45%"
12,MNSA3,042,000,000,0000,"0,00%",0000,0,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
13,FRIO3,578,"-34.216,80",100,0307,"11,81%",0252,69,1782,-716,3277,"1,72%","1,12%",208,"2,61%","-0,00%","109.413,00","239.564.000,00",239,"3,74%"
14,AHEB3,3500,"-2.134,53",215,1652,"0,00%",0567,-449,-1635,-94,-1462,"-10,10%","-0,08%",52,"-3,90%","-0,10%",000,"74.586.000,00",000,"12,18%"
15,AHEB6,3500,"-2.134,53",215,1652,"0,00%",0567,-449,-1635,-94,-1462,"-10,10%","-0,08%",52,"-3,90%","-0,10%",000,"74.586.000,00",000,"12,18%"
16,AHEB5,3500,"-2.134,53",215,1652,"0,00%",0567,-449,-1635,-94,-1462,"-10,10%","-0,08%",52,"-3,90%","-0,10%",000,"74.586.000,00",000,"12,18%"
17,MMXM3,680,-89782,146,4476,"0,00%",0697,526,1980,-244,2195,"22,61%","1,81%",215,"4,38%","-0,16%","26.362.300,00","2.892.160.000,00",053,"54,07%"
18,PLDN4,48600,-55307,108,0919,"0,00%",0611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
19,RHDS4,100,-46134,3898,4939,"0,00%",4788,-14337,11924,-1267,12800,"4,14%","-1,32%",94,"4,49%","-8,45%",000,"205.858.000,00",298,"7,15%"
20,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
21,BAHI4,8600,-27636,915,0000,"0,00%",7759,0,-12876,0,-11557,"0,00%","0,00%",0,"0,00%","-3,31%",000,"56.342.000,00",000,"-99,72%"
22,IDVL11,14000,-24423,1530,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-6,26%",000,"577.501.000,00",000,"-39,40%"
23,MNDL3,048,-23256,198,0321,"1,56%",0151,-87,445,-22,1080,"7,21%","-0,14%",56,"3,61%","-0,85%","440.217,00","68.914.000,00",293,"9,13%"
24,MNDL4,047,-22772,194,0314,"1,59%",0148,-85,435,-21,1071,"7,21%","-0,14%",56,"3,61%","-0,85%","2.187.580,00","68.914.000,00",293,"9,13%"
25,OGXP3,1360,-22121,484,0000,"0,00%",3001,0,-15203,0,-14759,"0,00%","0,00%",0,"0,00%","-2,19%","197.083.000,00","9.094.370.000,00",000,"0,00%"
26,ABYA3,491,-21480,176,2055,"0,00%",0527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
27,BAHI5,6500,-20888,692,0000,"0,00%",5865,0,-9732,0,-8413,"0,00%","0,00%",0,"0,00%","-3,31%",000,"56.342.000,00",000,"-99,72%"
28,LUXM3,4600,-17820,099,1376,"1,43%",0589,3330,1088,-180,1320,"12,65%","-0,77%",129,"5,71%","-0,56%","4.600,00","81.046.000,00",028,"19,84%"
29,HYPE3,940,-16515,089,1631,"1,28%",0434,193,1158,-262,1573,"14,09%","-0,99%",281,"4,67%","-0,54%","50.662.500,00","6.596.680.000,00",070,"42,73%"
30,BAHI11,4370,-14043,465,0000,"0,00%",3943,0,-6543,0,-5224,"0,00%","0,00%",0,"0,00%","-3,31%",000,"56.342.000,00",000,"-99,72%"
31,TELB3,3599,-12484,1997,0000,"0,00%",5471,0,-8775,0,-7646,"0,00%","0,00%",0,"0,00%","-15,99%","83.532,80","197.734.000,00",000,"0,00%"
32,CESP5,3365,-12477,106,3767,"5,42%",0601,-2809,853,-161,1030,"44,14%","-3,02%",69,"7,22%","-0,85%","67.729,20","10.434.900.000,00",026,"7,97%"
33,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
34,CESP6,3182,-11799,100,3562,"2,21%",0569,-2656,807,-152,983,"44,14%","-3,02%",69,"7,22%","-0,85%","13.851.100,00","10.434.900.000,00",026,"7,97%"
35,LUXM4,2800,-10847,060,0838,"2,59%",0359,2027,662,-109,895,"12,65%","-0,77%",129,"5,71%","-0,56%","57.400,00","81.046.000,00",028,"19,84%"
36,CESP3,2747,-10186,086,3075,"2,56%",0491,-2293,697,-131,873,"44,14%","-3,02%",69,"7,22%","-0,85%","97.748,30","10.434.900.000,00",026,"7,97%"
37,BMTO4,074,-10103,279,0000,"0,00%",2767,0,"8.723,00",0,"8.716,02","0,00%","0,00%",0,"0,00%","-2,77%","34.322,00","758.676.000,00",000,"0,00%"
38,LLXL3,346,-10100,267,"-1.143,570","0,00%",1070,3829,-2180,-367,-2504,"5.246,26%","1.730,25%",110,"-6,80%","-2,64%","12.932.900,00","898.712.000,00",099,"10,95%"
39,GLOB4,3049,-9844,390,0508,"0,00%",0892,473,929,-11242,1244,"5,47%","-0,52%",133,"13,78%","-3,96%",000,"2.522.010.000,00",176,"47,55%"
40,BMTO3,069,-9420,261,0000,"0,00%",2580,0,"8.133,61",0,"8.126,63","0,00%","0,00%",0,"0,00%","-2,77%","2.280,00","758.676.000,00",000,"0,00%"
41,BNCA3,7030,-9030,245,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
42,WMBY3,2539,-8708,149,0258,"0,00%",0157,56,985,319,2094,"2,62%","-1,60%",223,"1,91%","-1,71%",000,"409.724.000,00",272,"-11,62%"
43,OSXB3,1129,-8620,125,43419,"0,00%",0848,260,-1866,445,-1474,"-232,66%","-50,75%",293,"-7,89%","-1,45%","6.384.100,00","2.528.390.000,00",035,"0,00%"
44,BRTP3,3571,-6726,245,1168,"0,00%",0684,898,603,-240,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
45,CASN3,400,-6186,284,5337,"0,00%",1542,2782,4409,-502,4660,"12,11%","-8,63%",158,"3,75%","-4,59%",000,"1.006.640.000,00",026,"9,64%"
46,MPXE3,4891,-6171,439,43433,"0,00%",0789,876,-2872,-136,-4410,"-151,23%","-67,68%",164,"-3,36%","-7,12%","19.197.900,00","1.521.550.000,00",326,"63,49%"
47,RANI4,2850,-5700,050,0495,"6,81%",0200,39686,652,-48,1477,"7,58%","-0,86%",100,"3,35%","-0,87%",000,"463.667.000,00",075,"7,93%"
48,GLOB3,1745,-5634,223,0291,"0,00%",0511,271,532,-6434,847,"5,47%","-0,52%",133,"13,78%","-3,96%","41.537,10","2.522.010.000,00",176,"47,55%"
49,TELB4,1530,-5307,849,0000,"0,00%",2326,0,-3730,0,-2602,"0,00%","0,00%",0,"0,00%","-15,99%","2.560.080,00","197.734.000,00",000,"0,00%"
50,PEFX3,1900,-5204,168,0477,"0,00%",0597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
51,PEFX5,1900,-5204,168,0477,"0,00%",0597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
52,MTIG3,110,-4568,837,4598,"0,00%",5421,2002,-3737,2796,-3827,"-12,30%","-10,06%",198,"-17,62%","-18,32%","9.992,15","41.076.000,00",035,"2,57%"
53,ELCA3,2470,-4564,891,1270,"0,00%",0793,-1455,1021,-150,1588,"12,44%","-2,60%",84,"8,71%","-19,52%",000,"1.182.600.000,00",560,"25,52%"
54,IGUA3,750,-4422,210,0235,"4,96%",0277,-138,11226,-112,36832,"0,21%","-0,53%",76,"0,27%","-4,76%","10.326,70","103.535.000,00",496,"16,09%"
55,SPRI5,060,-4294,078,0887,"8,23%",0479,1698,-1205,-3039,-1392,"-7,36%","-5,26%",112,"-4,47%","-1,81%","4.403,06","97.561.000,00",014,"-18,92%"
56,VULC4,1800,-4276,1315,3011,"0,00%",3072,1694,-7445,-1594,-8765,"-4,04%","-7,04%",146,"-4,51%","-30,75%",000,"383.322.000,00",245,"19,15%"
57,MNPR4,463,-4233,12506,14187,"0,00%",9058,-9297,-9001,-1412,-9115,"-15,76%","-34,00%",75,"-11,11%","-295,47%",000,"18.776.000,00",162,"9,11%"
58,RHDS3,009,-4152,351,0445,"0,00%",0431,-1290,1073,-114,1949,"4,14%","-1,32%",94,"4,49%","-8,45%","18.823,20","205.858.000,00",298,"7,15%"
59,SPRI3,056,-4008,073,0828,"0,00%",0447,1585,-1125,-2836,-1312,"-7,36%","-5,26%",112,"-4,47%","-1,81%","85.726,40","97.561.000,00",014,"-18,92%"
60,FBRA4,3458,-3957,166,0457,"0,00%",0738,1894,740,-1767,1062,"6,18%","-1,15%",111,"11,94%","-4,20%",000,"213.406.000,00",077,"12,48%"
61,BRTP4,2081,-3919,143,0681,"0,00%",0399,523,351,-140,503,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
62,RANI3,1950,-3900,034,0338,"9,34%",0137,27154,446,-33,1271,"7,58%","-0,86%",100,"3,35%","-0,87%","26.907,80","463.667.000,00",075,"7,93%"
63,DTCY3,089,-3816,837,4271,"0,00%",3149,-1164,-13994,-604,-14443,"-3,05%","-11,19%",27,"-2,34%","-21,92%","7.528,29","5.972.000,00",028,"-1,90%"
64,ELCA4,2020,-3732,729,1039,"0,00%",0648,-1190,835,-123,1402,"12,44%","-2,60%",84,"8,71%","-19,52%",000,"1.182.600.000,00",560,"25,52%"
65,IGUA6,617,-3638,173,0193,"6,03%",0228,-114,9235,-92,34841,"0,21%","-0,53%",76,"0,27%","-4,76%","6.143,50","103.535.000,00",496,"16,09%"
66,SPRI6,050,-3579,065,0739,"0,00%",0399,1415,-1004,-2532,-1191,"-7,36%","-5,26%",112,"-4,47%","-1,81%",97850,"97.561.000,00",014,"-18,92%"
67,IGUA5,600,-3537,168,0188,"6,20%",0222,-111,8981,-90,34587,"0,21%","-0,53%",76,"0,27%","-4,76%","3.628,67","103.535.000,00",496,"16,09%"
68,MGEL3,2500,-3447,196,0572,"1,18%",0476,201,1148,-273,1748,"4,98%","-0,23%",169,"7,21%","-5,67%",000,"221.856.000,00",235,"4,73%"
69,VCPA4,2601,-3438,082,2230,"0,00%",0432,346,3924,-155,6894,"5,68%","-6,39%",280,"1,20%","-2,38%",000,"14.870.400.000,00",076,"19,05%"
70,AESL3,"10.081,90",-3235,357,-2003,"0,00%",1100,-2789,-3523,-228,-4137,"5,68%","6,19%",84,"-3,98%","-11,03%",000,"788.749.000,00",084,"3,11%"
71,AESL4,"10.081,90",-3235,357,-2003,"0,00%",1100,-2789,-3523,-228,-4137,"5,68%","6,19%",84,"-3,98%","-11,03%",000,"788.749.000,00",084,"3,11%"
72,DFVA3,990,-3138,6069,4327,"0,00%",5365,2910,-5591,-3147,-5828,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
73,ASTA4,2583,-3079,100,0652,"0,00%",0446,257,1990,-330,3320,"3,28%","-2,12%",171,"2,52%","-3,25%",000,"515.672.000,00",085,"-4,73%"
74,VGOR4,587,-2958,718,1229,"0,00%",1468,11397,2732,-322,3409,"4,50%","-4,59%",104,"6,00%","-24,29%",000,"135.178.000,00",189,"4,77%"
75,LOGN3,672,-2913,106,0913,"0,00%",0443,641,1806,-105,3532,"5,06%","-3,16%",175,"2,61%","-3,62%","562.727,00","583.919.000,00",111,"19,52%"
76,CRBM3,9000,-2895,326,1498,"0,00%",1172,298,-1545,1690,-1417,"-9,70%","-5,18%",224,"-12,71%","-11,28%",000,"827.347.000,00",045,"-1,58%"
77,JBSS3,600,-2867,088,0229,"0,00%",0386,227,745,-246,1299,"3,07%","-0,80%",180,"6,31%","-3,06%","25.962.900,00","20.925.700.000,00",092,"33,97%"
78,IDNT3,261,-2863,225,0242,"0,00%",0467,1734,-887,-713,-1447,"-2,72%","-0,95%",104,"-7,87%","-7,87%","620.832,00","134.369.000,00",159,"33,76%"
79,INET3,017,-2806,-070,0000,"0,00%",31470,0,-4558,0,-4558,"0,00%","0,00%",0,"0,00%","2,48%","11.419,60","-21.588.000,00",000,"0,00%"
80,BAHI3,810,-2603,086,0000,"0,00%",0731,0,-1213,0,106,"0,00%","0,00%",0,"0,00%","-3,31%","5.313,33","56.342.000,00",000,"-99,72%"
81,MAPT3,105,-2594,-227,0000,"0,00%",12482,0,-7909,0,-7909,"0,00%","0,00%",0,"0,00%","8,74%",21000,"-4.257.000,00",000,"0,00%"
82,DFVA4,800,-2535,4904,3497,"0,00%",4335,2351,-4518,-2543,-4755,"-7,74%","-13,79%",133,"-10,35%","-193,42%",000,"1.170.000,00",284,"3,39%"
83,PRTX3,162,-2283,-15230,539342,"0,00%",1177,-329,-3761,-144,-4695,"-1.434,22%","-2.361,99%",35,"-3,96%","666,96%","167.313,00","-10.557.000,00",-5973,"0,00%"
84,BTOW3,906,-2235,124,0346,"0,44%",0391,93,280,-3082,509,"12,34%","-1,55%",268,"20,61%","-5,55%","13.403.100,00","1.166.630.000,00",166,"11,08%"
85,PITI4,128,-2169,120,0183,"0,00%",0061,82,104,-14,561,"17,63%","2,62%",134,"7,31%","-5,54%",000,"1.023.810.000,00",817,"46,48%"
86,TANC4,4300,-2092,343,0531,"0,00%",0432,-2558,795,-78,1633,"6,68%","-2,54%",95,"6,42%","-16,39%",000,"1.959.270.000,00",459,"10,90%"
87,RPMG3,125,-1979,-633,0466,"0,00%",1495,605,-446,-211,-472,"-10,44%","-2,37%",188,"-36,48%","32,00%","15.560.600,00","-183.871.000,00",-037,"79,45%"
88,CRBM7,6000,-1930,218,0999,"0,00%",0782,199,-1030,1126,-902,"-9,70%","-5,18%",224,"-12,71%","-11,28%",000,"827.347.000,00",045,"-1,58%"
89,FIBR3,1440,-1903,045,1235,"3,92%",0239,192,2172,-86,5142,"5,68%","-6,39%",280,"1,20%","-2,38%","22.577.300,00","14.870.400.000,00",076,"19,05%"
90,TDBH4,066,-1863,128,0906,"0,00%",0811,-615,873,-566,1023,"10,38%","-4,86%",63,"10,48%","-6,85%",000,"554.115.000,00",027,"35,74%"
91,CLAN4,500,-1804,080,3543,"0,00%",0681,2325,-1775,2709,-2110,"-19,96%","-19,64%",120,"-3,88%","-4,45%",000,"988.067.000,00",015,"-37,48%"
92,TAMM4,3610,-1756,288,0446,"3,22%",0363,-2148,668,-66,1506,"6,68%","-2,54%",95,"6,42%","-16,39%","14.643.000,00","1.959.270.000,00",459,"10,90%"
93,TAMM3,3525,-1715,281,0436,"3,30%",0354,-2097,652,-64,1490,"6,68%","-2,54%",95,"6,42%","-16,39%","562.111,00","1.959.270.000,00",459,"10,90%"
94,GOLL4,1227,-1705,000,0629,"1,54%",0000,0,4745,0,4745,"1,33%","-3,69%",0,"0,00%","0,00%","22.927.400,00",000,000,"3,95%"
95,MAPT4,065,-1606,-140,0000,"0,00%",7727,0,-4896,0,-4896,"0,00%","0,00%",0,"0,00%","8,74%",21486,"-4.257.000,00",000,"0,00%"
96,TDBH3,056,-1581,108,0769,"0,00%",0688,-522,740,-480,891,"10,38%","-4,86%",63,"10,48%","-6,85%",000,"554.115.000,00",027,"35,74%"
97,IDVL3,876,-1528,096,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-6,26%",000,"577.501.000,00",000,"-39,40%"
98,BPNM4,623,-1438,108,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-7,50%","2.159.720,00","1.410.630.000,00",000,"7,97%"
99,BIOM3,349,-1416,-1490,69000,"0,00%",12332,-3731,-1434,-783,-1431,"-481,19%","-487,23%",43,"-110,59%","105,22%","601.800,00","-4.061.000,00",000,"-54,09%"
100,MWET3,400,-1410,2542,0349,"0,00%",0400,7622,863,-60,1427,"4,05%","-2,68%",102,"5,28%","-180,27%","1.200,00","3.238.000,00",1946,"5,67%"
101,RPMG4,088,-1393,-446,0328,"0,00%",1053,426,-314,-149,-340,"-10,44%","-2,37%",188,"-36,48%","32,00%","4.370.630,00","-183.871.000,00",-037,"79,45%"
102,LECO4,146,-1348,200,0637,"0,00%",0924,-1684,-2969,-316,-3269,"-2,14%","-4,72%",82,"-3,48%","-14,82%",000,"105.928.000,00",020,"3,58%"
103,HOOT4,060,-1271,-252,0880,"0,00%",0191,-110,651,-21,704,"13,52%","-6,87%",47,"3,22%","19,80%","27.374,80","-43.798.000,00",-037,"7,91%"
104,GPIV11,391,-1244,063,0091,"0,00%",0089,-384,133,-27,478,"6,79%","-5,38%",93,"8,30%","-5,05%","944.506,00","1.029.370.000,00",269,"241,69%"
105,GSHP3,1160,-1244,173,4506,"0,00%",0461,464,827,-84,1213,"54,50%","-36,23%",220,"6,64%","-13,91%","1.320.660,00","338.463.000,00",137,"18,59%"
106,FGUI3,1200,-1241,-215,16009,"0,00%",25203,-220,-5776,-205,-7017,"-27,72%","-129,00%",4,"-60,74%","17,32%",000,"-222.024.000,00",-046,"2,13%"
107,WSON11,2500,-1209,206,5752,"0,00%",0920,995,-2863,-320,-3728,"-20,09%","-47,13%",154,"-4,19%","-17,02%","782.049,00","863.919.000,00",085,"-48,47%"
108,IDVL4,669,-1167,073,0000,"5,03%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-6,26%","81.744,10","577.501.000,00",000,"-39,40%"
109,CALI3,12501,-1144,-828,2969,"0,00%",1737,1640,-2644,-406,-3275,"-11,23%","-25,96%",116,"-6,87%","72,43%",000,"-5.614.000,00",-208,"-19,70%"
110,TOYB3,004,-1063,231,0574,"0,00%",0847,355,2607,399,3310,"2,20%","3,72%",139,"4,48%","-21,77%","11.327,40","22.858.000,00",075,"20,15%"
111,TOYB4,004,-1063,231,0574,"0,00%",0847,355,2607,399,3310,"2,20%","3,72%",139,"4,48%","-21,77%","24.136,00","22.858.000,00",075,"20,15%"
112,HRTP3,41500,-1008,062,161822,"0,00%",0550,117,-558,145,-096,"-2.900,58%","-1.605,17%",3232,"-18,44%","-6,11%","34.788.500,00","3.949.240.000,00",000,"0,00%"
113,RSUL4,8200,-985,179,0345,"0,00%",0232,-124,437,-40,1239,"7,88%","-3,50%",61,"5,88%","-18,23%","14.300,00","26.636.000,00",338,"7,67%"
114,CIQU3,650,-934,078,0321,"1,52%",0258,-4415,-987,-501,-2404,"-3,25%","-3,44%",99,"-3,41%","-8,33%","1.950,00","208.535.000,00",175,"4,92%"
115,REDE4,500,-924,180,0257,"0,00%",0160,-295,207,-30,774,"12,44%","-2,60%",84,"8,71%","-19,52%","4.289,86","1.182.600.000,00",560,"25,52%"
116,CALI4,10000,-915,-663,2375,"0,00%",1390,1312,-2115,-325,-2746,"-11,23%","-25,96%",116,"-6,87%","72,43%",000,"-5.614.000,00",-208,"-19,70%"
117,MTIG4,022,-914,167,0920,"0,00%",1084,400,-747,559,-837,"-12,30%","-10,06%",198,"-17,62%","-18,32%","138.206,00","41.076.000,00",035,"2,57%"
118,CIQU4,600,-862,072,0296,"1,82%",0239,-4075,-911,-463,-2328,"-3,25%","-3,44%",99,"-3,41%","-8,33%","27.038,50","208.535.000,00",175,"4,92%"
119,BTTL4,136,-842,-1698,0192,"0,00%",0349,-859,474,-53,1535,"4,04%","-2,24%",90,"8,22%","201,81%","118.944,00","-11.985.000,00",-3964,"14,25%"
120,SEMP3,1686,-812,136,15081,"0,00%",1201,1567,-442,1567,-407,"-340,98%","-185,82%",164,"-30,21%","-16,81%",000,"118.441.000,00",000,"-10,37%"
121,CEED3,250,-803,058,0505,"0,00%",0234,-125,1081,-48,1609,"4,67%","-6,28%",35,"2,38%","-7,19%","9.500,00","1.675.680.000,00",031,"9,03%"
122,CEED4,250,-803,058,0505,"0,00%",0234,-125,1081,-48,1609,"4,67%","-6,28%",35,"2,38%","-7,19%","7.606,00","1.675.680.000,00",031,"9,03%"
123,BDLL3,19000,-797,067,0438,"0,00%",0343,214,3140,-3908,4580,"1,40%","-5,11%",152,"1,18%","-8,42%",000,"452.732.000,00",034,"27,22%"
124,SZPQ4,664,-785,220,0855,"0,00%",0744,262,-2031,-317,-2277,"-4,21%","-10,89%",297,"-3,77%","-28,00%",000,"684.467.000,00",030,"-11,71%"
125,BTTL3,126,-780,-1574,0177,"0,00%",0323,-796,439,-49,1500,"4,04%","-2,24%",90,"8,22%","201,81%","7.066,67","-11.985.000,00",-3964,"14,25%"
126,MEDI3,1155,-752,189,0374,"0,00%",0824,-1002,-911,-331,-661,"-4,11%","-4,98%",79,"-12,30%","-25,13%",000,"426.164.000,00",002,"13,02%"
127,REDE3,400,-739,144,0206,"0,00%",0128,-236,165,-24,733,"12,44%","-2,60%",84,"8,71%","-19,52%","3.003,67","1.182.600.000,00",560,"25,52%"
128,CCIM3,405,-701,067,0444,"6,94%",0157,43,3994,-91,11122,"1,11%","-6,34%",254,"0,42%","-9,53%","237.754,00","685.032.000,00",142,"27,78%"
129,MGEL4,505,-696,039,0116,"6,44%",0096,41,232,-55,832,"4,98%","-0,23%",169,"7,21%","-5,67%","16.797,20","221.856.000,00",235,"4,73%"
130,MRFG3,895,-687,053,0145,"1,27%",0128,92,420,-37,1537,"3,45%","-2,06%",153,"4,14%","-7,72%","43.189.200,00","5.860.470.000,00",204,"60,86%"
131,VAGR3,032,-662,053,1021,"0,00%",0261,3111,-1228,-110,-2249,"-8,31%","-15,42%",103,"-2,31%","-7,95%","11.393.900,00","1.410.140.000,00",048,"23,43%"
132,BIOM4,154,-625,-658,30447,"0,00%",5442,-1646,-633,-345,-630,"-481,19%","-487,23%",43,"-110,59%","105,22%","35.419,20","-4.061.000,00",000,"-54,09%"
133,BEMA3,400,-605,060,0702,"8,88%",0450,135,981,199,787,"7,16%","-11,60%",328,"5,80%","-9,95%","441.239,00","342.319.000,00",010,"0,14%"
134,MWET4,167,-589,1061,0146,"0,00%",0167,3182,360,-25,924,"4,05%","-2,68%",102,"5,28%","-180,27%","48.305,10","3.238.000,00",1946,"5,67%"
135,TCNO3,061,-513,249,1101,"0,00%",0374,0,-1005,0,-1905,"-10,95%","-21,44%",0,"0,00%","-48,53%","28.926,10","23.499.000,00",000,"-21,60%"
136,POSI3,556,-510,085,0237,"4,66%",0283,96,-473,150,-614,"-5,01%","-4,64%",152,"-10,12%","-16,69%","1.562.630,00","573.029.000,00",082,"9,69%"
137,GPCP3,050,-508,089,0315,"0,00%",0220,-439,638,-50,1617,"4,93%","-6,51%",84,"3,90%","-17,42%","2.630.610,00","202.619.000,00",164,"-6,00%"
138,TLCP3,4800,-502,176,0824,"0,00%",0533,-276,-2661,-133,-4386,"-3,10%","-16,40%",61,"-2,52%","-35,04%",000,"262.979.000,00",121,"9,09%"
139,BCAL6,028,-488,-008,4705,"0,00%",11295,-11,-7139,-8,-73680,"-6,59%","-96,50%",0,"-15,96%","1,59%",000,"-261.964.000,00",-072,"-16,81%"
140,CGOS3,2620,-485,189,0509,"0,00%",0167,-83,-25660,-25,-57029,"-0,20%","-10,48%",54,"-0,08%","-39,02%",000,"453.387.000,00",248,"8,97%"
141,VULC3,192,-456,140,0321,"5,40%",0328,181,-794,-170,-2114,"-4,04%","-7,04%",146,"-4,51%","-30,75%","20.689,00","383.322.000,00",245,"19,15%"
142,ESTR3,1200,-439,-112,2056,"0,00%",1132,-119,-2116,-76,-2617,"-9,72%","-46,86%",35,"-7,26%","25,64%",000,"-172.450.000,00",-038,"7,42%"
143,CCHI3,040,-437,-022,19476,"0,00%",1455,-21,-347,-19,-517,"-561,74%","-445,51%",1,"-72,06%","5,02%",000,"-142.101.000,00",-011,"-61,98%"
