,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
1,VNET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","237,89%",000,"689.741.000,00",000,"0,00%"
2,CSTB4,14769,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
3,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
4,CLAN3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,11%",000,"824.889.000,00",000,"8,37%"
5,PMET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","5,92%",000,"-268.394.000,00",000,"-29,45%"
6,MNSA4,047,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
7,NAFG3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"8,57%"
8,PORP4,240,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
9,PMET5,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","5,92%",000,"-268.394.000,00",000,"-29,45%"
10,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
11,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
12,RCTB33,5700,"-2.746,33","-2.492,56",0000,"0,00%",143590,000,"-12.443,50",000,"-12.387,80","0,00%","0,00%",0,"0,00%","90,76%",000,"-25.086.000,00",000,"0,00%"
13,RCTB31,4100,"-1.975,43","-1.792,89",0000,"0,00%",103284,000,"-8.950,56",000,"-8.894,89","0,00%","0,00%",0,"0,00%","90,76%",000,"-25.086.000,00",000,"0,00%"
14,TMAR3,6550,"-1.717,36",156,0525,"5,00%",260,1516,330,-061,832,"15,91%","-1,75%",106,"9,29%","-0,09%","80.776,00","10.020.400.000,00",295,"14,79%"
15,RCTB41,3351,"-1.614,55","-1.465,36",0000,"0,00%",84416,000,"-7.315,44",000,"-7.259,78","0,00%","0,00%",0,"0,00%","90,76%",000,"-25.086.000,00",000,"0,00%"
16,TMAR5,4840,"-1.269,01",115,0388,"7,44%",192,1120,244,-045,746,"15,91%","-1,75%",106,"9,29%","-0,09%","8.503.610,00","10.020.400.000,00",295,"14,79%"
17,TMAR6,4555,"-1.194,29",109,0365,"0,00%",180,1054,230,-042,732,"15,91%","-1,75%",106,"9,29%","-0,09%",000,"10.020.400.000,00",295,"14,79%"
18,RHDS4,100,"-1.054,53",4248,6024,"0,00%",5553,21778,"-1.085,34",-1208,"-1.162,01","-0,56%","-0,79%",107,"-0,60%","-4,03%",000,"188.906.000,00",314,"10,59%"
19,OGXP3,1805,-96542,629,0000,"0,00%",5660,000,-39892,000,-35317,"0,00%","0,00%",0,"0,00%","-0,65%","200.081.000,00","9.269.070.000,00",000,"0,00%"
20,RCTB42,2000,-96362,-87458,0000,"0,00%",50382,000,"-4.366,13",000,"-4.310,46","0,00%","0,00%",0,"0,00%","90,76%",000,"-25.086.000,00",000,"0,00%"
21,ELCA3,2470,-82798,771,1521,"0,00%",679,-1717,1031,-123,1642,"14,76%","3,53%",85,"7,26%","-0,93%",000,"1.031.160.000,00",506,"14,29%"
22,SGEN3,899,-71328,209,-61282,"0,00%",1189,376,-6989,967,-7079,"87,68%","8,59%",239,"-1,76%","-0,29%",000,"104.463.000,00",003,"-66,07%"
23,TEMP3,354,-69494,201,0759,"0,00%",1187,236,3801,311,2838,"2,00%","-0,11%",275,"4,87%","-0,29%","1.055.040,00","287.501.000,00",000,"13,00%"
24,ELCA4,2020,-67714,631,1244,"0,00%",555,-1404,843,-100,1454,"14,76%","3,53%",85,"7,26%","-0,93%",000,"1.031.160.000,00",506,"14,29%"
25,EALT3,5001,-58912,-544,0985,"0,00%",787,2794,1080,-083,1136,"9,12%","-0,17%",107,"8,75%","0,92%",000,"-20.670.000,00",-107,"-4,10%"
26,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
27,REDE4,1395,-46763,436,0859,"0,00%",383,-970,582,-069,1193,"14,76%","3,53%",85,"7,26%","-0,93%","30.207,70","1.031.160.000,00",506,"14,29%"
28,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
29,REDE3,991,-33220,310,0610,"0,00%",272,-689,413,-049,1025,"14,76%","3,53%",85,"7,26%","-0,93%","7.157,64","1.031.160.000,00",506,"14,29%"
30,EALT4,2698,-31783,-294,0532,"0,00%",425,1507,583,-045,639,"9,12%","-0,17%",107,"8,75%","0,92%","70.001,60","-20.670.000,00",-107,"-4,10%"
31,TIBR3,020,-30892,123,1518,"0,27%",943,582,-2199,822,-2263,"-6,90%","-0,49%",188,"-4,68%","-0,40%","20.000,00","378.230.000,00",007,"-1,79%"
32,DUQE3,2851,-24477,087,0815,"0,00%",541,-519,1615,405,2158,"5,04%","-0,33%",56,"3,57%","-0,36%",000,"91.801.000,00",031,"1,59%"
33,ALSC3,1135,-21985,157,12874,"0,44%",829,364,3141,-495,3409,"40,98%","-4,86%",580,"2,67%","-0,71%","2.674.020,00","1.007.360.000,00",015,"0,00%"
34,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
35,DUQE4,2500,-21463,077,0714,"0,00%",475,-455,1416,355,1959,"5,04%","-0,33%",56,"3,57%","-0,36%","25.103,90","91.801.000,00",031,"1,59%"
36,TIBR5,012,-18535,074,0911,"3,50%",566,349,-1319,493,-1384,"-6,90%","-0,49%",188,"-4,68%","-0,40%","153.371,00","378.230.000,00",007,"-1,79%"
37,MTIG3,071,-17202,525,2657,"0,00%",3061,1046,-4027,355,-4351,"-6,60%","-1,54%",188,"-8,79%","-3,05%",68200,"39.226.000,00",044,"-3,31%"
38,TIBR6,011,-16990,068,0835,"0,48%",519,320,-1209,452,-1274,"-6,90%","-0,49%",188,"-4,68%","-0,40%","52.366,70","378.230.000,00",007,"-1,79%"
39,RHDS3,016,-16873,680,0964,"0,00%",888,3484,-17365,-193,-25033,"-0,56%","-0,79%",107,"-0,60%","-4,03%","759.925,00","188.906.000,00",314,"10,59%"
