,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,NAFG3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","5,24%",000,"298.460.000,00",000,"1,82%"
1,CSTB3,15000,000,000,0000,"0,00%",0,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
2,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,0,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
3,MNSA3,042,000,000,0000,"0,00%",0,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
4,CLSC6,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","6,49%",000,"2.173.610.000,00",000,"6,60%"
5,CLAN3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","0,57%",000,"1.022.840.000,00",000,"-55,27%"
6,IVTT3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-0,77%",000,"757.751.000,00",000,"197,33%"
7,PORP4,240,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
8,CSTB4,14769,000,000,0000,"0,00%",0,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
9,MNSA4,047,000,000,0000,"0,00%",0,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
10,DAGB11,24470,000,000,0000,"0,00%",0,000,000,0,000,"9,19%","5,01%",134,"10,21%","12,40%","903.642,00","2.289.100.000,00",142,"27,72%"
11,POPR4,1017,000,000,0000,"0,00%",0,000,000,0,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
12,PMET3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","4,85%",000,"-271.945.000,00",000,"4,58%"
13,VNET3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","95,36%",000,"2.177.190.000,00",000,"12,48%"
14,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
15,QGEP3,1220,-50701,151,8619,"0,00%",1364,356,2012,408,1457,"42,83%","-1,70%",872,"11,25%","-0,30%","7.583.160,00","2.143.880.000,00",000,"37,23%"
16,USIM3,1249,-50596,074,1062,"0,63%",378,196,"1.913,27",-452,"2.499,34","0,06%","0,91%",219,"0,03%","-0,15%","8.770.900,00","17.008.600.000,00",051,"-4,64%"
17,USIM6,1130,-45776,067,0961,"0,77%",342,177,"1.730,98",-409,"2.317,05","0,06%","0,91%",219,"0,03%","-0,15%",38840,"17.008.600.000,00",051,"-4,64%"
18,USIM5,1037,-42008,062,0882,"0,84%",314,162,"1.588,52",-375,"2.174,59","0,06%","0,91%",219,"0,03%","-0,15%","115.053.000,00","17.008.600.000,00",051,"-4,64%"
19,ROMI4,18500,-40116,2135,23995,"0,00%",7555,3343,-20629,-7136,-21869,"-11,63%","-5,86%",172,"-4,04%","-5,32%",000,"647.640.000,00",148,"-1,32%"
