,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,VNET3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","22,47%",000,"14.870.100.000,00",000,"9,09%"
1,CSTB3,15000,000,000,0000,"0,00%",0,0,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
2,CFLU4,"1.000,00",000,000,0000,"0,00%",0,0,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
3,CLSC6,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","9,16%",000,"1.800.860.000,00",000,"4,52%"
4,MNSA4,047,000,000,0000,"0,00%",0,0,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
5,PORP4,240,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
6,IVTT3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
7,CSTB4,14769,000,000,0000,"0,00%",0,0,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
8,GBIO33,831,000,000,0000,"0,00%",0,0,000,000,000,"23,44%","7,73%",203,"19,69%","8,70%","1.921.990,00","729.236.000,00",030,"0,00%"
9,CLAN3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
10,POPR4,1017,000,000,0000,"0,00%",0,0,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
11,PMET3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
12,DAGB33,37500,000,000,0000,"0,00%",0,0,000,000,000,"5,39%","1,67%",117,"4,96%","2,24%",000,"12.597.300.000,00",118,"32,08%"
13,MNSA3,042,000,000,0000,"0,00%",0,0,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
14,CCPR3,1210,"-1.632,40",139,2956,"8,29%",404,1019,645,-111,1247,"45,81%","10,15%",139,"7,02%","-0,08%","114.240,00","1.045.420.000,00",166,"6,69%"
15,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
16,POSI3,230,-43805,040,0103,"0,00%",113,66,279,145,579,"3,71%","-0,02%",128,"7,64%","-0,09%","355.999,00","508.990.000,00",120,"-3,14%"
17,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
18,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
19,RJCP3,001,-22470,065,0000,"0,00%",619,0,-52294,000,-52396,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
20,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
21,PITI4,128,-20474,000,0000,"0,00%",0,0,"-2.637,65",000,"-2.637,65","0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
22,GLOB4,3049,-14781,1564,1466,"0,00%",1874,-2954,3499,-791,3560,"4,19%","-0,99%",91,"12,98%","-10,58%",000,"2.523.000.000,00",174,"6,52%"
23,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
24,MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,641,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
25,BNCA3,7030,-9030,245,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
26,BAHI3,13800,-7672,308,3667,"0,00%",2005,17522,-3016,-3017,-2723,"-12,16%","-5,82%",105,"-8,31%","-4,01%","36.593,80","52.569.000,00",000,"17,19%"
27,CYRE3,1612,-7638,125,2048,"6,95%",656,152,4877,396,5608,"4,20%","0,19%",352,"1,59%","-1,64%","48.738.000,00","5.148.550.000,00",046,"-15,75%"
28,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
29,BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
30,PFRM3,433,-5508,052,0126,"0,00%",185,99,712,637,1252,"1,76%","-0,23%",138,"4,38%","-0,95%","1.100.420,00","1.021.210.000,00",062,"6,14%"
31,PEFX3,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
32,PEFX5,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
33,BTOW3,4200,-4833,543,2960,"0,00%",1474,502,86634,-780,94787,"0,34%","-6,13%",219,"0,37%","-11,24%","108.800.000,00","3.537.110.000,00",194,"-6,25%"
34,CASN3,801,-4804,460,5276,"0,00%",1722,-9075,-9365,-344,-11116,"-5,63%","-10,98%",87,"-1,91%","-9,57%",59562,"1.246.080.000,00",093,"11,16%"
35,BAHI4,8600,-4781,192,2285,"0,00%",1249,10920,-1880,-1880,-1586,"-12,16%","-5,82%",105,"-8,31%","-4,01%",000,"52.569.000,00",000,"17,19%"
36,ITEC3,3000,-4694,1247,820148,"0,00%",5885,1401,-1795,-30529,-1693,"-4.568,64%","-1.747,16%",575,"-49,55%","-26,56%",38269,"26.641.000,00",000,"-74,87%"
37,IMBI3,501,-4642,281,"2.659,020","0,00%",518,-221,-9712,-037,-10472,"-2.737,88%","-13.821,20%",5,"-0,54%","-6,05%",000,"62.544.000,00",022,"-57,16%"
38,CLAN4,300,-4492,047,15151,"0,00%",406,-1550,-8256,-636,-9743,"-18,35%","-33,73%",73,"-0,50%","-1,05%",000,"1.012.240.000,00",008,"-63,96%"
39,EBTP3,1021,-4356,117,0548,"0,00%",353,-50247,642,-073,846,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
40,EBTP4,1000,-4266,114,0537,"0,00%",346,-49213,629,-071,833,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
41,CYRE4,850,-4028,066,1080,"0,00%",346,80,2571,209,3303,"4,20%","0,19%",352,"1,59%","-1,64%",000,"5.148.550.000,00",046,"-15,75%"
42,FBRA4,3458,-3957,166,0457,"0,00%",738,1894,740,-1767,1062,"6,18%","-1,15%",111,"11,94%","-4,20%",000,"213.406.000,00",077,"12,48%"
43,BRTP4,2081,-3919,143,0681,"0,00%",399,523,351,-140,503,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
44,BAHI5,6500,-3614,145,1727,"0,00%",944,8253,-1421,-1421,-1127,"-12,16%","-5,82%",105,"-8,31%","-4,01%",000,"52.569.000,00",000,"17,19%"
45,MAPT3,630,-3290,-107,0000,"0,00%",7490,0,-3834,000,-3834,"0,00%","0,00%",0,"0,00%","3,25%",000,"-5.414.000,00",000,"0,00%"
46,IMBI4,350,-3243,196,"1.857,600","0,00%",362,-154,-6785,-026,-7544,"-2.737,88%","-13.821,20%",5,"-0,54%","-6,05%",000,"62.544.000,00",022,"-57,16%"
47,PRTX3,277,-3227,-14532,297651,"0,00%",1400,-257,-9711,-143,-12899,"-306,50%","-922,47%",5,"-1,50%","450,37%",000,"-18.917.000,00",-4985,"307,96%"
