,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,NAFG3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,00%",000,000,0,"6,51%"
1,PORP4,240,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",0,"13,66%"
2,PMET5,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","7,10%",000,"-260.840.000,00",0,"-21,20%"
3,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",6,"8,14%"
4,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",14,"31,91%"
5,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",82,"30,93%"
6,CSTB4,14769,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",14,"31,91%"
7,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
8,CLAN3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,01%",000,"808.716.000,00",0,"45,85%"
9,PMET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","7,10%",000,"-260.840.000,00",0,"-21,20%"
10,MNSA4,047,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
11,RCTB33,5700,"-2.821,30","-5.843,23",0000,"0,00%",144992,000,"-5.712,44",000,"-5.687,07","0,00%","0,00%",0,"0,00%","207,11%",000,"-10.701.000,00",0,"0,00%"
12,RCTB31,4100,"-2.029,35","-4.203,02",0000,"0,00%",104292,000,"-4.108,95",000,"-4.083,58","0,00%","0,00%",0,"0,00%","207,11%",000,"-10.701.000,00",0,"0,00%"
13,LLXL3,953,"-1.799,87",609,426971,"0,00%",4209,2161,-6249,3407,-5984,"-683,31%","-226,63%",201,"-10,19%","-0,34%","40.613.500,00","1.084.420.000,00",20,"8,76%"
14,RCTB41,3351,"-1.658,63","-3.435,20",0000,"0,00%",85240,000,"-3.358,31",000,"-3.332,94","0,00%","0,00%",0,"0,00%","207,11%",000,"-10.701.000,00",0,"0,00%"
15,RCTB42,2000,-98993,"-2.050,26",0000,"0,00%",50874,000,"-2.004,37",000,"-1.978,99","0,00%","0,00%",0,"0,00%","207,11%",000,"-10.701.000,00",0,"0,00%"
16,TPIS3,646,-79703,120,2435,"0,00%",467,-452,1484,-084,2865,"16,41%","-0,32%",27,"3,23%","-0,15%","267.420,00","736.745.000,00",113,"8,89%"
17,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",1,"10,26%"
18,RHDS4,100,-43557,4327,5994,"0,00%",5329,39937,24172,-1120,25873,"2,48%","-1,93%",104,"2,65%","-9,93%",000,"185.472.000,00",317,"7,80%"
19,SGEN3,450,-42285,105,67935,"0,00%",716,140,12707,210,13037,"53,46%","-16,07%",484,"0,58%","-0,25%",000,"104.353.000,00",3,"-64,71%"
20,SLCE3,1889,-41258,231,3072,"0,57%",1190,508,2695,-8365,3037,"11,40%","-0,74%",199,"5,18%","-0,56%","4.415.760,00","807.039.000,00",51,"78,13%"
21,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%","5.654,50","-377.568.000,00",-35,"6.354,07%"
22,LCSA3,2200,-21161,-14295,49993,"0,00%",78563,-12682,-31711,-6057,-31788,"-15,77%","-23,63%",29,"-28,74%","67,55%","212.409,00","-377.568.000,00",-35,"6.354,07%"
23,LEVE3,5000,-19034,280,0987,"0,00%",1059,382,1098,-1613,1305,"8,99%","-0,74%",202,"11,83%","-1,47%",000,"542.885.000,00",92,"2,70%"
24,SGEN4,180,-16914,042,27174,"0,00%",286,056,5083,084,5413,"53,46%","-16,07%",484,"0,58%","-0,25%","11.273,20","104.353.000,00",3,"-64,71%"
25,CSAB4,3500,-13501,150,0000,"7,86%",595,000,1570,000,1726,"0,00%","0,00%",0,"0,00%","-1,11%","39.777,80","178.760.000,00",0,"11,75%"
26,MAPT3,539,-13173,-755,0000,"0,00%",63255,000,-20134,000,-20134,"0,00%","0,00%",0,"0,00%","5,73%",000,"-6.564.000,00",0,"0,00%"
27,CSAB3,3400,-13115,146,0000,"7,35%",578,000,1525,000,1681,"0,00%","0,00%",0,"0,00%","-1,11%","47.575,00","178.760.000,00",0,"11,75%"
28,SMTO3,1881,-12163,131,2690,"0,86%",620,3698,-7368,-198,-10772,"-3,65%","-2,11%",109,"-0,90%","-1,08%","3.663.260,00","1.624.360.000,00",68,"0,00%"
29,IDNT3,545,-12108,311,0636,"0,00%",1472,857,1993,931,2240,"3,19%","-0,72%",133,"11,28%","-2,57%","3.051.590,00","175.445.000,00",48,"62,62%"
30,KEPL3,054,-10085,421,2944,"0,00%",1696,647,4868,-1035,5453,"6,05%","-2,92%",253,"4,61%","-4,17%","8.525.800,00","167.192.000,00",97,"-6,24%"
31,BRTP3,5350,-10076,367,1750,"0,00%",1025,1346,903,-360,1055,"19,37%","-2,96%",129,"13,41%","-3,64%","299.408,00","5.302.340.000,00",91,"3,66%"
32,HAGA3,329,-10038,-035,1376,"0,00%",1344,-231,1025,-017,2589,"13,42%","-1,37%",55,"20,82%","0,35%","6.021,28","-111.204.000,00",-62,"15,98%"
33,HAGA4,323,-9855,-035,1351,"0,00%",1319,-227,1007,-017,2571,"13,42%","-1,37%",55,"20,82%","0,35%","268.500,00","-111.204.000,00",-62,"15,98%"
34,LEVE4,2515,-9574,141,0496,"4,46%",533,192,552,-811,759,"8,99%","-0,74%",202,"11,83%","-1,47%","82.698,10","542.885.000,00",92,"2,70%"
35,BNCA3,6800,-8735,237,0000,"0,94%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%","498.525,00","3.068.150.000,00",0,"2,41%"
36,JBSS3,1060,-8495,508,0688,"0,05%",1743,1382,3336,-840,3847,"2,06%","-0,82%",139,"6,91%","-5,98%","30.599.900,00","4.942.720.000,00",119,"33,10%"
37,PTBL4,259,-8248,2370,1017,"0,00%",904,-502,1047,-145,1312,"9,71%","-1,23%",65,"10,35%","-28,74%",000,"17.376.000,00",624,"-2,48%"
38,MPXE3,2371,-7945,171,56268,"1,50%",899,1713,-3965,-1654,-3508,"-141,90%","-77,93%",115,"-3,67%","-2,15%","12.200.100,00","1.897.390.000,00",52,"0,00%"
39,TRIS3,675,-7656,114,1150,"0,00%",524,109,3111,313,4670,"3,70%","-1,50%",314,"1,97%","-1,49%","646.450,00","450.510.000,00",83,"0,00%"
40,FIBR3,3681,-6569,195,3318,"0,00%",599,1105,4732,-143,7387,"7,01%","6,66%",130,"1,40%","-2,96%","48.729.100,00","8.843.120.000,00",136,"5,87%"
41,INET3,056,-6494,-246,0000,"0,00%",141982,000,-15200,000,-15200,"0,00%","0,00%",0,"0,00%","3,79%","205.449,00","-20.155.000,00",0,"0,00%"
42,SASG3,098,-6485,146,84676,"0,00%",232,289,228,-103,433,"3.720,21%","-130,57%",118,"10,22%","-2,25%",000,"1.373.510.000,00",133,"-80,72%"
43,RHDS3,014,-6098,606,0839,"0,00%",746,5591,3384,-157,5085,"2,48%","-1,93%",104,"2,65%","-9,93%","18.628,90","185.472.000,00",317,"7,80%"
44,TANC4,4300,-5947,374,0630,"0,00%",508,-1714,1012,-081,1059,"6,22%","-1,04%",89,"5,71%","-6,29%",000,"1.731.180.000,00",88,"17,80%"
45,TAMM4,4070,-5629,354,0596,"0,00%",481,-1622,958,-076,1005,"6,22%","-1,04%",89,"5,71%","-6,29%","36.507.800,00","1.731.180.000,00",88,"17,80%"
46,LUPA3,3139,-5589,674,2326,"0,00%",1021,415,1559,-243,2540,"14,92%","-4,16%",235,"7,44%","-12,06%","8.708.280,00","221.969.000,00",489,"52,55%"
47,TELB4,106,-5247,-10866,0000,"0,00%",2696,000,-10623,000,-8086,"0,00%","0,00%",0,"0,00%","207,11%","9.972.320,00","-10.701.000,00",0,"0,00%"
48,MWET3,2600,-5205,-1192,0852,"0,00%",949,934,2408,-130,3043,"3,54%","-1,64%",141,"4,63%","22,90%","36.400,00","-11.224.000,00",-411,"0,48%"
49,PEFX3,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",31,"4,36%"
50,PEFX5,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",31,"4,36%"
51,TELB3,105,-5197,-10764,0000,"0,00%",2671,000,-10523,000,-7986,"0,00%","0,00%",0,"0,00%","207,11%","320.185,00","-10.701.000,00",0,"0,00%"
52,GOLL4,2681,-4925,348,1183,"0,00%",964,-1398,1267,-202,1455,"9,34%","-2,40%",78,"8,81%","-7,06%","48.190.900,00","2.044.080.000,00",84,"26,25%"
53,PTBL3,154,-4904,1409,0605,"0,00%",538,-299,623,-086,887,"9,71%","-1,23%",65,"10,35%","-28,74%","100.458,00","17.376.000,00",624,"-2,48%"
