,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,PMET3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
1,GBIO33,920,000,000,0000,"0,00%",0000,000,000,000,000,"22,90%","3,69%",210,"20,23%","4,95%","2.455.210,00","611.463.000,00",041,"0,00%"
2,CSTB3,15000,000,000,0000,"0,00%",0000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
3,CLSC6,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","10,39%",000,"1.968.320.000,00",000,"7,17%"
4,CFLU4,"1.000,00",000,000,0000,"0,00%",0000,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
5,MNSA4,047,000,000,0000,"0,00%",0000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
6,VNET3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","24,37%",000,"15.021.500.000,00",000,"11,00%"
7,PORP4,240,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
8,DAGB33,37500,000,000,0000,"0,00%",0000,000,000,000,000,"5,28%","1,46%",120,"4,71%","1,99%","1.058.760,00","12.383.600.000,00",115,"35,27%"
9,CSTB4,14769,000,000,0000,"0,00%",0000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
10,CLAN3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
11,POPR4,1017,000,000,0000,"0,00%",0000,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
12,IVTT3,000,000,000,0000,"0,00%",0000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
13,MNSA3,042,000,000,0000,"0,00%",0000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
14,TECN3,199,"-1.610,59",034,0490,"0,00%",0206,071,-861,235,-1179,"-5,69%","-0,03%",251,"-2,85%","-0,02%","163.046,00","457.224.000,00",025,"-7,65%"
15,WLMM3,503,-95898,048,0314,"0,00%",0382,150,-2824,243,-2207,"-1,11%","-0,04%",331,"-1,58%","-0,05%",56250,"380.322.000,00",001,"-13,64%"
16,WLMM4,499,-95136,048,0312,"0,00%",0379,149,-2801,242,-2184,"-1,11%","-0,04%",331,"-1,58%","-0,05%","10.547,30","380.322.000,00",001,"-13,64%"
17,STBP3,369,-74237,185,2937,"0,08%",0895,2208,-12416,-241,-12270,"-2,37%","-0,40%",138,"-0,81%","-0,25%","3.531.350,00","1.326.470.000,00",016,"-10,09%"
18,STBP11,1440,-57941,145,2293,"0,00%",0698,1724,-9690,-188,-9544,"-2,37%","-0,40%",138,"-0,81%","-0,25%",000,"1.326.470.000,00",016,"-10,09%"
19,PLDN4,48600,-55307,108,0919,"0,00%",0611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
20,RLOG3,1292,-42088,273,0950,"0,00%",0228,691,380,-041,1019,"24,99%","-1,22%",130,"6,13%","-0,65%","7.275.750,00","2.189.090.000,00",464,"42,29%"
21,RAIL3,1669,-34745,339,4129,"0,00%",0991,3024,1650,-179,2289,"25,02%","-1,15%",129,"6,14%","-0,98%","108.428.000,00","7.667.120.000,00",132,"14,40%"
