,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,VNET3,000,000,000,0000,"0,00%",0,0,000,0,000,000,"0,00%","0,00%",0,"0,00%","12,99%",000,"9.257.250.000,00",000,"-2,71%"
1,CFLU4,"1.000,00",000,000,0000,"0,00%",0,0,000,0,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
2,CLAN3,000,000,000,0000,"0,00%",0,0,000,0,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
3,CLSC6,000,000,000,0000,"0,00%",0,0,000,0,000,000,"0,00%","0,00%",0,"0,00%","22,88%",000,"1.551.160.000,00",000,"6,66%"
4,CSTB3,15000,000,000,0000,"0,00%",0,0,000,0,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
5,CSTB4,14769,000,000,0000,"0,00%",0,0,000,0,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
6,IVTT3,000,000,000,0000,"0,00%",0,0,000,0,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
7,MNSA3,042,000,000,0000,"0,00%",0,0,000,0,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
8,MNSA4,047,000,000,0000,"0,00%",0,0,000,0,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
9,PMET3,000,000,000,0000,"0,00%",0,0,000,0,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
10,POPR4,1017,000,000,0000,"0,00%",0,0,000,0,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
