,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
1,IVTT3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
2,CSTB4,14769,000,000,0000,"0,00%",0,000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
3,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
4,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
5,PMET3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
6,MNSA4,047,000,000,0000,"0,00%",0,000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
7,CLAN3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
8,PORP4,240,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
9,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
10,GNDI3,6695,"-3.584,82",584,3423,"2,39%",2378,7965,8705,-621,9113,5088,"3,93%","-0,09%",117,"3,09%","-0,16%",000,"7.116.080.000,00",053,"25,23%"
11,TRAD3,468,"-1.458,08",224,12781,"0,00%",2140,546,-2080,552,-1716,-2219,"-61,44%","-0,83%",1119,"-16,74%","-0,15%","11.072.800,00","589.711.000,00",001,"0,00%"
12,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
13,EMBR3,1495,-51974,077,0542,"0,00%",218,077,667,-145,1098,688,"8,13%","-0,07%",203,"4,42%","-0,15%","77.840.300,00","14.355.700.000,00",115,"8,83%"
14,MGLU3,404,-45580,249,0772,"0,00%",790,349,9708,-780,11461,2574,"0,79%","-0,17%",164,"1,11%","-0,55%","529.883.000,00","10.937.800.000,00",063,"30,05%"
15,MLFT4,2239,-37033,1277,41443,"0,00%",5982,4859,9212,-2363,9602,7116,"44,99%","-15,95%",180,"8,45%","-3,45%",000,"3.240.760.000,00",103,"6,74%"
16,HETA3,9600,-34000,-009,15733,"0,00%",4356,-058,1699,-009,12966,12966,"92,58%","-4,63%",2,"25,64%","0,03%",91429,"-557.049.000,00",-058,"13,52%"
17,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
18,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,1420,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
19,HAPV3,798,-22661,117,3544,"0,12%",792,13513,"337.591,00",-359,"381.302,00",4741,"0,00%","-1,56%",106,"0,00%","-0,51%","329.153.000,00","48.905.400.000,00",024,"46,08%"
20,RJCP3,001,-22470,065,0000,"0,00%",619,000,-52294,000,-52396,-91732,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
21,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
22,PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",000,"-2.637,65",11107,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
23,MAPT3,3700,-19769,-561,0000,"0,00%",43988,"-5.667,17",-23450,-498,-23450,-23450,"0,00%","0,00%",0,"-18,90%","2,84%",000,"-6.059.000,00",000,"0,00%"
24,ELMD3,1230,-18143,234,2944,"0,00%",883,-1163,2187,-224,2886,1354,"13,47%","-1,28%",67,"4,62%","-1,29%","2.112.820,00","735.970.000,00",091,"112,07%"
25,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
26,MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,641,534,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
27,RAIL3,1966,-9944,247,4473,"0,10%",810,851,2196,-176,2832,1287,"20,37%","-4,56%",185,"4,35%","-2,49%","150.051.000,00","14.745.900.000,00",114,"6,42%"
28,LINX3,3740,-9095,438,7885,"1,52%",2745,1196,5317,4706,5149,2297,"14,83%","-8,67%",214,"6,82%","-4,81%",000,"1.619.010.000,00",022,"15,54%"
