,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,MNSA4,047,000,000,0000,"0,00%",0,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
1,CSTB4,14769,000,000,0000,"0,00%",0,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
2,DAGB11,26500,000,000,0000,"0,00%",0,000,000,0,000,"9,19%","5,01%",134,"10,21%","12,40%","2.559.140,00","2.289.100.000,00",142,"27,72%"
3,POPR4,1017,000,000,0000,"0,00%",0,000,000,0,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
4,PMET3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","4,85%",000,"-271.945.000,00",000,"4,58%"
5,VNET3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","106,52%",000,"2.072.460.000,00",000,"13,34%"
6,NAFG3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","5,24%",000,"298.460.000,00",000,"1,82%"
7,MNSA3,042,000,000,0000,"0,00%",0,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
8,CSTB3,15000,000,000,0000,"0,00%",0,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
9,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,0,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
10,CLSC6,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","6,49%",000,"2.173.610.000,00",000,"6,60%"
11,CLAN3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,02%",000,"979.640.000,00",000,"-51,59%"
12,PORP4,240,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
13,IVTT3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-0,77%",000,"757.751.000,00",000,"197,33%"
14,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
15,QGEP3,1275,-52987,158,9008,"0,00%",1426,372,2103,426,1547,"42,83%","-1,70%",872,"11,25%","-0,30%","7.060.830,00","2.143.880.000,00",000,"37,23%"
16,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
17,ROMI4,18500,-27053,2170,24290,"0,00%",7990,3362,-17523,-7699,-18528,"-13,86%","-8,86%",182,"-4,91%","-8,02%",000,"637.418.000,00",138,"-1,06%"
18,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
19,LCAM3,1100,-20138,243,1756,"0,64%",691,518,704,-171,1150,"24,95%","-0,87%",175,"12,02%","-1,21%","1.802.220,00","293.998.000,00",202,"0,00%"
20,BAHI4,8600,-17042,1026,0000,"0,00%",8385,000,-13866,0,-12549,"0,00%","0,00%",0,"0,00%","-6,02%",000,"50.250.000,00",000,"0,00%"
21,MLFT4,172,-16951,103,0326,"6,77%",101,088,232,-23,945,"14,08%","0,16%",167,"5,44%","-0,61%","131.695,00","1.602.010.000,00",480,"20,44%"
22,MLFT3,168,-16557,101,0318,"6,93%",99,085,226,-23,940,"14,08%","0,16%",167,"5,44%","-0,61%",16262,"1.602.010.000,00",480,"20,44%"
23,RHDS4,100,-15579,4578,4346,"0,00%",4965,-6980,15996,-1209,16974,"2,72%","-3,04%",87,"3,43%","-29,38%",000,"175.306.000,00",307,"4,86%"
24,BHGR3,2012,-14603,114,4029,"0,00%",795,-878,2811,-360,3626,"14,33%","-1,96%",45,"2,92%","-0,78%","782.861,00","753.534.000,00",035,"197,33%"
25,BAHI5,6500,-12880,776,0000,"0,00%",6337,000,-10480,0,-9163,"0,00%","0,00%",0,"0,00%","-6,02%",000,"50.250.000,00",000,"0,00%"
26,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
27,AGRO3,913,-9573,095,3416,"0,00%",725,492,-4032,1259,-4235,"-8,47%","-4,23%",198,"-2,12%","-1,00%","754.169,00","558.968.000,00",017,"112,60%"
28,ELEK4,719,-9358,047,1061,"0,15%",346,000,-11157,0,-12512,"-0,95%","-1,13%",0,"0,00%","-0,51%","4.990,81","476.704.000,00",000,"-23,51%"
29,ELEK3,700,-9111,046,1033,"0,15%",337,000,-10862,0,-12217,"-0,95%","-1,13%",0,"0,00%","-0,51%","1.101,21","476.704.000,00",000,"-23,51%"
30,BNCA3,7030,-9030,245,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
31,MGLU3,1150,-8931,356,0300,"0,13%",419,320,487,-277,653,"6,17%","-0,34%",122,"11,89%","-3,99%","5.127.040,00","602.533.000,00",187,"0,00%"
32,BAHI11,4370,-8660,521,0000,"0,00%",4261,000,-7046,0,-5729,"0,00%","0,00%",0,"0,00%","-6,02%",000,"50.250.000,00",000,"0,00%"
33,BDLL3,19000,-8241,072,0646,"3,11%",373,177,-1045,-3128,-1506,"-6,18%","-0,52%",184,"-3,89%","-0,88%",000,"420.055.000,00",037,"5,38%"
34,ITEC3,3499,-8222,078,0249,"2,99%",377,085,-1619,157,-1529,"-1,54%","-0,30%",242,"-3,13%","-0,95%","1.671,00","523.873.000,00",030,"-3,63%"
35,MNPR4,463,-7951,-37468,9085,"0,00%",7037,-13892,-9684,-1110,-9818,"-9,38%","-11,43%",88,"-8,48%","471,23%",000,"-6.267.000,00",-520,"19,11%"
36,HYPE3,1627,-7851,153,3005,"0,00%",772,353,1814,-514,2191,"16,57%","-3,83%",273,"5,34%","-1,95%","57.434.900,00","6.668.290.000,00",066,"27,80%"
37,BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
38,RSIP3,042,-5972,135,0963,"1,36%",514,-2241,17434,-201,31245,"0,55%","-1,61%",94,"0,32%","-2,27%","8.712,07","62.040.000,00",119,"12,09%"
