,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,CLSC6,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","3,64%",000,"2.160.450.000,00",000,"8,34%"
1,IVTT3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","0,51%",000,"1.087.590.000,00",000,"30,79%"
2,PORP4,240,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
3,CSTB4,14769,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
4,DAGB33,40500,000,000,0000,"0,00%",0,000,000,000,000,"8,32%","2,80%",151,"5,20%","3,24%","11.965.800,00","5.886.780.000,00",130,"26,89%"
5,PMET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
6,ALUP3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","8,17%",000,"3.870.870.000,00",000,"6,19%"
7,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
8,NAFG3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","8,55%",000,"284.298.000,00",000,"25,04%"
9,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
10,VNET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","74,46%",000,"4.324.400.000,00",000,"19,61%"
11,LATM11,2865,000,000,0000,"0,00%",0,000,000,000,000,"4,38%","-2,98%",60,"2,86%","-7,89%",000,"11.675.000.000,00",181,"3,84%"
12,ALUP4,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","8,17%",000,"3.870.870.000,00",000,"6,19%"
13,CLAN3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
14,MNSA4,047,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
15,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
16,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
17,ESCE3,17200,"-2.355,83",148,0477,"0,00%",375,-629,1252,-086,1981,"3,81%","-0,02%",84,"3,94%","-0,06%",000,"684.564.000,00",126,"10,79%"
18,LLIS3,709,-95847,1833,3454,"1,61%",2111,1425,1936,-626,2322,"17,84%","-0,36%",137,"18,30%","-1,91%","884.733,00","135.350.000,00",626,"-2,53%"
19,IDVL11,14000,-73961,1865,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,52%",000,"672.099.000,00",000,"7,10%"
