,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,VNET3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","74,46%",000,"4.324.400.000,00",000,"19,61%"
1,LATM11,2865,000,000,0000,"0,00%",0,000,000,0,000,"4,52%","-1,72%",62,"2,79%","-4,84%",000,"11.692.300,00",205,"-96,16%"
2,ALUP4,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","9,35%",000,"3.878.310.000,00",000,"2,75%"
3,MNSA4,047,000,000,0000,"0,00%",0,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
4,CLAN3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
5,CSTB3,15000,000,000,0000,"0,00%",0,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
6,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,0,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
7,CLSC6,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","21,89%",000,"2.343.460.000,00",000,"10,78%"
8,IVTT3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","0,36%",000,"1.093.380.000,00",000,"25,58%"
9,PORP4,240,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
10,CSTB4,14769,000,000,0000,"0,00%",0,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
11,DAGB33,45600,000,000,0000,"0,00%",0,000,000,0,000,"7,67%","1,99%",123,"4,90%","2,04%","12.792.000,00","6.230.690.000,00",125,"25,94%"
12,PMET3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
13,ALUP3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","9,35%",000,"3.878.310.000,00",000,"2,75%"
14,POPR4,1017,000,000,0000,"0,00%",0,000,000,0,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
15,MNSA3,042,000,000,0000,"0,00%",0,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
16,NAFG3,000,000,000,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","5,67%",000,"289.588.000,00",000,"13,33%"
17,IDVL11,14000,"-2.518,57",1854,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-0,74%",000,"675.935.000,00",000,"4,69%"
18,MNPR4,463,"-1.527,58",-1355,17563,"0,00%",16210,-1113,14285,-793,14353,"12,29%","-1,15%",10,"11,71%","0,89%",000,"-242.673.000,00",-007,"11,78%"
19,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
20,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
21,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
22,LIPR3,5140,-20541,429,0000,"0,54%",3938,000,-3249,0,-2945,"0,00%","0,00%",0,"0,00%","-2,09%","4.429,76","140.902.000,00",000,"0,00%"
23,PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",0,"-2.637,65","0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
24,VULC4,1800,-18319,21937,10525,"0,00%",10489,9993,42721,-2772,44896,"2,46%","-5,74%",122,"2,78%","-119,75%",000,"60.796.000,00",1184,"-9,58%"
25,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
26,BNCA3,7030,-9030,245,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
27,HBTS5,860,-8464,016,0693,"10,36%",61,249,592,-11,1103,"11,71%","-0,84%",144,"1,04%","-0,19%","2.792,49","493.450.000,00",015,"1,01%"
28,BAHI4,8600,-8380,000,0000,"0,00%",0,000,-19692,0,-19692,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
29,RNEW11,2745,-8162,116,9627,"0,00%",526,1661,3923,-125,6950,"24,54%","-11,79%",134,"1,53%","-1,42%","262.127,00","2.509.640.000,00",113,"87,77%"
30,CSNA3,562,-7411,137,0484,"9,05%",157,081,255,-28,950,"18,93%","-0,70%",250,"7,74%","-1,85%","27.806.400,00","5.696.470.000,00",525,"2,70%"
31,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
32,AGRO3,888,-6866,086,2698,"0,00%",640,1199,-2033,-2876,-2359,"-13,27%","-3,93%",129,"-3,60%","-1,26%","156.247,00","599.919.000,00",021,"42,72%"
33,BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
34,GOLL4,811,-6432,22206,4169,"0,00%",4020,-4276,10045,-620,10914,"4,15%","-5,02%",77,"5,55%","-345,26%","16.222.000,00","188.973.000,00",3212,"10,11%"
35,BAHI5,6500,-6333,000,0000,"0,00%",0,000,-14884,0,-14884,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
36,SUZB5,1479,-6265,159,2255,"0,78%",583,463,1348,-146,2177,"16,73%","-3,60%",215,"5,13%","-2,54%","81.918.100,00","10.315.100.000,00",133,"11,76%"
37,IDVL3,330,-5937,044,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-0,74%",000,"675.935.000,00",000,"4,69%"
38,SUZA4,1390,-5637,064,0347,"0,00%",84,065,229,-21,1182,"15,17%","-1,55%",233,"4,29%","-1,14%",000,"3.662.400.000,00",358,"10,88%"
39,PEFX3,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
40,PEFX5,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
41,UCAS3,180,-4940,062,0488,"8,41%",441,306,-696,363,-533,"-7,02%","-0,99%",155,"-7,18%","-1,25%","323.136,00","192.889.000,00",000,"-6,31%"
42,CLAN4,300,-4492,047,15151,"0,00%",406,-1550,-8256,-636,-9743,"-18,35%","-33,73%",73,"-0,50%","-1,05%",000,"1.012.240.000,00",008,"-63,96%"
43,IDVL4,248,-4461,033,0000,"0,00%",0,000,000,0,000,"0,00%","0,00%",0,"0,00%","-0,74%","42.287,40","675.935.000,00",000,"4,69%"
44,EBTP3,1021,-4356,117,0548,"0,00%",353,-50247,642,-73,846,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
45,EBTP4,1000,-4266,114,0537,"0,00%",346,-49213,629,-71,833,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
46,BAHI11,4370,-4258,000,0000,"0,00%",0,000,-10006,0,-10006,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"0,00%"
47,FBRA4,3458,-3957,166,0457,"0,00%",738,1894,740,-1767,1062,"6,18%","-1,15%",111,"11,94%","-4,20%",000,"213.406.000,00",077,"12,48%"
48,BRTP4,2081,-3919,143,0681,"0,00%",399,523,351,-140,503,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
49,TGMA3,1356,-3898,247,0622,"1,90%",849,200,658,-1263,865,"9,45%","-1,59%",357,"17,56%","-6,34%","1.484.680,00","362.097.000,00",141,"5,97%"
50,ELPL5,3050,-3874,199,0483,"0,00%",440,66055,92296,-90,"1.314,06","0,05%","-1,25%",100,"0,06%","-5,13%",000,"2.567.810.000,00",120,"0,83%"
51,CPRE3,1290,-3847,153,5204,"0,00%",558,4439,1742,-106,3033,"29,88%","-13,41%",114,"3,49%","-3,99%","98.624,10","4.230.500.000,00",134,"105,72%"
