,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,CSTB4,14769,000,000,0000,"0,00%",0000,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
1,POPR4,1017,000,000,0000,"0,00%",0000,000,000,0,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
2,IVTT3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","0,72%",000,"646.318.000,00",000,"401,74%"
3,MNSA3,042,000,000,0000,"0,00%",0000,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
4,PMET3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","2,35%",000,"-255.407.000,00",000,"-21,31%"
5,DAGB11,19987,000,000,0000,"0,00%",0000,000,000,0,000,"8,89%","6,06%",131,"9.229,09%","14.316,10%","1.050.920,00","1.444.920,00",094,"-20,08%"
6,NAFG3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","5,96%",000,"317.308.000,00",000,"8,99%"
7,MNSA4,047,000,000,0000,"0,00%",0000,000,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
8,CSTB3,15000,000,000,0000,"0,00%",0000,000,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
9,CFLU4,"1.000,00",000,000,0000,"0,00%",0000,000,000,0,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
10,VNET3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","201,18%",000,"901.590.000,00",000,"11,35%"
11,CLAN3,000,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","-0,12%",000,"1.018.500.000,00",000,"39,12%"
12,PORP4,240,000,000,0000,"0,00%",0000,000,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
13,CTNM3,441,"-17.742,60",034,0206,"0,13%",0154,057,816,133,1499,"2,53%","0,39%",230,"2,14%","-0,00%","2.186,75","1.497.360.000,00",040,"-10,52%"
14,CTNM4,430,"-17.300,10",034,0201,"0,14%",0150,056,795,130,1479,"2,53%","0,39%",230,"2,14%","-0,00%","116.542,00","1.497.360.000,00",040,"-10,52%"
