,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
1,PMET3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
2,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
3,PORP4,240,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
4,CSTB4,14769,000,000,0000,"0,00%",0,000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
5,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
6,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
7,IVTT3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
8,CLAN3,000,000,000,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
9,MNSA4,047,000,000,0000,"0,00%",0,000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
10,GNDI3,6695,"-3.584,82",584,3423,"2,39%",2378,7965,8705,-621,9113,5088,"3,93%","-0,09%",117,"3,09%","-0,16%",000,"7.116.080.000,00",053,"25,23%"
11,PRNR3,1170,"-1.679,79",200,0451,"0,00%",629,378,490,-399,683,500,"9,20%","3,22%",149,"15,44%","-0,12%","2.271.780,00","227.184.000,00",120,"36,30%"
12,ATOM3,210,-61717,273,2131,"15,26%",1778,193,-1704,283,-1003,-1078,"-12,50%","-0,35%",1709,"-40,57%","-0,44%","23.895,80","18.297.000,00",000,"20,53%"
13,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
14,LVTC3,398,-48742,040,0268,"0,34%",185,066,121,-196,075,039,"22,13%","-0,06%",275,"17,37%","-0,08%","112.064,00","644.883.000,00",000,"-10,31%"
15,GUAR4,15100,-46597,1512,8708,"0,00%",5467,2257,35743,-74830,36557,9292,"2,44%","-1,87%",162,"1,94%","-3,24%",000,"4.986.780.000,00",075,"5,42%"
16,EMBR3,2244,-40684,130,0619,"0,00%",319,143,749,-193,1038,679,"8,27%","-0,26%",165,"5,60%","-0,32%","153.140.000,00","12.757.400.000,00",112,"21,60%"
17,LWSA3,534,-35991,109,2550,"0,98%",709,543,4623,978,3119,1164,"5,52%","-0,71%",145,"2,05%","-0,30%","63.161.500,00","2.921.510.000,00",002,"41,70%"
18,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
19,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,1420,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
20,DMMO3,176,-25865,-172,2854,"0,00%",3346,1190,637,-137,590,542,"44,81%","-1,10%",225,"70,39%","0,66%",000,"-553.275.000,00",000,"-17,37%"
21,MAPT3,3750,-23605,-554,0000,"0,00%",44583,"-34.462,50",-24616,-493,-24616,-24616,"0,00%","0,00%",0,"-18,11%","2,35%",42714,"-6.223.000,00",000,"0,00%"
22,RJCP3,001,-22470,065,0000,"0,00%",619,000,-52294,000,-52396,-91732,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
23,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
24,PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",000,"-2.637,65",11107,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
25,RRRP3,2690,-17580,125,1534,"0,00%",335,11218,721,-056,1585,1008,"21,28%","-1,52%",102,"5,03%","-0,71%","184.872.000,00","5.185.410.000,00",165,"153,80%"
26,BAUH4,8088,-14887,427,1937,"1,50%",2584,3000,4540,4255,4303,2702,"4,27%","-1,30%",123,"9,17%","-2,87%","11.125,60","98.833.000,00",008,"4,28%"
27,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
28,MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,641,534,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
29,SQIA3,2737,-11033,370,3592,"0,20%",1490,2587,6233,-384,6732,1850,"5,76%","-2,88%",143,"2,81%","-3,35%",000,"650.717.000,00",065,"46,32%"
30,LINX3,3740,-9095,438,7885,"1,52%",2745,1196,5317,4706,5149,2297,"14,83%","-8,67%",214,"6,82%","-4,81%",000,"1.619.010.000,00",022,"15,54%"
31,BNCA3,7030,-9030,245,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
32,CBEE3,1200,-8591,057,0392,"0,00%",173,-079,251,-034,679,432,"15,64%","-0,46%",46,"7,62%","-0,66%",38657,"5.368.910.000,00",104,"9,51%"
33,MOVI3,916,-7423,110,0314,"1,32%",153,399,149,-024,674,395,"21,06%","-0,42%",121,"12,65%","-1,48%","51.512.400,00","3.027.690.000,00",452,"34,47%"
34,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,5013,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
35,CSAN3,1795,-7280,182,0828,"2,39%",244,312,487,-054,1171,790,"16,98%","6,43%",162,"5,79%","-2,50%","117.116.000,00","18.481.500.000,00",337,"39,10%"
36,BRTP3,3571,-6726,245,1168,"0,00%",684,898,603,-240,755,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
37,IDVL11,14000,-6600,6056,0000,"0,00%",0,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-91,76%",000,"237.683.000,00",000,"0,00%"
38,MAPT4,998,-6282,-147,0000,"0,00%",11865,"-9.171,62",-6551,-131,-6551,-6551,"0,00%","0,00%",0,"-18,11%","2,35%","12.161,00","-6.223.000,00",000,"0,00%"
39,SCLO3,1410,-5504,-8394,0000,"0,00%",725908,-7691,-9603,-7623,-9622,-9622,"0,00%","0,00%",1,"-782,59%","152,53%",000,"-161.253,00",-017,"0,00%"
40,OFSA3,2308,-5331,186,1264,"2,05%",981,257,968,604,1034,812,"13,06%","-2,37%",251,"13,82%","-3,49%","272.142,00","669.547.000,00",053,"14,27%"
41,DOHL3,651,-5279,070,0807,"0,00%",495,111,-3192,191,-3536,21799,"-2,53%","-1,53%",515,"-1,74%","-1,33%",4776,"699.312.000,00",018,"7,38%"
42,PEFX3,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,000,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
43,PEFX5,1900,-5204,168,0477,"0,00%",597,2034,575,-318,659,000,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
44,MTIG4,2300,-4952,-35915,56001,"0,00%",36906,-5093,-9431,-4400,-9557,-10460,"-59,38%","-113,09%",27,"-47,80%","725,28%",000,"-7.835.380,00",-495,"-26,54%"
45,TOYB4,250,-4796,-543,5256,"0,00%",4405,-647,-904,-383,-915,-967,"-58,16%","-10,96%",49,"-59,36%","11,31%",000,"-13.852.000,00",-007,"-26,99%"
46,MYPK4,3179,-4749,127,0313,"0,00%",324,166,718,-173,1278,750,"4,36%","-0,03%",158,"6,85%","-2,68%",000,"3.834.280.000,00",179,"16,94%"
47,IMBI3,501,-4642,281,"2.659,020","0,00%",518,-221,-9712,-037,-10472,-10745,"-2.737,88%","-13.821,20%",5,"-0,54%","-6,05%",000,"62.544.000,00",022,"-57,16%"
48,CLAN4,300,-4492,047,15151,"0,00%",406,-1550,-8256,-636,-9743,2268,"-18,35%","-33,73%",73,"-0,50%","-1,05%",000,"1.012.240.000,00",008,"-63,96%"
49,TOYB3,229,-4394,-497,4815,"0,00%",4035,-593,-828,-350,-839,-887,"-58,16%","-10,96%",49,"-59,36%","11,31%",000,"-13.852.000,00",-007,"-26,99%"
50,USIM6,1628,-4380,087,0715,"2,02%",507,152,1581,428,1608,903,"4,52%","-0,61%",343,"4,04%","-1,99%",40560,"23.446.300.000,00",026,"24,25%"
51,EBTP3,1021,-4356,117,0548,"0,00%",353,-50247,642,-073,846,285,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
52,EBTP4,1000,-4266,114,0537,"0,00%",346,-49213,629,-071,833,281,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
53,DOHL4,507,-4111,055,0628,"0,00%",386,086,-2486,149,-2830,17447,"-2,53%","-1,53%",515,"-1,74%","-1,33%","9.038,90","699.312.000,00",018,"7,38%"
54,FBRA4,3458,-3957,166,0457,"0,00%",738,1894,740,-443,1062,1062,"6,18%","-1,15%",111,"11,94%","-4,20%",000,"213.406.000,00",077,"12,48%"
55,MNPR3,2245,-3952,-049,0421,"0,00%",478,-043,241,-034,241,209,"17,47%","-1,06%",34,"21,00%","1,25%","54.301,70","-322.426.000,00",000,"16,20%"
56,BRTP4,2081,-3919,143,0681,"0,00%",399,523,351,-140,503,503,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
57,KROT11,4000,-3586,089,1887,"0,00%",425,1384,834,-139,1307,859,"22,62%","-5,52%",121,"5,64%","-2,47%",000,"12.083.300.000,00",061,"-6,35%"
