,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,DAGB33,46900,000,000,0000,"0,00%",0,000,000,000,000,"5,18%","-0,05%",105,"2,40%","-1,07%","9.137.400,00","12.208.400.000,00",146,"41,11%"
1,PMET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
2,ALUP3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","8,35%",000,"4.030.330.000,00",000,"3,17%"
3,POPR4,1017,000,000,0000,"0,00%",0,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
4,MNSA3,042,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
5,VNET3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","35,39%",000,"9.783.080.000,00",000,"25,14%"
6,LATM11,2865,000,000,0000,"0,00%",0,000,000,000,000,"7,80%","-1,65%",61,"4,55%","-5,18%",000,"11.668.900.000,00",235,"5,26%"
7,ALUP4,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","8,35%",000,"4.030.330.000,00",000,"3,17%"
8,CLAN3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
9,MNSA4,047,000,000,0000,"0,00%",0,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
10,CFLU4,"1.000,00",000,000,0000,"0,00%",0,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
11,CSTB3,15000,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
12,CLSC6,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","25,26%",000,"2.405.510.000,00",000,"13,35%"
13,IVTT3,000,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
14,PORP4,240,000,000,0000,"0,00%",0,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
15,CSTB4,14769,000,000,0000,"0,00%",0,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
16,DASA3,855,"-1.360,86",096,0976,"0,74%",552,404,1623,-482,2122,"6,01%","-0,06%",180,"3,95%","-0,07%","155.937,00","2.790.480.000,00",049,"8,20%"
17,ROMI4,18500,"-1.207,54",1939,21819,"0,00%",10065,3278,-46828,13752,-47957,"-4,66%","-1,75%",225,"-2,41%","-1,61%",000,"656.184.000,00",061,"-1,42%"
18,LLIS3,289,-69301,058,0909,"3,96%",316,3362,465,-165,866,"19,56%","-0,13%",104,"7,63%","-0,08%","663.124,00","1.753.700.000,00",062,"22,68%"
19,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
20,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
21,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
22,SGAS3,979,-25338,080,0611,"12,97%",633,238,-5243,338,-3774,"-1,17%","-0,08%",302,"-1,50%","-0,32%","1.029,52","443.965.000,00",000,"-7,41%"
23,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
24,SGAS4,800,-20705,066,0500,"17,46%",517,194,-4285,276,-2815,"-1,17%","-0,08%",302,"-1,50%","-0,32%",41071,"443.965.000,00",000,"-7,41%"
25,PITI4,128,-20474,000,0000,"0,00%",0,000,"-2.637,65",000,"-2.637,65","0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
26,AMAR3,686,-16152,124,0428,"0,87%",461,114,414,921,629,"10,33%","-0,26%",250,"15,51%","-0,77%","463.235,00","1.129.520.000,00",122,"7,99%"
