,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,VNET3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","31,90%",000,"9.040.130.000,00",000,"4,37%"
1,GBIO33,770,000,000,0000,"0,00%",0,0,000,000,000,"23,44%","7,73%",203,"19,69%","8,70%","1.583.960,00","729.236.000,00",030,"0,00%"
2,CSTB3,15000,000,000,0000,"0,00%",0,0,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
3,CFLU4,"1.000,00",000,000,0000,"0,00%",0,0,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
4,MNSA4,047,000,000,0000,"0,00%",0,0,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
5,CLSC6,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","9,16%",000,"1.800.860.000,00",000,"4,52%"
6,PORP4,240,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
7,CSTB4,14769,000,000,0000,"0,00%",0,0,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
8,DAGB33,37500,000,000,0000,"0,00%",0,0,000,000,000,"5,39%","1,67%",117,"4,96%","2,24%",000,"12.597.300.000,00",118,"32,08%"
9,IVTT3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
10,POPR4,1017,000,000,0000,"0,00%",0,0,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
11,CLAN3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
12,PMET3,000,000,000,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
13,MNSA3,042,000,000,0000,"0,00%",0,0,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
14,PLDN4,48600,-55307,108,0919,"0,00%",611,107,-7556,310,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
15,POSI3,231,-43995,040,0104,"0,00%",113,66,280,146,580,"3,71%","-0,02%",128,"7,64%","-0,09%","273.395,00","508.990.000,00",120,"-3,14%"
16,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
17,BHGR3,1910,-27216,110,3613,"0,00%",855,-19445,2370,-856,2595,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
18,RJCP3,001,-22470,065,0000,"0,00%",619,0,-52294,000,-52396,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
19,CCPR3,1240,-22074,142,2982,"8,09%",422,2119,633,-113,1199,"47,11%","9,28%",120,"7,38%","-0,64%","60.956,60","1.048.620.000,00",159,"7,58%"
20,ABYA3,491,-21480,176,2055,"0,00%",527,198,1996,-275,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
21,PITI4,128,-20474,000,0000,"0,00%",0,0,"-2.637,65",000,"-2.637,65","0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
22,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
23,MAGG3,5940,-11998,132,0684,"0,00%",440,932,407,-155,641,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
24,CASN3,2000,-11996,1148,13175,"0,00%",4299,-22659,-23383,-859,-25134,"-5,63%","-10,98%",87,"-1,91%","-9,57%",63073,"1.246.080.000,00",093,"11,16%"
25,GLOB4,3049,-10198,2016,1482,"0,00%",1747,-1274,3273,-417,3523,"4,53%","-1,45%",78,"8,21%","-19,77%",000,"1.958.000.000,00",221,"6,99%"
26,BNCA3,7030,-9030,245,0000,"0,00%",0,0,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
27,ITEC3,5739,-8980,2385,"1.568,940","0,00%",11259,2680,-3434,-58403,-3332,"-4.568,64%","-1.747,16%",575,"-49,55%","-26,56%","2.825,60","26.641.000,00",000,"-74,87%"
28,CYRE3,1778,-8425,138,2259,"6,30%",723,168,5379,437,6111,"4,20%","0,19%",352,"1,59%","-1,64%","47.426.900,00","5.148.550.000,00",046,"-15,75%"
29,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
30,BAHI3,12300,-6838,274,3268,"0,00%",1787,15618,-2688,-2689,-2395,"-12,16%","-5,82%",105,"-8,31%","-4,01%","15.440,10","52.569.000,00",000,"17,19%"
