,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,CFLU4,"1.000,00",000,000,0000,"0,00%",0000,0,000,0,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
1,CSTB3,15000,000,000,0000,"0,00%",0000,0,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
2,DAGB11,27700,000,000,0000,"0,00%",0000,0,000,0,000,"9,17%","4,44%",177,"9,96%","8,32%","6.012.440,00","2.695.700.000,00",113,"22,31%"
3,ALUP3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","6,88%",000,"3.211.370.000,00",000,"21,42%"
4,CLSC6,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-32,79%",000,"1.596.610.000,00",000,"7,33%"
5,PORP4,240,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
6,MNSA3,042,000,000,0000,"0,00%",0000,0,000,0,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
7,CSTB4,14769,000,000,0000,"0,00%",0000,0,000,0,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
8,VNET3,000,000,000,0000,"0,00%",0000,0,000,0,000,"0,00%","0,00%",0,"0,00%","97,69%",000,"2.445.500.000,00",000,"16,40%"
9,LATM11,3410,000,000,0000,"0,00%",0000,0,000,0,000,"3,49%","-0,08%",57,"2,20%","-0,41%","549.832,00","10.736.100.000,00",184,"0,00%"
