,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
0,CFLU4,"1.000,00",000,000,0000,"0,00%",0000,000,000,000,000,000,"8,88%","10,72%",110,"17,68%","32,15%",000,"60.351.000,00",006,"8,14%"
1,VNET3,000,000,000,0000,"0,00%",0000,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","10,51%",000,"15.064.900.000,00",000,"-0,11%"
2,CSTB3,15000,000,000,0000,"0,00%",0000,000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
3,MNSA4,047,000,000,0000,"0,00%",0000,000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
4,PORP4,240,000,000,0000,"0,00%",0000,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,08%",000,"22.399.000,00",000,"13,66%"
5,EQPA6,000,000,000,0000,"0,00%",0000,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","16,78%",000,"3.280.990.000,00",000,"6,32%"
6,CLAN3,000,000,000,0000,"0,00%",0000,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-1,05%",000,"1.012.240.000,00",000,"-63,96%"
7,CLSC6,000,000,000,0000,"0,00%",0000,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","9,92%",000,"2.025.410.000,00",000,"3,63%"
8,CSTB4,14769,000,000,0000,"0,00%",0000,000,000,000,000,000,"40,85%","28,98%",260,"22,40%","20,11%",000,"8.420.670.000,00",014,"31,91%"
9,IVTT3,000,000,000,0000,"0,00%",0000,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-0,40%",000,"1.083.050.000,00",000,"20,67%"
10,MNSA3,042,000,000,0000,"0,00%",0000,000,000,000,000,000,"-208,15%","-362,66%",363,"-13,50%","145,70%",000,"-9.105.000,00",-652,"-41,11%"
11,POPR4,1017,000,000,0000,"0,00%",0000,000,000,000,000,000,"8,66%","5,65%",108,"15,25%","19,93%",000,"545.803.000,00",082,"30,93%"
12,PMET3,000,000,000,0000,"0,00%",0000,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","4,10%",000,"-290.863.000,00",000,"37,74%"
13,EVEN3,1434,-84467,187,1730,"0,00%",0654,116,3172,343,3755,3499,"5,45%","1,05%",342,"2,54%","-0,22%","32.888.100,00","1.668.040.000,00",083,"-6,20%"
14,CASN3,1800,-67710,974,11701,"0,00%",3648,5064,21658,-783,23424,9364,"5,40%","-1,73%",182,"1,83%","-1,44%",000,"1.321.250.000,00",098,"6,09%"
15,PLDN4,48600,-55307,108,0919,"0,00%",0611,107,-7556,310,-3312,-3312,"-1,22%","-0,17%",1081,"-1,27%","-0,20%",000,"289.939.000,00",001,"10,26%"
16,SQIA3,2251,-43014,369,9524,"0,04%",2569,454,13703,756,11059,5457,"6,95%","-2,21%",838,"4,72%","-0,86%","27.516.000,00","430.818.000,00",014,"24,08%"
17,MAPT3,6500,-37103,-1076,0000,"0,00%",77277,000,-45599,000,-45599,-45599,"0,00%","0,00%",0,"0,00%","2,90%",000,"-5.552.000,00",000,"0,00%"
18,LCSA4,3509,-33752,-22800,79738,"0,00%",125308,-20227,-50580,-9661,-50656,-50656,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
19,BHGR3,1910,-27216,110,3613,"0,00%",0855,-19445,2370,-856,2595,1420,"15,24%","-1,31%",96,"3,93%","-0,40%",000,"1.077.600.000,00",020,"20,67%"
20,RJCP3,001,-22470,065,0000,"0,00%",0619,000,-52294,000,-52396,-91732,"0,00%","0,00%",0,"0,00%","-0,29%",000,"17.287.200,00",000,"0,00%"
21,ABYA3,491,-21480,176,2055,"0,00%",0527,198,1996,-275,3367,3367,"10,29%","-0,96%",209,"2,78%","-0,82%",000,"292.060.000,00",131,"16,41%"
22,MAPT4,3649,-20829,-604,0000,"0,00%",43382,000,-25599,000,-25599,-25599,"0,00%","0,00%",0,"0,00%","2,90%","6.027,29","-5.552.000,00",000,"0,00%"
23,PITI4,128,-20474,000,0000,"0,00%",0000,000,"-2.637,65",000,"-2.637,65",11107,"0,00%","0,00%",0,"0,00%","0,00%",000,000,000,"-29,63%"
24,ARTR3,1001,-15579,090,1489,"0,00%",0376,-814,1052,-072,2322,853,"14,16%","-0,96%",55,"3,75%","-0,58%",000,"6.421.140.000,00",117,"-0,31%"
25,PFRM3,576,-13813,072,0152,"0,00%",0226,155,476,-494,786,513,"3,20%","-0,11%",129,"7,61%","-0,52%","4.702.200,00","984.289.000,00",072,"6,70%"
26,MILS3,857,-12747,194,7672,"0,00%",1563,2226,-2813,"-13.925,00",-2869,2901,"-27,27%","-6,02%",156,"-6,17%","-1,52%","13.580.600,00","1.111.300.000,00",014,"-18,38%"
27,LCSA3,1250,-12023,-8122,28405,"0,00%",44638,-7205,-18018,-3441,-18095,-18095,"-15,77%","-23,63%",29,"-28,74%","67,55%",000,"-377.568.000,00",-035,"6.354,07%"
28,MAGG3,5940,-11998,132,0684,"0,00%",0440,932,407,-155,641,534,"16,82%","-0,57%",114,"14,05%","-1,10%",000,"2.246.130.000,00",103,"9,27%"
29,BTOW3,6215,-10218,567,4805,"0,00%",2025,706,21121,-3652,21088,4798,"2,27%","-4,70%",195,"2,26%","-5,55%","151.289.000,00","5.734.430.000,00",112,"-8,19%"
30,BNCA3,7030,-9030,245,0000,"0,00%",0000,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","-2,72%",000,"3.068.150.000,00",000,"2,41%"
31,GOLL4,2560,-7760,-119,0656,"0,00%",0595,-167,502,-052,822,421,"13,08%","1,29%",48,"15,89%","1,53%","150.317.000,00","-7.676.670.000,00",-110,"8,80%"
32,AMIL3,3220,-7328,770,1129,"0,00%",2003,-1695,13658,-543,13861,5013,"0,83%","-1,53%",75,"2,22%","-10,51%",000,"1.532.980.000,00",124,"28,47%"
33,BRTP3,3571,-6726,245,1168,"0,00%",0684,898,603,-240,755,755,"19,37%","-2,96%",129,"13,41%","-3,64%",000,"5.302.340.000,00",091,"3,66%"
34,LPSB3,748,-5909,2644,7857,"0,00%",4328,-20289,-31862,-696,-31641,6382,"-2,47%","-15,99%",91,"-1,51%","-44,75%","9.300.710,00","41.738.000,00",029,"-14,54%"
35,PEFX3,1900,-5204,168,0477,"0,00%",0597,2034,575,-318,659,000,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
36,PEFX5,1900,-5204,168,0477,"0,00%",0597,2034,575,-318,659,000,"8,30%","-0,92%",107,"11,77%","-3,24%",000,"396.955.000,00",031,"4,36%"
37,RDNI3,1287,-4940,092,2181,"0,00%",0426,169,-3924,-350,-5713,-8946,"-5,56%","-5,23%",259,"-1,23%","-1,86%","937.587,00","611.714.000,00",064,"-21,15%"
38,TOYB4,250,-4796,-543,5256,"0,00%",4405,-647,-904,-383,-915,-967,"-58,16%","-10,96%",49,"-59,36%","11,31%",000,"-13.852.000,00",-007,"-26,99%"
39,ECOR3,1578,-4754,1936,2230,"0,00%",0764,-524,733,-101,1287,874,"30,43%","-4,69%",58,"12,76%","-40,73%","57.467.400,00","455.351.000,00",1906,"7,60%"
40,IMBI3,501,-4642,281,"2.659,020","0,00%",0518,-221,-9712,-037,-10472,-10745,"-2.737,88%","-13.821,20%",5,"-0,54%","-6,05%",000,"62.544.000,00",022,"-57,16%"
41,GLOB4,3049,-4620,2689,1554,"0,00%",1818,-997,3456,-414,3822,2397,"4,50%","-3,36%",73,"7,72%","-58,21%",000,"1.474.000.000,00",380,"8,70%"
42,CLAN4,300,-4492,047,15151,"0,00%",0406,-1550,-8256,-636,-9743,2268,"-18,35%","-33,73%",73,"-0,50%","-1,05%",000,"1.012.240.000,00",008,"-63,96%"
43,TOYB3,229,-4394,-497,4815,"0,00%",4035,-593,-828,-350,-839,-887,"-58,16%","-10,96%",49,"-59,36%","11,31%",000,"-13.852.000,00",-007,"-26,99%"
44,EBTP3,1021,-4356,117,0548,"0,00%",0353,-50247,642,-073,846,285,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
45,EBTP4,1000,-4266,114,0537,"0,00%",0346,-49213,629,-071,833,281,"8,53%","-1,03%",99,"6,03%","-2,68%",000,"10.782.200.000,00",039,"22,10%"
