Date,IPCA,SELIC,CDI
2013-12-01,0.92,0.79,0.78
2014-01-01,0.55,0.85,0.84
2014-02-01,0.69,0.79,0.78
2014-03-01,0.92,0.77,0.76
2014-04-01,0.67,0.82,0.82
2014-05-01,0.46,0.87,0.86
2014-06-01,0.4,0.82,0.82
2014-07-01,0.01,0.95,0.94
2014-08-01,0.25,0.87,0.86
2014-09-01,0.57,0.91,0.9
2014-10-01,0.42,0.95,0.94
2014-11-01,0.51,0.84,0.84
2014-12-01,0.78,0.96,0.96
2015-01-01,1.24,0.94,0.93
2015-02-01,1.22,0.82,0.82
2015-03-01,1.32,1.04,1.04
2015-04-01,0.71,0.95,0.95
2015-05-01,0.74,0.99,0.98
2015-06-01,0.79,1.07,1.07
2015-07-01,0.62,1.18,1.18
2015-08-01,0.22,1.11,1.11
2015-09-01,0.54,1.11,1.11
2015-10-01,0.82,1.11,1.11
2015-11-01,1.01,1.06,1.06
2015-12-01,0.96,1.16,1.16
2016-01-01,1.27,1.06,1.05
2016-02-01,0.9,1.0,1.0
2016-03-01,0.43,1.16,1.16
2016-04-01,0.61,1.06,1.05
2016-05-01,0.78,1.11,1.11
2016-06-01,0.35,1.16,1.16
2016-07-01,0.52,1.11,1.11
2016-08-01,0.44,1.22,1.21
2016-09-01,0.08,1.11,1.11
2016-10-01,0.26,1.05,1.05
2016-11-01,0.18,1.04,1.04
2016-12-01,0.3,1.12,1.12
2017-01-01,0.38,1.09,1.08
2017-02-01,0.33,0.87,0.86
2017-03-01,0.25,1.05,1.05
2017-04-01,0.14,0.79,0.79
2017-05-01,0.31,0.93,0.93
2017-06-01,-0.23,0.81,0.81
2017-07-01,0.24,0.8,0.8
2017-08-01,0.19,0.8,0.8
2017-09-01,0.16,0.64,0.64
2017-10-01,0.42,0.64,0.64
2017-11-01,0.28,0.57,0.57
2017-12-01,0.44,0.54,0.54
2018-01-01,0.29,0.58,0.58
2018-02-01,0.32,0.47,0.46
2018-03-01,0.09,0.53,0.53
2018-04-01,0.22,0.52,0.52
2018-05-01,0.4,0.52,0.52
2018-06-01,1.26,0.52,0.52
2018-07-01,0.33,0.54,0.54
2018-08-01,-0.09,0.57,0.57
2018-09-01,0.48,0.47,0.47
2018-10-01,0.45,0.54,0.54
2018-11-01,-0.21,0.49,0.49
2018-12-01,0.15,0.49,0.49
2019-01-01,0.32,0.54,0.54
2019-02-01,0.43,0.49,0.49
2019-03-01,0.75,0.47,0.47
2019-04-01,0.57,0.52,0.52
2019-05-01,0.13,0.54,0.54
2019-06-01,0.01,0.47,0.47
2019-07-01,0.19,0.57,0.57
2019-08-01,0.11,0.5,0.5
2019-09-01,-0.04,0.46,0.46
2019-10-01,0.1,0.48,0.48
2019-11-01,0.51,0.38,0.38
2019-12-01,1.15,0.37,0.37
2020-01-01,0.21,0.38,0.38
2020-02-01,0.25,0.29,0.29
2020-03-01,0.07,0.34,0.34
2020-04-01,-0.31,0.28,0.28
2020-05-01,-0.38,0.24,0.24
2020-06-01,0.26,0.21,0.21
2020-07-01,0.36,0.19,0.19
2020-08-01,0.24,0.16,0.16
2020-09-01,0.64,0.16,0.16
2020-10-01,0.86,0.16,0.16
2020-11-01,0.89,0.15,0.15
2020-12-01,1.35,0.16,0.16
2021-01-01,0.25,0.15,0.15
2021-02-01,0.86,0.13,0.13
2021-03-01,0.93,0.2,0.2
2021-04-01,0.31,0.21,0.21
2021-05-01,0.83,0.27,0.27
2021-06-01,0.53,0.31,0.31
2021-07-01,0.96,0.36,0.36
2021-08-01,0.87,0.43,0.43
2021-09-01,1.16,0.44,0.44
2021-10-01,1.25,0.49,0.49
2021-11-01,0.95,0.59,0.59
2021-12-01,0.73,0.77,0.77
2022-01-01,0.54,0.73,0.73
2022-02-01,1.01,0.76,0.76
2022-03-01,1.62,0.93,0.93
2022-04-01,1.06,0.83,0.83
2022-05-01,0.47,1.03,1.03
2022-06-01,0.67,1.02,1.02
2022-07-01,-0.68,1.03,1.03
2022-08-01,-0.36,1.17,1.17
2022-09-01,-0.29,1.07,1.07
2022-10-01,0.59,1.02,1.02
2022-11-01,0.41,1.02,1.02
2022-12-01,0.62,1.12,1.12
2023-01-01,0.53,1.12,1.12
2023-02-01,0.84,0.92,0.92
2023-03-01,0.71,1.17,1.17
2023-04-01,0.61,0.92,0.92
2023-05-01,0.23,1.12,1.12
2023-06-01,-0.08,1.07,1.07
2023-07-01,0.12,1.07,1.07
2023-08-01,0.23,1.14,1.14
2023-09-01,0.26,0.97,0.97
2023-10-01,0.24,1.0,1.0
2023-11-01,0.28,0.92,0.92
2023-12-01,0.56,0.89,0.89
2024-01-01,0.42,0.97,0.97
2024-02-01,0.83,0.8,0.8
2024-03-01,0.16,0.83,0.83
2024-04-01,0.38,0.89,0.89
2024-05-01,0.46,0.83,0.83
2024-06-01,0.21,0.79,0.79
2024-07-01,0.38,0.91,0.91
2024-08-01,,0.67,0.63
